Team,Stadium,Latitude,Longitude
Rockies,Coors Field,39.756229,-104.994865
Red Sox,Fenway Park,42.346268,-71.095764
D-backs,Chase Field,33.445609,-112.066847
Reds,Great American Ball Park,39.096549,-84.509007
Twins,Target Field,44.982075,-93.278435
Royals,Kauffman Stadium,39.051221,-94.480817
Nationals,Nationals Park,38.873966,-77.007401
Marlins,loanDepot park,25.778139,-80.219543
Angels,Angel Stadium,33.799925,-117.883194
Braves,Truist Park,33.890781,-84.468239
Dodgers,Dodger Stadium,34.073432,-118.24026
Phillies,Citizens Bank Park,39.906276,-75.166558
Cardinals,Busch Stadium,38.622775,-90.192702
Blue Jays,Rogers Centre,43.641682,-79.389181
Yankees,Yankee Stadium,40.829682,-73.926305
Tigers,Comerica Park,42.339474,-83.049027
Orioles,Oriole Park at Camden Yards,39.284176,-76.622368
Astros,Daikin Park,29.756548,-95.355532
Pirates,PNC Park,40.447059,-80.005633
White Sox,Rate Field,41.830017,-87.634598
Mets,Citi Field,40.756648,-73.846326
Brewers,American Family Field,43.028445,-87.971114
Giants,Oracle Park,37.778572,-122.389717
Cubs,Wrigley Field,41.947904,-87.65581
Guardians,Progressive Field,41.495506,-81.685286
Padres,Petco Park,32.707391,-117.156653
Rangers,Globe Life Field,32.751987,-97.081703
Mariners,T-Mobile Park,47.59148,-122.332863
