game_pk,game_date,season,away_team,game_start,start_hour,home_runs_scored,away_runs_scored,total_runs,home_runs_hit,strikeouts,walks,hits,total_pitches,avg_exit_velocity,n_barrels,n_bbe,barrel_rate,hr_h_ratio,temp_f,temp_c,rhum,pres,prcp,wspd,wspd_mph,wdir,wind_dir_bucket,wind_cf,wind_lcf,wind_rcf
529461,2018-04-02,2018,CLE,2018-04-02 19:07:00,19,0,6,6,3,15,8,13,318,81.5,2,52,0.0385,0.2308,57.4,14.1,84.7,1006.3,0.0,4.2,2.6,187.1,S,3.34,4.03,2.25
529475,2018-04-03,2018,CLE,2018-04-03 19:07:00,19,13,2,15,6,17,7,14,296,85.3,7,48,0.1458,0.4286,59.1,15.1,79.0,1009.7,0.0,6.6,4.1,238.1,SW,6.4,5.5,6.52
529486,2018-04-04,2018,CLE,2018-04-04 13:07:00,13,3,2,5,2,25,10,13,408,84.3,4,61,0.0656,0.1538,69.6,20.9,54.7,1010.6,0.0,12.1,7.5,228.3,SW,12.05,11.08,11.56
529514,2018-04-06,2018,ATH,2018-04-06 19:07:00,19,13,9,22,7,12,6,27,329,87.7,8,64,0.125,0.2593,59.8,15.5,87.7,1009.3,0.0,10.0,6.2,173.3,S,6.22,8.54,3.16
529527,2018-04-07,2018,ATH,2018-04-07 18:07:00,18,3,7,10,3,19,12,14,329,82.7,3,45,0.0667,0.2143,62.3,16.8,85.0,1008.0,0.0,13.0,8.1,187.3,S,10.29,12.39,6.95
529542,2018-04-08,2018,ATH,2018-04-08 13:07:00,13,6,1,7,3,20,6,10,275,84.0,3,40,0.075,0.3,75.9,24.4,39.0,1007.2,0.0,9.3,5.8,253.0,W,8.18,6.2,9.18
529655,2018-04-17,2018,BOS,2018-04-17 19:07:00,19,1,10,11,6,13,11,19,313,84.7,7,56,0.125,0.3158,60.4,15.8,33.7,1011.8,0.0,3.9,2.4,97.0,E,-2.4,-1.21,-3.31
529670,2018-04-18,2018,BOS,2018-04-18 19:07:00,19,0,9,9,3,20,4,20,323,83.4,2,54,0.037,0.15,56.1,13.4,80.3,1010.3,0.0,10.7,6.6,183.3,S,7.99,9.94,5.08
529684,2018-04-19,2018,BOS,2018-04-19 19:07:00,19,2,8,10,3,14,6,18,307,84.2,7,56,0.125,0.1667,55.0,12.8,73.0,1011.1,0.0,10.7,6.6,142.5,SE,1.4,4.93,-2.3
529702,2018-04-20,2018,SF,2018-04-20 19:07:00,19,1,8,9,4,16,6,14,280,82.5,5,51,0.098,0.2857,59.3,15.2,74.3,1013.2,0.0,4.9,3.0,183.1,S,3.62,4.52,2.29
529717,2018-04-21,2018,SF,2018-04-21 18:07:00,18,4,3,7,4,24,5,13,291,84.8,3,39,0.0769,0.3077,68.9,20.5,54.0,1008.6,0.0,6.3,3.9,210.0,SW,6.05,6.24,5.14
529732,2018-04-22,2018,SF,2018-04-22 13:07:00,13,2,4,6,3,20,5,19,360,82.7,5,51,0.098,0.1579,79.5,26.4,32.3,1007.0,0.0,15.6,9.7,223.0,SW,15.59,14.84,14.46
529794,2018-04-27,2018,NYY,2018-04-27 19:07:00,19,3,4,7,2,22,5,13,297,84.9,4,49,0.0816,0.1538,57.4,14.1,78.7,1009.0,0.0,8.3,5.2,160.6,S,3.58,5.93,0.8
529809,2018-04-28,2018,NYY,2018-04-28 18:07:00,18,1,11,12,1,22,8,21,302,86.8,6,54,0.1111,0.0476,60.9,16.0,69.3,1007.2,0.0,11.1,6.9,191.9,S,9.29,10.81,6.66
529824,2018-04-29,2018,NYY,2018-04-29 17:07:00,17,1,2,3,1,20,6,10,293,82.6,4,45,0.0889,0.1,62.5,17.0,62.3,1007.5,0.0,11.6,7.2,220.0,SW,11.56,11.2,10.51
529842,2018-05-01,2018,BAL,2018-05-01 19:07:00,19,3,2,5,1,9,6,14,279,85.4,3,57,0.0526,0.0714,55.3,13.0,71.7,1007.5,0.0,13.5,8.4,154.0,SE,4.39,8.5,-0.24
529857,2018-05-02,2018,BAL,2018-05-02 19:07:00,19,10,7,17,4,14,9,19,325,88.2,7,56,0.125,0.2105,56.7,13.7,78.3,1014.1,0.0,8.6,5.4,178.9,S,5.98,7.75,3.49
529872,2018-05-03,2018,BAL,2018-05-03 19:07:00,19,12,3,15,0,12,5,23,298,86.3,3,58,0.0517,0.0,62.7,17.0,63.3,1014.2,0.0,5.6,3.5,241.8,SW,5.36,4.49,5.59
529967,2018-05-10,2018,MIN,2018-05-10 19:07:00,19,7,4,11,5,11,5,20,284,87.3,5,54,0.0926,0.25,61.0,16.1,85.0,1004.6,0.0,11.9,7.4,195.0,S,10.28,11.69,7.63
529978,2018-05-11,2018,MIN,2018-05-11 19:07:00,19,4,5,9,4,19,5,19,319,85.8,6,51,0.1176,0.2105,60.9,16.0,72.0,1004.8,0.0,17.1,10.6,150.7,SE,4.62,9.97,-1.29
529993,2018-05-12,2018,MIN,2018-05-12 18:07:00,18,3,5,8,0,19,16,17,397,84.4,2,65,0.0308,0.0,61.0,16.1,74.0,1009.0,0.0,9.7,6.0,219.3,SW,9.65,9.4,8.74
530008,2018-05-13,2018,MIN,2018-05-13 13:07:00,13,2,1,3,0,21,9,14,299,80.3,1,43,0.0233,0.0,70.5,21.4,43.7,1009.3,0.0,15.8,9.8,236.9,SW,15.46,13.42,15.64
530020,2018-05-14,2018,HOU,2018-05-14 19:07:00,19,2,1,3,0,20,4,10,248,84.6,0,36,0.0,0.0,60.2,15.7,76.3,1009.5,0.0,8.6,5.4,222.4,SW,8.62,8.24,7.97
530029,2018-05-15,2018,HOU,2018-05-15 19:07:00,19,3,5,8,2,19,3,15,299,82.5,2,47,0.0426,0.1333,60.7,15.9,73.7,1010.6,0.0,10.1,6.3,225.4,SW,10.13,9.5,9.54
530043,2018-05-16,2018,HOU,2018-05-16 18:40:00,18,0,2,2,1,14,2,10,241,85.5,3,50,0.06,0.1,64.3,17.9,59.0,1008.9,0.0,12.1,7.5,205.3,SW,11.36,12.07,9.29
530060,2018-05-17,2018,TB,2018-05-17 19:07:00,19,1,7,8,4,16,8,17,300,88.7,3,52,0.0577,0.2353,60.6,15.9,71.7,1009.0,0.0,10.9,6.8,175.0,S,6.98,9.41,3.71
530075,2018-05-18,2018,TB,2018-05-18 19:07:00,19,3,8,11,4,23,10,21,347,85.6,6,51,0.1176,0.1905,59.7,15.4,80.3,1007.6,0.0,6.1,3.8,201.0,S,5.6,6.12,4.41
530090,2018-05-19,2018,TB,2018-05-19 18:07:00,18,3,5,8,2,18,8,11,292,83.7,2,45,0.0444,0.1818,62.2,16.8,76.3,1006.6,0.0,8.4,5.2,214.4,SW,8.22,8.25,7.2
530105,2018-05-20,2018,TB,2018-05-20 13:07:00,13,5,2,7,2,19,10,11,292,81.8,1,43,0.0233,0.1818,72.1,22.3,51.0,1006.4,0.0,16.2,10.1,224.7,SW,16.2,15.25,15.19
