game_pk,game_date,season,away_team,game_start,start_hour,home_runs_scored,away_runs_scored,total_runs,home_runs_hit,strikeouts,walks,hits,total_pitches,avg_exit_velocity,n_barrels,n_bbe,barrel_rate,hr_h_ratio,temp_f,temp_c,rhum,pres,prcp,wspd,wspd_mph,wdir,wind_dir_bucket,wind_cf,wind_lcf,wind_rcf
413748,2015-04-13,2015,MIL,2015-04-13 15:15:00,15,4,5,9,0,12,7,17,268,84.9,0,60,0.0,0.0,64.3,18.0,47.7,1001.9,0.0,13.5,8.4,359.7,N,-9.47,-12.17,-5.62
413776,2015-04-15,2015,MIL,2015-04-15 19:15:00,19,4,2,6,0,10,3,20,265,86.6,1,62,0.0161,0.0,59.6,15.3,80.0,999.5,0.0,7.3,4.5,104.3,E,-3.72,-1.35,-5.65
413786,2015-04-16,2015,MIL,2015-04-16 12:45:00,12,4,0,4,0,15,3,17,281,87.2,1,52,0.0192,0.0,70.8,21.5,61.7,1000.8,0.0,2.2,1.3,162.0,S,0.98,1.58,0.26
413794,2015-04-17,2015,CIN,2015-04-17 19:15:00,19,6,1,7,1,17,4,13,254,85.0,1,48,0.0208,0.0769,66.4,19.1,74.7,998.6,0.0,6.0,3.7,109.7,E,-2.58,-0.56,-4.29
413809,2015-04-18,2015,CIN,2015-04-18 13:15:00,13,5,2,7,2,7,6,19,257,88.8,2,62,0.0323,0.1053,75.3,24.0,56.7,996.3,0.0,11.8,7.4,142.3,SE,1.51,5.43,-2.59
413824,2015-04-19,2015,CIN,2015-04-19 19:05:00,19,2,1,3,1,8,2,12,200,85.0,1,54,0.0185,0.0833,59.7,15.4,94.0,981.7,1.0,13.5,8.4,260.3,W,11.01,7.68,13.02
413937,2015-04-27,2015,PHI,2015-04-27 19:15:00,19,1,4,5,0,15,5,16,255,83.2,1,52,0.0192,0.0,54.9,12.7,56.3,1000.4,0.0,10.0,6.2,35.3,NE,-9.86,-9.84,-8.69
413952,2015-04-28,2015,PHI,2015-04-28 19:15:00,19,11,5,16,0,11,8,24,298,85.4,4,63,0.0635,0.0,57.0,13.9,65.0,997.4,0.0,6.8,4.2,122.4,SE,-1.49,0.88,-3.68
413967,2015-04-29,2015,PHI,2015-04-29 19:15:00,19,5,2,7,1,12,6,17,248,87.3,1,55,0.0182,0.0588,60.4,15.8,65.3,993.5,0.0,2.7,1.7,295.2,NW,0.92,-0.01,1.73
413978,2015-04-30,2015,PHI,2015-04-30 12:45:00,12,9,3,12,2,10,9,20,296,92.2,2,56,0.0357,0.1,66.6,19.2,35.3,996.6,0.0,19.0,11.8,352.0,N,-11.41,-15.91,-5.55
413992,2015-05-01,2015,PIT,2015-05-01 19:15:00,19,2,1,3,0,22,6,16,314,85.8,1,49,0.0204,0.0,61.5,16.4,51.0,1002.1,0.0,5.4,3.3,126.7,SE,-0.78,1.08,-2.55
414007,2015-05-02,2015,PIT,2015-05-02 13:15:00,13,2,1,3,0,13,9,18,310,83.9,1,67,0.0149,0.0,75.4,24.1,38.0,999.8,0.0,9.3,5.8,207.3,SW,8.86,9.29,7.36
414022,2015-05-03,2015,PIT,2015-05-03 13:15:00,13,3,2,5,4,20,9,23,434,86.4,5,82,0.061,0.1739,80.8,27.1,38.0,997.7,0.0,19.1,11.9,190.0,S,15.65,18.45,10.96
414028,2015-05-04,2015,CHC,2015-05-04 19:10:00,19,10,9,19,3,16,11,23,347,85.0,5,58,0.0862,0.1304,73.2,22.9,55.3,1001.1,0.0,13.8,8.6,174.0,S,8.68,11.83,4.49
414040,2015-05-05,2015,CHC,2015-05-05 19:15:00,19,7,4,11,1,14,6,22,307,90.0,6,58,0.1034,0.0455,72.2,22.3,57.3,1002.6,0.0,7.9,4.9,144.3,SE,1.29,3.89,-1.47
414055,2015-05-06,2015,CHC,2015-05-06 19:15:00,19,5,6,11,2,14,7,19,280,87.2,2,57,0.0351,0.1053,72.1,22.3,48.3,999.0,0.0,11.8,7.3,156.3,SE,4.28,7.77,0.27
414069,2015-05-07,2015,CHC,2015-05-07 12:45:00,12,5,1,6,0,22,3,16,275,84.1,1,44,0.0227,0.0,82.7,28.2,44.3,998.3,0.0,18.3,11.4,183.0,S,13.6,16.97,8.59
414182,2015-05-15,2015,DET,2015-05-15 19:15:00,19,4,10,14,5,20,7,26,346,90.4,5,58,0.0862,0.1923,71.4,21.9,88.3,998.6,0.0,10.9,6.8,162.3,S,5.0,8.01,1.39
