game_pk,game_date,season,away_team,game_start,start_hour,home_runs_scored,away_runs_scored,total_runs,home_runs_hit,strikeouts,walks,hits,total_pitches,avg_exit_velocity,n_barrels,n_bbe,barrel_rate,hr_h_ratio,temp_f,temp_c,rhum,pres,prcp,wspd,wspd_mph,wdir,wind_dir_bucket,wind_cf,wind_lcf,wind_rcf
631014,2020-07-28,2020,SD,2020-07-28 18:45:00,18,3,5,8,2,15,2,12,269,82.9,1,48,0.0208,0.1667,57.3,14.1,91.0,1010.5,0.0,26.3,16.3,251.0,W,24.84,26.26,20.41
631033,2020-07-29,2020,SD,2020-07-29 18:45:00,18,7,6,13,6,14,8,21,306,82.1,6,54,0.1111,0.2857,57.9,14.4,89.3,1011.9,0.0,28.5,17.7,251.7,W,27.02,28.45,22.33
631018,2020-07-30,2020,SD,2020-07-30 18:45:00,18,7,12,19,1,27,9,25,358,83.6,3,59,0.0508,0.04,56.8,13.8,89.3,1013.9,0.0,27.7,17.2,250.7,W,26.14,27.7,21.42
631019,2020-07-31,2020,TEX,2020-07-31 18:10:00,18,9,2,11,2,18,9,17,292,83.0,4,49,0.0816,0.1176,60.9,16.0,80.7,1013.9,0.0,26.6,16.5,250.0,W,25.03,26.63,20.4
631020,2020-08-01,2020,TEX,2020-08-01 18:10:00,18,7,3,10,1,17,15,14,314,82.4,4,44,0.0909,0.0714,60.6,15.9,78.0,1013.9,0.0,29.0,18.0,247.7,W,26.86,29.01,21.46
631021,2020-08-02,2020,TEX,2020-08-02 13:05:00,13,5,9,14,4,11,10,17,301,85.2,9,61,0.1475,0.2353,67.5,19.7,61.7,1014.7,0.0,25.4,15.8,241.7,SW,22.33,25.1,16.86
631022,2020-08-14,2020,ATH,2020-08-14 18:45:00,18,7,8,15,5,17,6,21,330,85.5,4,63,0.0635,0.2381,77.4,25.2,46.3,1008.0,0.0,20.3,12.6,254.7,W,19.55,20.2,16.53
631023,2020-08-15,2020,ATH,2020-08-15 16:07:00,16,6,7,13,5,24,8,17,345,82.8,7,46,0.1522,0.2941,70.5,21.4,60.7,1008.9,0.0,20.9,13.0,241.6,SW,18.42,20.71,13.91
631024,2020-08-16,2020,ATH,2020-08-16 13:05:00,13,3,15,18,5,14,11,26,340,85.2,9,62,0.1452,0.1923,69.6,20.9,63.3,1011.8,0.0,26.4,16.4,257.7,W,25.79,26.16,22.31
631025,2020-08-19,2020,LAA,2020-08-19 18:45:00,18,7,2,9,2,20,5,16,295,83.7,3,47,0.0638,0.125,68.9,20.5,54.7,1010.3,0.0,20.9,13.0,262.3,W,20.68,20.39,18.48
