game_pk,game_date,season,away_team,game_start,start_hour,home_runs_scored,away_runs_scored,total_runs,home_runs_hit,strikeouts,walks,hits,total_pitches,avg_exit_velocity,n_barrels,n_bbe,barrel_rate,hr_h_ratio,temp_f,temp_c,rhum,pres,prcp,wspd,wspd_mph,wdir,wind_dir_bucket,wind_cf,wind_lcf,wind_rcf
631339,2020-08-05,2020,BAL,2020-07-27 19:10:00,19,2,1,3,0,11,5,8,183,81.1,0,35,0.0,0.0,82.9,28.3,84.3,1018.9,0.0,2.9,1.8,162.0,S,-1.86,-1.0,-2.5
631340,2020-08-06,2020,BAL,2020-07-28 19:10:00,19,8,7,15,5,12,2,21,264,86.1,7,60,0.1167,0.2381,81.6,27.6,87.0,1018.3,0.0,4.7,2.9,78.5,E,-3.87,-4.53,-2.74
631322,2020-08-14,2020,ATL,2020-08-14 19:10:00,19,8,2,10,1,14,8,19,285,80.5,2,55,0.0364,0.0526,85.2,29.5,65.3,1015.6,0.0,6.9,4.3,120.9,SE,-6.79,-6.04,-6.73
631330,2020-08-15,2020,ATL,2020-08-15 18:10:00,18,1,2,3,3,16,6,13,276,82.9,4,47,0.0851,0.2308,85.9,29.9,59.3,1014.3,0.0,6.7,4.2,194.4,S,-0.94,1.38,-3.15
631324,2020-08-16,2020,ATL,2020-08-16 13:10:00,13,0,4,4,0,27,4,10,283,79.1,1,35,0.0286,0.0,89.9,32.2,56.0,1014.8,0.0,11.3,7.0,166.7,S,-6.64,-3.09,-9.38
631325,2020-08-17,2020,NYM,2020-08-17 19:10:00,19,4,11,15,5,19,15,25,366,81.7,7,58,0.1207,0.2,83.3,28.5,72.3,1014.9,0.0,8.4,5.2,327.6,NW,6.87,4.8,8.11
631326,2020-08-18,2020,NYM,2020-08-18 19:10:00,19,3,8,11,3,16,6,21,301,84.9,5,58,0.0862,0.1429,84.9,29.4,76.0,1013.4,0.0,11.9,7.4,168.0,S,-6.74,-2.98,-9.69
631327,2020-08-19,2020,NYM,2020-08-19 19:10:00,19,3,5,8,1,20,6,17,297,80.9,1,50,0.02,0.0588,81.7,27.6,85.7,1013.0,0.0,9.4,5.8,107.6,E,-9.37,-9.08,-8.53
631341,2020-08-22,2020,WSH,2020-07-31 19:10:00,19,5,3,8,3,8,6,16,222,84.5,4,48,0.0833,0.1875,81.1,27.3,84.3,1014.9,0.2,15.5,9.6,23.3,NE,-0.22,-5.5,5.08
631323,2020-08-25,2020,NYM,2020-08-20 18:10:00,18,3,0,3,0,13,7,6,233,78.0,0,30,0.0,0.0,83.2,28.5,82.7,1013.0,3.3,9.0,5.6,173.3,S,-4.37,-1.43,-6.79
631304,2020-08-28,2020,TB,2020-08-28 19:10:00,19,0,2,2,0,20,4,15,247,78.8,1,46,0.0217,0.0,83.8,28.8,82.0,1017.1,0.0,6.9,4.3,175.0,S,-3.19,-0.9,-5.09
631319,2020-08-29,2020,TB,2020-08-29 18:10:00,18,0,4,4,0,18,3,11,262,79.9,2,46,0.0435,0.0,84.9,29.4,75.7,1015.1,0.0,12.2,7.6,191.0,S,-2.44,1.81,-6.39
631306,2020-08-30,2020,TB,2020-08-30 13:10:00,13,7,12,19,7,11,10,22,325,84.9,9,64,0.1406,0.3182,88.4,31.3,63.3,1014.0,0.2,10.4,6.4,172.7,S,-5.15,-1.76,-7.92
631307,2020-09-01,2020,TOR,2020-09-01 18:40:00,18,3,2,5,2,16,5,13,212,85.0,3,44,0.0682,0.1538,84.9,29.4,75.0,1016.2,0.0,9.0,5.6,96.6,E,-8.66,-8.98,-7.29
631308,2020-09-02,2020,TOR,2020-09-02 18:40:00,18,1,2,3,1,15,3,13,242,83.5,1,50,0.02,0.0769,83.7,28.7,82.7,1014.9,0.1,13.2,8.2,54.6,NE,-7.03,-10.44,-2.78
631309,2020-09-10,2020,PHI,2020-09-10 18:40:00,18,7,6,13,1,11,12,20,323,83.0,5,61,0.082,0.05,80.7,27.1,89.0,1015.0,0.2,4.9,3.1,15.5,N,0.6,-1.11,2.24
631310,2020-09-11,2020,PHI,2020-09-11 17:10:00,17,0,11,11,2,17,0,16,239,84.3,2,41,0.0488,0.125,79.3,26.3,86.7,1009.4,2.7,7.5,4.6,58.7,NE,-4.41,-6.2,-2.08
631318,2020-09-11,2020,PHI,2020-08-04 19:10:00,19,5,3,8,1,11,4,21,225,83.6,2,47,0.0426,0.0476,82.3,27.9,85.3,1016.3,3.6,6.2,3.9,99.9,E,-6.05,-6.15,-5.22
631311,2020-09-12,2020,PHI,2020-09-12 18:10:00,18,6,12,18,4,13,11,23,332,82.7,2,62,0.0323,0.1739,78.1,25.6,89.0,1009.9,5.4,25.2,15.6,171.7,S,-12.9,-4.73,-19.51
631312,2020-09-13,2020,PHI,2020-09-13 13:10:00,13,2,1,3,0,14,6,7,194,84.2,1,30,0.0333,0.0,84.6,29.2,76.7,1012.0,0.2,16.8,10.4,138.0,SE,-15.13,-11.75,-16.69
631320,2020-09-13,2020,PHI,2020-08-05 19:10:00,19,8,1,9,2,14,5,16,227,83.4,3,37,0.0811,0.125,82.2,27.9,88.7,1016.8,0.1,3.5,2.2,81.5,E,-3.03,-3.47,-2.22
631321,2020-09-14,2020,PHI,2020-08-06 19:10:00,19,6,2,8,4,20,2,13,269,83.6,3,44,0.0682,0.3077,82.6,28.1,85.7,1017.6,1.7,2.5,1.6,191.0,S,-0.5,0.37,-1.31
631314,2020-09-15,2020,BOS,2020-09-15 18:40:00,18,0,2,2,0,20,7,11,283,81.7,3,43,0.0698,0.0,82.5,28.0,83.7,1015.4,0.0,5.6,3.5,133.0,SE,-5.21,-4.23,-5.57
631315,2020-09-16,2020,BOS,2020-09-16 18:40:00,18,8,4,12,4,20,7,19,321,81.2,5,50,0.1,0.2105,82.6,28.1,80.3,1014.2,0.0,7.6,4.7,156.0,SE,-5.51,-3.39,-6.97
631313,2020-09-17,2020,BOS,2020-09-17 13:10:00,13,3,5,8,1,23,4,17,290,84.1,4,46,0.087,0.0588,85.5,29.7,72.0,1012.5,0.3,18.6,11.6,184.3,S,-5.8,0.6,-11.49
631316,2020-09-18,2020,WSH,2020-09-18 17:10:00,17,0,5,5,0,11,5,12,217,81.4,1,41,0.0244,0.0,83.4,28.6,80.3,1011.7,0.3,7.4,4.6,289.4,W,7.42,7.11,6.84
631342,2020-09-18,2020,WSH,2020-08-01 18:10:00,18,14,3,17,4,10,7,18,264,84.5,5,47,0.1064,0.2222,80.4,26.9,86.7,1009.9,0.8,26.2,16.3,15.7,N,3.12,-5.97,11.84
631317,2020-09-19,2020,WSH,2020-09-19 18:10:00,18,7,3,10,2,18,6,20,293,79.0,3,50,0.06,0.1,82.2,27.9,83.0,1012.3,1.0,8.0,5.0,267.4,W,7.24,7.97,5.65
631305,2020-09-20,2020,WSH,2020-09-20 13:10:00,13,2,1,3,0,12,5,12,251,81.0,2,40,0.05,0.0,85.7,29.8,78.3,1012.0,1.8,5.2,3.3,128.7,SE,-5.03,-4.22,-5.22
