game_pk,game_date,season,away_team,game_start,start_hour,home_runs_scored,away_runs_scored,total_runs,home_runs_hit,strikeouts,walks,hits,total_pitches,avg_exit_velocity,n_barrels,n_bbe,barrel_rate,hr_h_ratio,temp_f,temp_c,rhum,pres,prcp,wspd,wspd_mph,wdir,wind_dir_bucket,wind_cf,wind_lcf,wind_rcf
413745,2015-04-13,2015,DET,2015-04-13 13:35:00,13,5,4,9,4,21,2,16,242,88.0,5,44,0.1136,0.25,77.2,25.1,41.3,990.8,0.0,20.9,13.0,214.7,SW,4.41,11.14,-2.85
413760,2015-04-14,2015,DET,2015-04-14 19:05:00,19,0,2,2,0,13,4,12,247,87.8,2,51,0.0392,0.0,54.3,12.4,63.0,993.9,0.0,10.1,6.3,356.7,N,4.38,1.02,7.22
413773,2015-04-15,2015,DET,2015-04-15 19:05:00,19,0,1,1,1,13,2,7,254,87.0,1,45,0.0222,0.1429,53.1,11.7,60.7,997.6,0.0,10.4,6.4,82.0,E,-8.93,-10.19,-6.59
413798,2015-04-17,2015,MIL,2015-04-17 19:05:00,19,6,3,9,1,16,6,19,269,86.9,2,51,0.0392,0.0526,60.2,15.7,79.7,989.2,0.0,7.0,4.4,348.0,N,3.98,1.76,5.73
413813,2015-04-18,2015,MIL,2015-04-18 19:05:00,19,6,2,8,1,14,4,12,256,86.6,1,48,0.0208,0.0833,61.7,16.5,62.3,990.1,0.0,13.6,8.5,8.3,N,3.33,-1.38,7.64
413828,2015-04-19,2015,MIL,2015-04-19 13:35:00,13,5,2,7,1,13,5,12,263,85.7,2,49,0.0408,0.0833,67.4,19.7,47.3,986.1,0.0,21.3,13.3,127.7,SE,-20.59,-17.44,-21.26
413835,2015-04-20,2015,CHC,2015-04-20 19:05:00,19,2,5,7,1,13,3,19,267,87.4,3,57,0.0526,0.0526,58.0,14.4,79.7,974.5,0.7,14.1,8.8,264.0,W,12.42,13.98,9.37
413846,2015-04-21,2015,CHC,2015-04-21 19:05:00,19,8,9,17,4,22,8,21,327,90.5,6,53,0.1132,0.1905,51.3,10.7,40.3,979.3,0.0,13.0,8.1,216.7,SW,3.19,7.32,-1.33
413861,2015-04-22,2015,CHC,2015-04-22 19:05:00,19,4,3,7,1,17,3,17,299,86.7,1,53,0.0189,0.0588,42.3,5.7,59.3,982.9,0.0,17.8,11.1,286.3,W,17.7,17.28,15.98
413876,2015-04-23,2015,CHC,2015-04-23 12:35:00,12,5,4,9,1,19,5,18,310,85.5,1,47,0.0213,0.0556,45.9,7.7,47.3,984.7,0.3,25.1,15.6,290.7,W,25.05,23.82,23.27
414041,2015-05-05,2015,CIN,2015-05-05 19:05:00,19,1,7,8,3,13,10,15,287,85.4,3,53,0.0566,0.2,65.7,18.7,86.0,995.9,0.7,3.5,2.2,58.3,NE,-2.05,-2.9,-0.95
414056,2015-05-06,2015,CIN,2015-05-06 19:05:00,19,0,3,3,1,9,2,17,256,85.1,1,61,0.0164,0.0588,67.7,19.8,88.3,993.9,0.0,9.3,5.8,82.7,E,-8.04,-9.13,-5.98
414070,2015-05-07,2015,CIN,2015-05-07 19:05:00,19,7,2,9,1,10,9,20,280,86.5,2,56,0.0357,0.05,71.8,22.1,90.0,991.0,0.0,7.2,4.5,36.3,NE,-1.71,-3.99,0.77
414092,2015-05-08,2015,STL,2015-05-08 19:05:00,19,5,8,13,3,16,1,23,299,86.5,3,61,0.0492,0.1304,73.3,23.0,67.7,990.1,0.0,7.0,4.4,143.7,SE,-6.02,-4.41,-6.9
414107,2015-05-09,2015,STL,2015-05-09 19:05:00,19,7,5,12,1,11,8,19,241,89.8,1,54,0.0185,0.0526,74.2,23.5,69.7,991.4,0.0,6.3,3.9,133.3,SE,-5.86,-4.75,-6.27
414122,2015-05-10,2015,STL,2015-05-10 13:35:00,13,4,3,7,2,9,6,17,260,87.4,2,56,0.0357,0.1176,85.0,29.4,41.3,992.0,0.0,9.9,6.1,178.0,S,-4.09,-0.77,-6.92
414234,2015-05-19,2015,MIN,2015-05-19 19:05:00,19,5,8,13,3,18,4,21,276,87.4,4,56,0.0714,0.1429,61.0,16.1,61.3,990.1,0.0,16.2,10.1,324.3,NW,13.76,10.01,15.86
414249,2015-05-20,2015,MIN,2015-05-20 19:05:00,19,3,4,7,2,18,9,20,373,85.3,2,75,0.0267,0.1,54.0,12.2,61.7,991.0,0.0,5.5,3.4,16.4,N,0.58,-1.32,2.42
414276,2015-05-22,2015,NYM,2015-05-22 19:05:00,19,4,1,5,0,17,1,12,242,86.7,0,43,0.0,0.0,55.2,12.9,44.7,997.5,0.0,13.5,8.4,347.3,N,7.76,3.52,11.05
414291,2015-05-23,2015,NYM,2015-05-23 16:05:00,16,8,2,10,3,17,2,17,260,89.8,3,50,0.06,0.1765,70.2,21.2,34.0,1000.5,0.0,5.3,3.3,261.3,W,4.56,5.23,3.34
414306,2015-05-24,2015,NYM,2015-05-24 13:35:00,13,9,1,10,2,21,8,19,293,85.1,1,49,0.0204,0.1053,80.0,26.7,28.7,998.0,0.0,7.1,4.4,192.0,S,-1.3,1.18,-3.62
414322,2015-05-25,2015,MIA,2015-05-25 19:05:00,19,4,2,6,3,9,2,19,234,89.2,1,56,0.0179,0.1579,73.8,23.2,66.7,992.8,0.0,10.7,6.7,203.3,SW,0.16,3.82,-3.52
414337,2015-05-26,2015,MIA,2015-05-26 19:05:00,19,5,1,6,1,16,6,16,282,89.1,1,49,0.0204,0.0625,74.7,23.7,70.3,990.8,0.0,12.6,7.8,157.3,SE,-8.94,-5.36,-11.43
414352,2015-05-27,2015,MIA,2015-05-27 12:35:00,12,5,2,7,2,14,2,20,254,89.0,5,57,0.0877,0.1,78.4,25.8,57.7,993.0,0.0,15.3,9.5,223.3,SW,5.44,10.0,0.22
414510,2015-06-08,2015,MIL,2015-06-08 19:05:00,19,0,2,2,0,21,6,13,290,84.0,0,44,0.0,0.0,68.1,20.0,97.0,980.0,3.2,12.7,7.9,194.6,S,-1.74,2.66,-5.93
414521,2015-06-09,2015,MIL,2015-06-09 19:05:00,19,1,4,5,3,12,2,10,228,86.3,3,52,0.0577,0.3,69.0,20.5,67.7,983.5,0.0,7.6,4.7,262.3,W,6.54,7.45,4.85
414536,2015-06-10,2015,MIL,2015-06-10 19:05:00,19,2,0,2,1,10,5,14,227,88.7,2,49,0.0408,0.0714,78.0,25.6,58.3,983.5,0.0,15.6,9.7,206.0,SW,0.95,6.23,-4.44
414564,2015-06-12,2015,PHI,2015-06-12 19:05:00,19,1,0,1,0,19,8,24,418,88.0,0,80,0.0,0.0,76.8,24.9,77.7,987.5,0.6,8.7,5.4,259.6,W,7.31,8.48,5.25
414579,2015-06-13,2015,PHI,2015-06-13 16:05:00,16,4,3,7,0,11,5,17,288,85.8,0,56,0.0,0.0,81.0,27.2,78.3,990.0,0.5,6.1,3.8,224.6,SW,2.31,4.12,0.23
414594,2015-06-14,2015,PHI,2015-06-14 13:35:00,13,1,0,1,0,21,4,15,288,90.6,1,58,0.0172,0.0,86.0,30.0,56.3,990.5,0.1,9.6,6.0,240.7,SW,5.95,8.18,3.0
414600,2015-06-15,2015,CWS,2015-06-15 19:05:00,19,11,0,11,0,19,4,20,288,87.4,1,48,0.0208,0.0,75.3,24.0,91.0,988.1,0.0,10.7,6.6,241.0,SW,6.66,9.12,3.4
414615,2015-06-16,2015,CWS,2015-06-16 19:05:00,19,3,0,3,2,11,5,14,268,86.4,2,52,0.0385,0.1429,72.1,22.3,70.0,991.8,0.0,12.0,7.5,332.3,NW,9.24,6.05,11.32
414714,2015-06-23,2015,CIN,2015-06-23 19:05:00,19,7,6,13,3,14,11,21,330,87.3,4,57,0.0702,0.1429,71.5,22.0,68.0,988.8,0.0,12.1,7.5,342.7,N,7.77,4.12,10.49
414729,2015-06-24,2015,CIN,2015-06-24 19:05:00,19,2,5,7,1,17,5,20,303,87.6,1,55,0.0182,0.05,70.8,21.6,85.0,992.2,0.0,4.5,2.8,356.3,N,1.98,0.48,3.25
414744,2015-06-25,2015,CIN,2015-06-25 19:05:00,19,4,5,9,2,18,9,28,412,88.9,6,85,0.0706,0.0714,66.9,19.4,96.7,988.7,0.0,1.4,0.9,225.0,SW,0.54,0.95,0.06
414752,2015-06-26,2015,ATL,2015-06-26 19:05:00,19,3,2,5,1,11,8,17,268,83.6,2,59,0.0339,0.0588,70.0,21.1,82.0,988.0,0.0,9.4,5.9,66.2,NE,-6.52,-8.46,-3.79
414767,2015-06-27,2015,ATL,2015-06-27 16:05:00,16,8,4,12,0,15,1,24,268,88.7,0,58,0.0,0.0,71.4,21.9,93.7,977.5,6.2,13.1,8.1,150.0,SE,-10.39,-7.04,-12.49
