game_pk,game_date,season,away_team,game_start,start_hour,home_runs_scored,away_runs_scored,total_runs,home_runs_hit,strikeouts,walks,hits,total_pitches,avg_exit_velocity,n_barrels,n_bbe,barrel_rate,hr_h_ratio,temp_f,temp_c,rhum,pres,prcp,wspd,wspd_mph,wdir,wind_dir_bucket,wind_cf,wind_lcf,wind_rcf
413699,2015-04-10,2015,HOU,2015-04-10 15:05:00,15,1,5,6,2,15,4,16,244,83.9,3,52,0.0577,0.125,68.9,20.5,46.7,998.9,0.0,9.3,5.8,43.9,NE,-8.52,-9.28,-6.74
413714,2015-04-11,2015,HOU,2015-04-11 19:05:00,19,6,2,8,1,13,8,20,289,87.6,2,59,0.0339,0.05,69.7,20.9,67.0,994.4,0.0,10.1,6.3,109.7,E,-7.49,-4.72,-9.35
413729,2015-04-12,2015,HOU,2015-04-12 14:05:00,14,4,6,10,3,18,10,20,422,89.0,6,82,0.0732,0.15,76.5,24.7,66.3,990.4,0.3,11.0,6.9,166.3,S,1.69,5.32,-2.14
413741,2015-04-13,2015,LAA,2015-04-13 19:05:00,19,3,6,9,2,16,6,19,289,89.9,4,56,0.0714,0.1053,63.7,17.6,78.3,995.0,0.0,15.6,9.7,20.0,N,-10.52,-13.81,-5.96
413755,2015-04-14,2015,LAA,2015-04-14 19:05:00,19,8,2,10,2,8,8,18,293,86.2,3,58,0.0517,0.1111,59.5,15.3,72.7,995.7,0.0,5.7,3.5,277.0,W,4.93,3.68,5.59
413768,2015-04-15,2015,LAA,2015-04-15 13:05:00,13,2,10,12,2,13,8,19,337,86.4,2,60,0.0333,0.1053,72.3,22.4,52.3,993.9,0.0,3.8,2.3,162.8,S,0.35,1.61,-0.96
413939,2015-04-27,2015,SEA,2015-04-27 19:05:00,19,1,3,4,0,13,5,13,270,87.2,0,51,0.0,0.0,61.9,16.6,82.0,989.5,0.4,25.0,15.6,12.7,N,-14.42,-20.55,-6.55
413954,2015-04-28,2015,SEA,2015-04-28 19:05:00,19,1,2,3,1,17,3,14,260,89.1,2,49,0.0408,0.0714,55.3,13.0,66.7,997.8,0.0,8.6,5.4,342.0,N,-0.68,-3.58,2.31
413969,2015-04-29,2015,SEA,2015-04-29 19:05:00,19,2,5,7,1,11,7,14,312,88.4,3,57,0.0526,0.0714,65.1,18.4,64.3,993.9,0.0,6.3,3.9,268.4,W,5.89,4.76,6.3
413990,2015-05-01,2015,ATH,2015-05-01 19:05:00,19,5,7,12,3,17,6,17,313,86.3,4,53,0.0755,0.1765,69.7,20.9,57.7,996.3,0.0,9.2,5.7,150.0,SE,-1.21,1.99,-4.27
414005,2015-05-02,2015,ATH,2015-05-02 19:05:00,19,8,7,15,3,13,6,26,326,90.2,3,68,0.0441,0.1154,71.1,21.7,61.0,994.1,0.0,11.0,6.8,155.0,SE,-0.48,3.31,-4.21
414020,2015-05-03,2015,ATH,2015-05-03 14:05:00,14,1,7,8,3,15,15,14,334,87.9,4,53,0.0755,0.2143,79.3,26.3,48.3,994.7,0.0,17.1,10.6,164.3,S,2.03,7.72,-3.9
414127,2015-05-11,2015,KC,2015-05-11 19:05:00,19,8,2,10,3,17,11,14,303,90.3,3,47,0.0638,0.2143,68.2,20.1,62.7,999.1,0.0,11.2,7.0,21.0,N,-7.73,-10.05,-4.48
414138,2015-05-12,2015,KC,2015-05-12 19:05:00,19,6,7,13,4,12,5,26,314,86.2,5,70,0.0714,0.1538,67.1,19.5,80.7,1000.9,0.0,11.8,7.3,78.3,E,-11.56,-10.1,-11.62
414153,2015-05-13,2015,KC,2015-05-13 19:05:00,19,5,2,7,2,10,3,17,225,85.8,2,53,0.0377,0.1176,67.7,19.8,89.3,996.3,0.0,16.8,10.4,175.7,S,5.23,10.36,-0.54
414166,2015-05-14,2015,KC,2015-05-14 13:05:00,13,3,6,9,1,8,4,21,327,86.3,1,65,0.0154,0.0476,80.7,27.1,66.3,996.3,0.0,13.6,8.5,190.7,S,7.44,10.88,3.09
414180,2015-05-15,2015,CLE,2015-05-15 19:05:00,19,3,8,11,3,12,4,21,324,86.8,6,61,0.0984,0.1429,70.9,21.6,88.3,991.8,0.0,13.1,8.1,135.0,SE,-5.01,-0.57,-8.85
414195,2015-05-16,2015,CLE,2015-05-16 19:05:00,19,8,10,18,4,17,8,27,330,84.9,3,63,0.0476,0.1481,77.6,25.3,77.7,987.7,0.0,23.7,14.7,170.7,S,5.4,12.97,-2.82
414210,2015-05-17,2015,CLE,2015-05-17 14:05:00,14,5,1,6,1,18,7,13,267,85.0,2,44,0.0455,0.0769,79.5,26.4,69.7,993.5,0.0,14.2,8.8,191.0,S,7.87,11.45,3.33
414360,2015-05-28,2015,BOS,2015-05-28 19:05:00,19,1,5,6,1,14,7,18,286,86.0,1,52,0.0192,0.0556,76.8,24.9,80.7,993.4,0.0,14.8,9.2,142.0,SE,-3.97,1.16,-8.62
414367,2015-05-29,2015,BOS,2015-05-29 19:05:00,19,7,4,11,3,13,7,18,288,85.4,5,52,0.0962,0.1667,75.9,24.4,78.0,993.7,0.0,7.7,4.8,110.6,E,-5.6,-3.47,-7.05
414382,2015-05-30,2015,BOS,2015-05-30 18:15:00,18,8,0,8,0,11,7,18,291,85.0,0,58,0.0,0.0,74.7,23.7,70.3,997.1,0.0,9.9,6.1,29.4,NE,-7.77,-9.38,-5.22
414397,2015-05-31,2015,BOS,2015-05-31 14:05:00,14,4,3,7,0,12,5,19,319,86.7,1,63,0.0159,0.0,76.5,24.7,58.7,997.4,0.0,11.5,7.2,345.3,N,-1.56,-5.37,2.44
414423,2015-06-02,2015,CWS,2015-06-02 19:05:00,19,15,2,17,4,11,4,26,279,88.9,4,64,0.0625,0.1538,77.5,25.3,72.3,992.6,0.0,11.6,7.2,122.3,SE,-6.7,-3.04,-9.55
414438,2015-06-03,2015,CWS,2015-06-03 19:05:00,19,2,9,11,3,24,10,18,352,87.4,1,46,0.0217,0.1667,79.0,26.1,72.0,991.7,0.0,12.5,7.8,130.7,SE,-5.64,-1.49,-9.12
414452,2015-06-04,2015,CWS,2015-06-04 19:05:00,19,2,1,3,0,20,8,18,362,86.6,0,63,0.0,0.0,80.5,27.0,71.3,994.4,0.0,9.1,5.6,137.7,SE,-3.08,0.03,-5.81
414561,2015-06-12,2015,MIN,2015-06-12 19:05:00,19,6,2,8,2,15,6,11,279,85.0,3,45,0.0667,0.1818,83.7,28.7,54.3,989.7,0.0,16.9,10.5,134.7,SE,-6.56,-0.84,-11.49
414576,2015-06-13,2015,MIN,2015-06-13 15:05:00,15,11,7,18,2,9,7,24,267,88.6,5,61,0.082,0.0833,87.2,30.7,56.0,990.2,1.3,8.3,5.2,89.4,E,-7.73,-6.2,-8.33
414591,2015-06-14,2015,MIN,2015-06-14 14:05:00,14,3,4,7,3,13,5,20,274,88.3,4,58,0.069,0.15,85.1,29.5,63.3,991.8,1.7,18.1,11.2,160.3,S,0.89,7.02,-5.34
414605,2015-06-15,2015,LAD,2015-06-15 19:05:00,19,4,1,5,1,11,7,13,251,87.9,2,48,0.0417,0.0769,79.6,26.4,76.7,994.0,0.0,13.6,8.5,120.7,SE,-8.15,-3.94,-11.38
414620,2015-06-16,2015,LAD,2015-06-16 19:05:00,19,3,2,5,2,6,5,16,237,83.4,3,59,0.0508,0.125,74.5,23.6,93.3,994.3,0.8,10.9,6.8,58.3,NE,-10.73,-10.67,-9.48
414720,2015-06-23,2015,ATH,2015-06-23 19:05:00,19,6,8,14,3,12,6,22,323,84.0,1,63,0.0159,0.1364,83.4,28.6,73.3,998.8,0.0,5.8,3.6,142.7,SE,-1.49,0.53,-3.33
414735,2015-06-24,2015,ATH,2015-06-24 19:05:00,19,2,8,10,2,16,7,23,291,87.6,4,59,0.0678,0.087,83.4,28.5,66.7,997.5,0.0,7.7,4.8,158.6,S,0.15,2.78,-2.49
414748,2015-06-25,2015,ATH,2015-06-25 13:05:00,13,3,6,9,1,12,5,20,300,86.6,1,61,0.0164,0.05,90.6,32.6,48.7,996.8,0.0,9.3,5.8,192.3,S,5.31,7.6,2.38
414847,2015-07-03,2015,LAA,2015-07-03 19:05:00,19,2,8,10,1,14,5,22,293,88.4,1,61,0.0164,0.0455,85.2,29.6,52.7,992.3,0.0,8.4,5.2,198.6,S,5.55,7.39,3.04
