team,stadium,status,dataset,n_games,n_graphics
AZ,Chase Field,OK,dbacks_data_2015_day_night.csv,838,23
ATH,Oakland Coliseum,OK,athletics_data_2015_day_night.csv,838,23
ATL,Truist Park,OK,braves_data_2015_day_night.csv,838,23
BAL,Camden Yards,OK,orioles_data_2015_day_night.csv,839,23
BOS,Fenway Park,OK,fenway_data_2016_day_night.csv,758,23
CHC,Wrigley Field,OK,cubs_data_2015_day_night.csv,839,23
CIN,Great American Ball Park,OK,reds_data_2015_day_night.csv,838,23
CLE,Progressive Field,OK,guardians_data_2015_day_night.csv,838,23
COL,Coors Field,OK,rockies_data_2016_day_night.csv,757,23
CWS,Guaranteed Rate Field,OK,white_sox_data_2015_day_night.csv,839,23
DET,Comerica Park,OK,tigers_data_2015_day_night.csv,836,23
HOU,Minute Maid Park,OK,astros_data_2017_day_night.csv,677,23
KC,Kauffman Stadium,OK,royals_data_2015_day_night.csv,838,23
LAA,Angel Stadium,OK,angels_data_2018_day_night.csv,597,23
LAD,Dodger Stadium,OK,dodgers_data_2015_day_night.csv,840,23
MIA,loanDepot Park,OK,marlins_data_2020_day_night.csv,434,23
MIL,American Family Field,OK,brewers_data_2015_day_night.csv,840,23
MIN,Target Field,OK,twins_data_2015_day_night.csv,839,23
NYM,Citi Field,OK,mets_data_2015_day_night.csv,839,23
NYY,Yankee Stadium,OK,yankee_data_2015_day_night.csv,839,23
PHI,Citizens Bank Park,OK,phillies_data_2015_day_night.csv,838,23
PIT,PNC Park,OK,pirates_data_2015_day_night.csv,837,23
SD,Petco Park,OK,padres_data_2015_day_night.csv,838,23
SEA,T-Mobile Park,OK,mariners_data_2015_day_night.csv,837,23
SF,Oracle Park,OK,giants_data_2020_day_night.csv,435,23
STL,Busch Stadium,OK,cardinals_data_2015_day_night.csv,840,23
TB,Tropicana Field,OK,rays_data_2015_day_night.csv,838,23
TEX,Globe Life Field,OK,rangers_data_2015_day_night.csv,839,23
TOR,Rogers Centre,OK,blue_jays_data_2015_day_night.csv,839,23
WSH,Nationals Park,OK,nationals_data_2015_day_night.csv,839,23
