Stadium,Team,Starting Year,Latitude,Longitude,Center Field Vector,Prompt,Start year: most recent season since major stadium changes or 2015 if stadium change year yields less than 5 seasons fo data
Rockies,Coors Field,2016,39.756229,-104.994865,N,"Repeat the analysis we did for fenway for the colorado rockies' Coors Field to build a clean data set with weather and play statistics for each game played in Coors Field from 2016-2025. Create a new folder and jupyter notebook called rockies_analysis. Output the final data set as rockies_data_2016.csv in the final datasets folder. The stadium is located at (39.756229, -104.994865). The vector from home plate to center field points roughly north (0 degrees on a compass).",https://www.baseball-almanac.com/stadium/ballpark_NSEW_NL.shtml
Red Sox,Fenway Park,2016,42.346268,-71.095764,NE,"Repeat the analysis we did for fenway for the boston red sox's Fenway Park to build a clean data set with weather and play statistics for each game played in Fenway Park from 2016-2025. Create a new folder and jupyter notebook called red_sox_analysis. Output the final data set as red_sox_data_2016.csv in the final datasets folder. The stadium is located at (42.346268, -71.095764). The vector from home plate to center field points roughly northeast (45 degrees on a compass).",https://www.baseball-almanac.com/stadium/ballpark_NSEW_AL.shtml
D-backs,Chase Field,2015,33.445609,-112.066847,N,"Repeat the analysis we did for fenway for the arizona diamondbacks' Chase Field to build a clean data set with weather and play statistics for each game played in Chase Field from 2015-2025. Create a new folder and jupyter notebook called d-backs_analysis. Output the final data set as d-backs_data_2015.csv in the final datasets folder. The stadium is located at (33.445609, -112.066847). The vector from home plate to center field points roughly north (0 degrees on a compass).","I want to avoid re-pulling all of the play by play data. Create a master data file for all seasons data from 2015-2025 seasons. Call it master_data.csv and use a new notebook called master_data_pull. Then filter the master dataset each time you make a stadium-specific data set. Update all existing notebooks to reference master_data, but maintain their original time window."
Reds,Great American Ball Park,2015,39.096549,-84.509007,E-SE,"Repeat the analysis we did for fenway for the cincinnati reds' Great American Ball Park to build a clean data set with weather and play statistics for each game played in Great American Ball Park from 2015-2025. Create a new folder and jupyter notebook called reds_analysis. Output the final data set as reds_data_2015.csv in the final datasets folder. The stadium is located at (39.096549, -84.509007). The vector from home plate to center field points roughly east-southeast (112.5 degrees on a compass).",
Twins,Target Field,2015,44.982075,-93.278435,E,"Repeat the analysis we did for fenway for the minnesota twins' Target Field to build a clean data set with weather and play statistics for each game played in Target Field from 2015-2025. Create a new folder and jupyter notebook called twins_analysis. Output the final data set as twins_data_2015.csv in the final datasets folder. The stadium is located at (44.982075, -93.278435). The vector from home plate to center field points roughly east (90 degrees on a compass).",
Royals,Kauffman Stadium,2015,39.051221,-94.480817,NE,"Repeat the analysis we did for fenway for the kansas city royals' Kauffman Stadium to build a clean data set with weather and play statistics for each game played in Kauffman Stadium from 2015-2025. Create a new folder and jupyter notebook called royals_analysis. Output the final data set as royals_data_2015.csv in the final datasets folder. The stadium is located at (39.051221, -94.480817). The vector from home plate to center field points roughly northeast (45 degrees on a compass).",
Braves,Truist Park,2015,33.890781,-84.468239,S-SE,"Repeat the analysis we did for fenway for the atlanta braves' Truist Park to build a clean data set with weather and play statistics for each game played in Truist Park from 2015-2025. Create a new folder and jupyter notebook called braves_analysis. Output the final data set as braves_data_2015.csv in the final datasets folder. The stadium is located at (33.890781, -84.468239). The vector from home plate to center field points roughly south-southeast (157.5 degrees on a compass).",
Angels,Angel Stadium,2018,33.799925,-117.883194,NE,"Repeat the analysis we did for fenway for the los angeles angels' Angel Stadium to build a clean data set with weather and play statistics for each game played in Angel Stadium from 2018-2025. Create a new folder and jupyter notebook called angels_analysis. Output the final data set as angels_data_2018.csv in the final datasets folder. The stadium is located at (33.799925, -117.883194). The vector from home plate to center field points roughly northeast (45 degrees on a compass).",
Marlins,loanDepot park,2020,25.778139,-80.219543,E-SE,"Repeat the analysis we did for fenway for the miami marlins' loanDepot park to build a clean data set with weather and play statistics for each game played in loanDepot park from 2020-2025. Create a new folder and jupyter notebook called marlins_analysis. Output the final data set as marlins_data_2020.csv in the final datasets folder. The stadium is located at (25.778139, -80.219543). The vector from home plate to center field points roughly east-southeast (112.5 degrees on a compass).",
Phillies,Citizens Bank Park,2015,39.906276,-75.166558,N-NE,"Repeat the analysis we did for fenway for the philadelphia phillies' Citizens Bank Park to build a clean data set with weather and play statistics for each game played in Citizens Bank Park from 2015-2025. Create a new folder and jupyter notebook called phillies_analysis. Output the final data set as phillies_data_2015.csv in the final datasets folder. The stadium is located at (39.906276, -75.166558). The vector from home plate to center field points roughly north-northeast (22.5 degrees on a compass).",
