game_pk,game_date,season,away_team,game_start,start_hour,home_runs_scored,away_runs_scored,total_runs,home_runs_hit,strikeouts,walks,hits,total_pitches,avg_exit_velocity,n_barrels,n_bbe,barrel_rate,hr_h_ratio,home_bat_hr,home_bat_k,home_bat_bb,home_bat_h,home_bat_pitches,home_bat_exit_velo,home_bat_bbe,home_bat_hr_h_ratio,away_bat_hr,away_bat_k,away_bat_bb,away_bat_h,away_bat_pitches,away_bat_exit_velo,away_bat_bbe,away_bat_hr_h_ratio,temp_f,temp_c,rhum,pres,prcp,wspd,wspd_mph,wdir,wind_dir_bucket,wind_cf,wind_lcf,wind_rcf,day_night
529461,2018-04-02,2018,CLE,2018-04-02 19:07:00,19,0,6,6,3,15,8,13,318,81.5,2,52,0.0385,0.2308,0.0,7.0,2.0,6.0,155.0,82.1,44.0,0.0,3.0,8.0,6.0,7.0,163.0,81.0,43.0,0.4286,58.8,14.9,79.7,1005.8,0.0,7.5,4.7,212.7,SW,7.33,7.43,6.34,night
529475,2018-04-03,2018,CLE,2018-04-03 19:07:00,19,13,2,15,6,17,7,14,296,85.3,7,48,0.1458,0.4286,5.0,5.0,3.0,13.0,158.0,86.7,51.0,0.3846,1.0,12.0,4.0,1.0,138.0,83.0,32.0,1.0,61.2,16.2,73.0,1009.2,0.0,8.4,5.2,231.0,SW,8.39,7.58,8.18,night
529486,2018-04-04,2018,CLE,2018-04-04 13:07:00,13,3,2,5,2,25,10,13,408,84.3,4,61,0.0656,0.1538,2.0,11.0,4.0,6.0,177.0,85.0,42.0,0.3333,0.0,14.0,5.0,7.0,231.0,83.8,65.0,0.0,69.5,20.8,55.3,1011.2,0.0,11.3,7.0,231.7,SW,11.22,10.1,11.0,day
529514,2018-04-06,2018,ATH,2018-04-06 19:07:00,19,13,9,22,7,12,6,27,329,87.7,8,64,0.125,0.2593,2.0,7.0,3.0,14.0,173.0,89.4,48.0,0.1429,5.0,5.0,1.0,13.0,156.0,85.9,49.0,0.3846,60.9,16.0,82.3,1008.7,0.0,10.8,6.7,182.3,S,7.92,9.94,4.95,night
529527,2018-04-07,2018,ATH,2018-04-07 18:07:00,18,3,7,10,3,19,12,14,329,82.7,3,45,0.0667,0.2143,2.0,11.0,2.0,7.0,145.0,80.3,37.0,0.2857,1.0,8.0,10.0,7.0,184.0,84.7,42.0,0.1429,64.0,17.8,82.0,1007.9,0.0,14.1,8.8,198.3,S,12.6,14.0,9.68,night
529542,2018-04-08,2018,ATH,2018-04-08 13:07:00,13,6,1,7,3,20,6,10,275,84.0,3,40,0.075,0.3,2.0,8.0,4.0,7.0,147.0,85.8,41.0,0.2857,1.0,12.0,2.0,3.0,128.0,81.4,28.0,0.3333,74.7,23.7,41.3,1008.0,0.0,7.1,4.4,268.3,W,5.17,3.19,6.52,day
529655,2018-04-17,2018,BOS,2018-04-17 19:07:00,19,1,10,11,6,13,11,19,313,84.7,7,56,0.125,0.3158,0.0,10.0,6.0,4.0,130.0,82.3,33.0,0.0,6.0,3.0,5.0,15.0,183.0,86.2,52.0,0.4,62.4,16.9,30.0,1011.9,0.0,5.0,3.1,301.2,NW,1.19,-0.54,2.78,night
529670,2018-04-18,2018,BOS,2018-04-18 19:07:00,19,0,9,9,3,20,4,20,323,83.4,2,54,0.037,0.15,0.0,8.0,1.0,6.0,137.0,81.3,39.0,0.0,3.0,12.0,3.0,14.0,186.0,85.3,44.0,0.2143,57.6,14.2,73.3,1010.0,0.0,13.1,8.1,194.3,S,11.24,12.84,8.28,night
529684,2018-04-19,2018,BOS,2018-04-19 19:07:00,19,2,8,10,3,14,6,18,307,84.2,7,56,0.125,0.1667,1.0,9.0,3.0,4.0,155.0,81.2,40.0,0.25,2.0,5.0,2.0,14.0,152.0,86.4,52.0,0.1429,56.5,13.6,69.3,1010.8,0.0,9.5,5.9,165.2,S,4.76,7.27,1.68,night
529702,2018-04-20,2018,SF,2018-04-20 19:07:00,19,1,8,9,4,16,6,14,280,82.5,5,51,0.098,0.2857,1.0,6.0,4.0,5.0,133.0,83.5,45.0,0.2,3.0,10.0,2.0,9.0,147.0,81.5,41.0,0.3333,61.2,16.2,67.0,1013.0,0.0,6.0,3.7,187.8,S,4.81,5.76,3.27,night
