game_pk,game_date,season,away_team,game_start,start_hour,home_runs_scored,away_runs_scored,total_runs,home_runs_hit,strikeouts,walks,hits,total_pitches,avg_exit_velocity,n_barrels,n_bbe,barrel_rate,hr_h_ratio,temp_f,temp_c,rhum,pres,prcp,wspd,wspd_mph,wdir,wind_dir_bucket,wind_cf,wind_lcf,wind_rcf
490111,2017-04-03,2017,SEA,2017-04-03 19:10:00,19,3,0,3,2,14,5,9,226,83.7,2,43,0.0465,0.2222,69.7,20.9,73.7,1003.6,0.0,10.7,6.7,200.0,S,7.91,4.96,9.92
490119,2017-04-04,2017,SEA,2017-04-04 19:10:00,19,2,1,3,2,14,5,12,240,81.9,0,48,0.0,0.1667,72.6,22.5,88.7,1003.3,0.0,13.7,8.5,159.6,S,13.69,12.69,13.04
490133,2017-04-05,2017,SEA,2017-04-05 19:10:00,19,5,3,8,2,23,11,19,422,80.1,3,74,0.0405,0.1053,61.9,16.6,47.0,1016.0,0.0,12.3,7.6,333.3,NW,-12.23,-11.8,-11.19
490146,2017-04-06,2017,SEA,2017-04-06 19:10:00,19,2,4,6,3,18,7,13,286,82.8,4,47,0.0851,0.2308,64.7,18.2,53.7,1018.7,0.0,8.1,5.0,68.7,E,0.17,2.93,-2.61
490153,2017-04-07,2017,KC,2017-04-07 19:10:00,19,1,5,6,1,13,9,16,306,80.4,2,52,0.0385,0.0625,64.9,18.3,61.7,1017.7,0.0,11.8,7.3,180.7,S,10.82,8.58,11.75
490168,2017-04-08,2017,KC,2017-04-08 18:10:00,18,3,7,10,4,11,4,16,244,83.7,3,55,0.0545,0.25,68.8,20.4,65.0,1012.7,0.0,15.8,9.8,160.3,S,15.78,14.56,15.1
490183,2017-04-09,2017,KC,2017-04-09 13:10:00,13,5,4,9,6,24,8,21,366,82.5,5,62,0.0806,0.2857,77.4,25.2,59.7,1011.6,0.0,27.5,17.1,159.3,S,27.45,25.5,26.1
490288,2017-04-17,2017,LAA,2017-04-17 19:10:00,19,3,0,3,0,15,4,14,253,82.6,1,47,0.0213,0.0,68.0,20.0,95.7,1013.2,4.8,6.8,4.2,40.3,NE,-3.12,-0.85,-5.01
490302,2017-04-18,2017,LAA,2017-04-18 19:10:00,19,2,5,7,4,18,4,20,300,82.0,2,52,0.0385,0.2,69.9,21.0,91.3,1013.8,0.4,11.7,7.2,112.8,SE,8.29,10.6,4.98
490317,2017-04-19,2017,LAA,2017-04-19 19:10:00,19,5,1,6,1,16,3,17,245,80.9,1,46,0.0217,0.0588,72.4,22.5,87.7,1014.7,0.0,11.3,7.0,138.6,SE,10.69,11.3,8.79
490331,2017-04-20,2017,LAA,2017-04-20 13:10:00,13,2,1,3,3,20,5,9,249,85.5,1,38,0.0263,0.3333,81.6,27.5,61.0,1013.1,0.8,15.0,9.3,155.7,SE,14.96,14.22,13.89
490439,2017-04-28,2017,ATH,2017-04-28 19:10:00,19,9,4,13,3,19,2,21,274,85.4,3,53,0.0566,0.1429,78.3,25.7,93.0,1002.4,0.0,18.8,11.7,138.7,SE,17.79,18.8,14.65
490454,2017-04-29,2017,ATH,2017-04-29 18:10:00,18,1,2,3,3,19,3,15,251,79.4,1,47,0.0213,0.2,79.2,26.2,84.7,999.8,0.2,26.1,16.2,159.3,S,26.12,24.26,24.83
490469,2017-04-30,2017,ATH,2017-04-30 13:10:00,13,7,2,9,1,18,6,16,271,85.0,3,48,0.0625,0.0625,69.8,21.0,39.7,1010.2,0.0,18.3,11.4,299.0,NW,-14.3,-17.32,-9.54
490484,2017-05-01,2017,TEX,2017-05-01 19:10:00,19,6,2,8,1,16,6,14,278,83.5,1,48,0.0208,0.0714,68.6,20.3,56.0,1011.3,0.0,12.3,7.7,165.7,S,12.21,10.87,12.07
490499,2017-05-02,2017,TEX,2017-05-02 19:10:00,19,8,7,15,8,21,5,21,293,86.3,6,51,0.1176,0.381,71.7,22.1,83.0,1010.3,0.0,16.0,9.9,116.7,SE,12.11,14.95,7.8
490514,2017-05-03,2017,TEX,2017-05-03 19:10:00,19,10,1,11,4,14,8,18,293,83.3,4,52,0.0769,0.2222,68.9,20.5,91.0,1006.6,10.6,21.6,13.4,334.6,NW,-21.61,-20.67,-19.93
490528,2017-05-04,2017,TEX,2017-05-04 13:10:00,13,4,10,14,4,21,14,21,356,83.1,6,54,0.1111,0.1905,70.9,21.6,34.7,1011.9,0.0,32.3,20.1,324.3,NW,-31.45,-32.07,-27.04
490583,2017-05-09,2017,ATL,2017-05-09 19:10:00,19,8,3,11,3,15,6,15,270,85.6,4,51,0.0784,0.2,73.5,23.0,84.7,1012.4,0.0,13.9,8.6,133.3,SE,12.65,13.83,9.95
490598,2017-05-10,2017,ATL,2017-05-10 13:10:00,13,4,2,6,2,13,10,13,280,80.9,2,46,0.0435,0.1538,78.8,26.0,67.3,1012.2,0.2,24.7,15.3,145.3,SE,24.15,24.47,20.91
490721,2017-05-19,2017,CLE,2017-05-19 19:10:00,19,3,5,8,5,21,6,14,304,84.5,2,46,0.0435,0.3571,77.4,25.2,90.3,1006.6,1.1,17.6,10.9,140.7,SE,16.85,17.57,14.09
490736,2017-05-20,2017,CLE,2017-05-20 15:10:00,15,0,3,3,1,15,3,11,259,82.6,2,47,0.0426,0.0909,84.5,29.2,66.0,1007.8,0.1,14.0,8.7,155.7,SE,13.99,13.3,13.0
490751,2017-05-21,2017,CLE,2017-05-21 13:10:00,13,6,8,14,5,21,9,16,323,83.9,3,47,0.0638,0.3125,81.8,27.7,71.3,1013.0,1.2,18.5,11.5,111.6,E,12.85,16.61,7.54
490766,2017-05-22,2017,DET,2017-05-22 19:10:00,19,1,0,1,0,21,4,10,253,83.3,2,37,0.0541,0.0,70.2,21.2,90.0,1008.3,0.0,13.6,8.4,357.3,N,-12.76,-10.42,-13.57
490775,2017-05-23,2017,DET,2017-05-23 19:10:00,19,6,2,8,3,12,7,12,297,79.5,3,51,0.0588,0.25,71.2,21.8,85.3,1006.6,5.4,18.7,11.6,334.7,NW,-18.64,-17.83,-17.2
490790,2017-05-24,2017,DET,2017-05-24 19:10:00,19,3,6,9,2,15,6,14,280,80.6,0,51,0.0,0.1429,71.7,22.0,55.0,1004.5,0.0,7.0,4.3,355.4,N,-6.66,-5.52,-7.0
490805,2017-05-25,2017,DET,2017-05-25 19:10:00,19,7,6,13,6,11,9,25,322,84.7,5,61,0.082,0.24,74.2,23.5,78.0,1005.7,0.0,19.0,11.8,160.7,S,18.94,17.44,18.15
490816,2017-05-26,2017,BAL,2017-05-26 19:10:00,19,2,0,2,2,11,0,17,247,83.7,2,56,0.0357,0.1176,79.8,26.5,86.0,1009.5,0.1,15.8,9.8,155.7,SE,15.76,14.98,14.64
490831,2017-05-27,2017,BAL,2017-05-27 18:15:00,18,5,2,7,1,18,5,18,276,82.8,4,47,0.0851,0.0556,80.9,27.2,85.3,1008.8,0.0,17.7,11.0,155.7,SE,17.66,16.79,16.4
490846,2017-05-28,2017,BAL,2017-05-28 13:10:00,13,8,4,12,3,19,3,18,309,82.9,3,50,0.06,0.1667,82.5,28.0,78.0,1010.3,6.2,18.7,11.6,131.6,SE,16.85,18.63,13.03
491011,2017-06-09,2017,LAA,2017-06-09 19:10:00,19,4,9,13,2,8,7,21,297,86.7,2,62,0.0323,0.0952,76.9,25.0,70.3,1008.8,0.0,11.3,7.0,154.9,SE,11.32,10.81,10.47
491026,2017-06-10,2017,LAA,2017-06-10 15:10:00,15,3,1,4,1,14,4,12,254,83.1,1,46,0.0217,0.0833,83.4,28.5,61.3,1009.2,0.1,19.9,12.3,148.0,SE,19.59,19.53,17.29
491042,2017-06-11,2017,LAA,2017-06-11 13:10:00,13,6,12,18,4,21,10,22,332,85.2,2,54,0.037,0.1818,84.1,29.0,73.3,1010.1,0.5,16.8,10.4,119.0,SE,13.13,15.9,8.77
491059,2017-06-12,2017,TEX,2017-06-12 19:10:00,19,1,6,7,1,14,7,11,284,81.0,2,49,0.0408,0.0909,78.2,25.7,88.0,1010.2,1.8,10.5,6.5,123.0,SE,8.68,10.2,6.12
491074,2017-06-13,2017,TEX,2017-06-13 19:10:00,19,2,4,6,4,20,7,13,289,80.1,2,45,0.0444,0.3077,79.2,26.2,87.3,1010.2,0.7,14.4,8.9,133.0,SE,13.07,14.32,10.25
491089,2017-06-14,2017,TEX,2017-06-14 19:10:00,19,13,2,15,3,21,6,26,327,84.1,3,52,0.0577,0.1154,80.7,27.0,85.7,1011.1,0.1,13.5,8.4,162.0,S,13.46,12.28,13.01
