game_pk,game_date,season,away_team,game_start,start_hour,home_runs_scored,away_runs_scored,total_runs,home_runs_hit,strikeouts,walks,hits,total_pitches,avg_exit_velocity,n_barrels,n_bbe,barrel_rate,hr_h_ratio,home_bat_hr,home_bat_k,home_bat_bb,home_bat_h,home_bat_pitches,home_bat_exit_velo,home_bat_bbe,home_bat_hr_h_ratio,away_bat_hr,away_bat_k,away_bat_bb,away_bat_h,away_bat_pitches,away_bat_exit_velo,away_bat_bbe,away_bat_hr_h_ratio,temp_f,temp_c,rhum,pres,prcp,wspd,wspd_mph,wdir,wind_dir_bucket,wind_cf,wind_lcf,wind_rcf,day_night
490111,2017-04-03,2017,SEA,2017-04-03 19:10:00,19,3,0,3,2,14,5,9,226,83.7,2,43,0.0465,0.2222,2.0,6.0,1.0,6.0,104.0,82.8,35.0,0.3333,0.0,8.0,4.0,3.0,122.0,84.9,28.0,0.0,72.6,22.5,68.0,1003.0,0.0,9.6,6.0,206.7,SW,6.3,3.43,8.41,night
490119,2017-04-04,2017,SEA,2017-04-04 19:10:00,19,2,1,3,2,14,5,12,240,81.9,0,48,0.0,0.1667,2.0,3.0,3.0,5.0,110.0,82.8,27.0,0.4,0.0,11.0,1.0,7.0,130.0,81.2,32.0,0.0,73.9,23.3,83.0,1002.7,0.0,15.0,9.3,150.7,SE,14.89,14.61,13.38,night
490133,2017-04-05,2017,SEA,2017-04-05 19:10:00,19,5,3,8,2,23,11,19,422,80.1,3,74,0.0405,0.1053,1.0,9.0,3.0,13.0,216.0,79.5,68.0,0.0769,1.0,14.0,8.0,6.0,206.0,80.9,46.0,0.1667,64.0,17.8,47.0,1015.3,0.0,11.5,7.2,336.7,NW,-11.53,-10.89,-10.78,night
490146,2017-04-06,2017,SEA,2017-04-06 19:10:00,19,2,4,6,3,18,7,13,286,82.8,4,47,0.0851,0.2308,2.0,10.0,2.0,6.0,143.0,83.8,37.0,0.3333,1.0,8.0,4.0,7.0,143.0,81.7,34.0,0.1429,68.6,20.3,45.3,1018.5,0.0,6.3,3.9,28.1,NE,-4.02,-2.1,-5.45,night
490153,2017-04-07,2017,KC,2017-04-07 19:10:00,19,1,5,6,1,13,9,16,306,80.4,2,52,0.0385,0.0625,0.0,8.0,3.0,6.0,135.0,83.1,28.0,0.0,1.0,5.0,6.0,10.0,171.0,78.8,48.0,0.1,67.9,19.9,60.0,1017.4,0.0,11.4,7.1,168.7,S,11.15,9.72,11.23,night
490168,2017-04-08,2017,KC,2017-04-08 18:10:00,18,3,7,10,4,11,4,16,244,83.7,3,55,0.0545,0.25,1.0,4.0,2.0,9.0,113.0,84.9,34.0,0.1111,3.0,7.0,2.0,7.0,131.0,82.5,36.0,0.4286,71.4,21.9,59.7,1012.6,0.0,19.0,11.8,162.3,S,18.93,17.24,18.34,night
490183,2017-04-09,2017,KC,2017-04-09 13:10:00,13,5,4,9,6,24,8,21,366,82.5,5,62,0.0806,0.2857,3.0,7.0,6.0,12.0,200.0,83.9,47.0,0.25,3.0,17.0,0.0,9.0,166.0,80.6,37.0,0.3333,77.8,25.5,58.0,1012.4,0.0,27.5,17.1,165.0,S,27.23,24.36,26.82,day
490288,2017-04-17,2017,LAA,2017-04-17 19:10:00,19,3,0,3,0,15,4,14,253,82.6,1,47,0.0213,0.0,0.0,5.0,2.0,9.0,113.0,82.8,33.0,0.0,0.0,10.0,2.0,5.0,140.0,82.3,28.0,0.0,69.3,20.7,93.3,1012.6,3.3,8.4,5.2,14.1,N,-6.77,-4.65,-8.08,night
490302,2017-04-18,2017,LAA,2017-04-18 19:10:00,19,2,5,7,4,18,4,20,300,82.0,2,52,0.0385,0.2,2.0,7.0,1.0,11.0,147.0,85.8,35.0,0.1818,2.0,11.0,3.0,9.0,153.0,78.8,42.0,0.2222,70.2,21.2,89.7,1013.4,1.2,11.2,7.0,94.0,E,4.99,8.12,1.26,night
490317,2017-04-19,2017,LAA,2017-04-19 19:10:00,19,5,1,6,1,16,3,17,245,80.9,1,46,0.0217,0.0588,1.0,9.0,2.0,9.0,127.0,81.8,27.0,0.1111,0.0,7.0,1.0,8.0,118.0,80.1,35.0,0.0,73.8,23.2,83.0,1014.4,0.0,10.1,6.3,137.9,SE,9.51,10.1,7.78,night
