game_pk,game_date,season,away_team,game_start,start_hour,home_runs_scored,away_runs_scored,total_runs,home_runs_hit,strikeouts,walks,hits,total_pitches,avg_exit_velocity,n_barrels,n_bbe,barrel_rate,hr_h_ratio,temp_f,temp_c,rhum,pres,prcp,wspd,wspd_mph,wdir,wind_dir_bucket,wind_cf,wind_lcf,wind_rcf
413662,2015-04-06,2015,TEX,2015-04-06 19:05:00,19.0,8,0,8,2,14,5,12,287,91.2,3,51,0.0588,0.1667,53.5,11.9,66.3,1010.6,0.0,16.3,10.1,180.0,S,11.53,14.77,6.89
413670,2015-04-07,2015,TEX,2015-04-07 19:05:00,19.0,1,3,4,0,13,3,13,260,85.3,1,51,0.0196,0.0,50.3,10.2,74.7,1015.1,0.0,10.3,6.4,255.7,W,8.83,6.51,10.09
413684,2015-04-08,2015,TEX,2015-04-08 19:05:00,19.0,10,0,10,0,17,5,18,286,85.9,1,53,0.0189,0.0,52.8,11.5,74.0,1018.6,0.0,8.5,5.3,297.3,NW,2.57,-0.34,5.17
413694,2015-04-09,2015,TEX,2015-04-09 12:35:00,12.0,1,10,11,4,11,5,18,274,84.6,3,59,0.0508,0.2222,64.3,17.9,46.3,1014.8,0.0,1.7,1.1,324.1,NW,-0.27,-0.84,0.33
413705,2015-04-10,2015,SEA,2015-04-10 19:05:00,19.0,12,0,12,1,13,6,19,288,85.9,2,56,0.0357,0.0526,54.9,12.7,71.3,1016.1,0.0,5.5,3.4,249.7,W,4.97,3.89,5.45
413720,2015-04-11,2015,SEA,2015-04-11 13:05:00,13.0,4,5,9,2,13,6,22,336,87.5,4,74,0.0541,0.0909,69.1,20.6,46.3,1016.4,0.0,17.5,10.9,278.7,W,10.37,4.92,14.56
413735,2015-04-12,2015,SEA,2015-04-12 13:05:00,13.0,7,8,15,2,11,7,21,303,87.0,1,68,0.0147,0.0952,73.9,23.3,37.7,1014.7,0.0,9.0,5.6,286.7,W,4.29,1.31,6.75
413889,2015-04-24,2015,HOU,2015-04-24 19:05:00,19.0,4,5,9,1,15,10,19,348,90.0,2,66,0.0303,0.0526,53.9,12.2,65.3,1015.1,0.0,13.7,8.5,212.6,SW,13.42,13.61,11.6
413904,2015-04-25,2015,HOU,2015-04-25 13:05:00,13.0,3,9,12,2,13,8,17,294,86.3,5,58,0.0862,0.1176,61.4,16.3,56.3,1014.2,0.0,19.1,11.9,273.0,W,12.78,7.15,16.86
413919,2015-04-26,2015,HOU,2015-04-26 13:05:00,13.0,6,7,13,1,15,7,17,306,88.7,2,57,0.0351,0.0588,70.7,21.5,40.0,1018.6,0.0,16.2,10.1,281.7,W,8.9,3.74,12.99
413944,2015-04-28,2015,LAA,2015-04-28 19:05:00,19.0,6,2,8,2,10,2,13,233,84.5,3,51,0.0588,0.1538,59.8,15.4,72.7,1015.1,0.0,11.8,7.3,240.3,SW,11.35,9.6,11.73
