game_pk,game_date,season,away_team,game_start,start_hour,home_runs_scored,away_runs_scored,total_runs,home_runs_hit,strikeouts,walks,hits,total_pitches,avg_exit_velocity,n_barrels,n_bbe,barrel_rate,hr_h_ratio,home_bat_hr,home_bat_k,home_bat_bb,home_bat_h,home_bat_pitches,home_bat_exit_velo,home_bat_bbe,home_bat_hr_h_ratio,away_bat_hr,away_bat_k,away_bat_bb,away_bat_h,away_bat_pitches,away_bat_exit_velo,away_bat_bbe,away_bat_hr_h_ratio,temp_f,temp_c,rhum,pres,prcp,wspd,wspd_mph,wdir,wind_dir_bucket,wind_cf,wind_lcf,wind_rcf,day_night
413662,2015-04-06,2015,TEX,2015-04-06 19:05:00,19.0,8,0,8,2,14,5,12,287,91.2,3,51,0.0588,0.1667,2.0,9.0,4.0,11.0,174.0,90.6,35.0,0.1818,0.0,5.0,1.0,1.0,113.0,92.0,26.0,0.0,54.4,12.5,62.3,1010.8,0.0,16.9,10.5,188.0,S,13.47,16.13,9.19,night
413670,2015-04-07,2015,TEX,2015-04-07 19:05:00,19.0,1,3,4,0,13,3,13,260,85.3,1,51,0.0196,0.0,0.0,7.0,3.0,5.0,135.0,83.5,28.0,0.0,0.0,6.0,0.0,8.0,125.0,86.9,32.0,0.0,51.3,10.7,71.3,1014.3,0.0,12.0,7.5,262.3,W,9.54,6.48,11.45,night
413684,2015-04-08,2015,TEX,2015-04-08 19:05:00,19.0,10,0,10,0,17,5,18,286,85.9,1,53,0.0189,0.0,0.0,4.0,3.0,15.0,158.0,84.9,41.0,0.0,0.0,13.0,2.0,3.0,128.0,88.3,18.0,0.0,55.1,12.8,67.0,1018.6,0.0,9.4,5.8,296.7,NW,2.95,-0.27,5.81,night
413694,2015-04-09,2015,TEX,2015-04-09 12:35:00,12.0,1,10,11,4,11,5,18,274,84.6,3,59,0.0508,0.2222,0.0,6.0,3.0,6.0,131.0,81.7,27.0,0.0,4.0,5.0,2.0,12.0,143.0,87.4,27.0,0.3333,62.8,17.1,48.3,1015.4,0.0,2.6,1.6,31.0,NE,-2.56,-2.62,-2.18,day
413705,2015-04-10,2015,SEA,2015-04-10 19:05:00,19.0,12,0,12,1,13,6,19,288,85.9,2,56,0.0357,0.0526,1.0,6.0,2.0,16.0,164.0,86.2,29.0,0.0625,0.0,7.0,2.0,3.0,124.0,85.4,24.0,0.0,57.2,14.0,64.0,1015.6,0.0,7.1,4.4,263.7,W,5.57,3.71,6.76,night
413720,2015-04-11,2015,SEA,2015-04-11 13:05:00,13.0,4,5,9,2,13,6,22,336,87.5,4,74,0.0541,0.0909,0.0,6.0,1.0,12.0,162.0,87.7,42.0,0.0,2.0,7.0,3.0,10.0,174.0,87.4,45.0,0.2,68.5,20.3,47.3,1016.9,0.0,16.2,10.1,275.7,W,10.27,5.36,13.93,day
413735,2015-04-12,2015,SEA,2015-04-12 13:05:00,13.0,7,8,15,2,11,7,21,303,87.0,1,68,0.0147,0.0952,0.0,5.0,4.0,14.0,156.0,85.1,41.0,0.0,2.0,6.0,3.0,7.0,147.0,89.0,38.0,0.2857,72.9,22.7,39.0,1015.3,0.0,6.9,4.3,289.3,W,2.97,0.68,4.91,day
413889,2015-04-24,2015,HOU,2015-04-24 19:05:00,19.0,4,5,9,1,15,10,19,348,90.0,2,66,0.0303,0.0526,1.0,5.0,3.0,8.0,161.0,87.8,40.0,0.125,0.0,10.0,5.0,11.0,187.0,92.4,36.0,0.0,55.0,12.8,59.7,1015.3,0.0,13.8,8.6,229.3,SW,13.76,12.58,13.29,night
413904,2015-04-25,2015,HOU,2015-04-25 13:05:00,13.0,3,9,12,2,13,8,17,294,86.3,5,58,0.0862,0.1176,0.0,9.0,4.0,6.0,152.0,81.7,30.0,0.0,2.0,4.0,4.0,11.0,142.0,90.1,37.0,0.1818,61.7,16.5,55.3,1014.3,0.0,18.4,11.5,274.3,W,12.01,6.51,16.07,day
413919,2015-04-26,2015,HOU,2015-04-26 13:05:00,13.0,6,7,13,1,15,7,17,306,88.7,2,57,0.0351,0.0588,0.0,6.0,3.0,7.0,139.0,87.9,33.0,0.0,1.0,9.0,3.0,10.0,167.0,89.5,34.0,0.1,70.0,21.1,40.7,1019.0,0.0,13.5,8.4,282.7,W,7.22,2.88,10.69,day
