game_pk,game_date,season,away_team,game_start,start_hour,home_runs_scored,away_runs_scored,total_runs,home_runs_hit,strikeouts,walks,hits,total_pitches,avg_exit_velocity,n_barrels,n_bbe,barrel_rate,hr_h_ratio,home_bat_hr,home_bat_k,home_bat_bb,home_bat_h,home_bat_pitches,home_bat_exit_velo,home_bat_bbe,home_bat_hr_h_ratio,away_bat_hr,away_bat_k,away_bat_bb,away_bat_h,away_bat_pitches,away_bat_exit_velo,away_bat_bbe,away_bat_hr_h_ratio,temp_f,temp_c,rhum,pres,prcp,wspd,wspd_mph,wdir,wind_dir_bucket,wind_cf,wind_lcf,wind_rcf
413753,2015-04-13,2015,TB,2015-04-13 19:07:00,19,1,2,3,0,12,10,5,265,88.7,0,46,0.0,0.0,0.0,4.0,4.0,2.0,122.0,85.3,27.0,0.0,0.0,8.0,6.0,3.0,143.0,92.3,26.0,0.0,46.5,8.1,91.7,1003.4,4.6,27.1,16.8,294.0,NW,-11.04,-18.84,-1.91
413766,2015-04-14,2015,TB,2015-04-14 19:07:00,19,2,3,5,1,15,6,15,314,91.8,2,53,0.0377,0.0667,0.0,4.0,1.0,8.0,154.0,93.3,34.0,0.0,1.0,11.0,4.0,7.0,160.0,89.6,24.0,0.1429,46.6,8.1,53.3,1011.6,0.0,8.4,5.2,347.7,N,-8.21,-8.32,-7.1
413781,2015-04-15,2015,TB,2015-04-15 19:07:00,19,12,7,19,5,12,9,25,319,90.3,7,62,0.1129,0.2,3.0,5.0,5.0,14.0,164.0,90.4,36.0,0.2143,2.0,7.0,4.0,11.0,155.0,90.1,35.0,0.1818,46.1,7.8,60.0,1018.2,0.0,5.7,3.6,19.9,N,-5.39,-4.4,-5.73
413788,2015-04-16,2015,TB,2015-04-16 19:07:00,19,2,4,6,1,20,7,12,296,85.5,0,43,0.0,0.0833,0.0,12.0,4.0,4.0,152.0,85.5,21.0,0.0,1.0,8.0,3.0,8.0,144.0,85.6,28.0,0.125,42.9,6.0,89.3,1009.7,1.5,9.5,5.9,181.3,S,9.5,8.85,9.0
413791,2015-04-17,2015,ATL,2015-04-17 19:07:00,19,7,8,15,7,15,8,23,325,89.8,7,62,0.1129,0.3043,5.0,7.0,3.0,11.0,161.0,93.3,34.0,0.4545,2.0,8.0,5.0,12.0,164.0,86.4,35.0,0.1667,54.9,12.7,65.7,1004.3,0.0,8.2,5.1,312.1,NW,-5.47,-7.21,-3.07
413806,2015-04-18,2015,ATL,2015-04-18 13:07:00,13,6,5,11,5,10,7,22,274,88.6,4,63,0.0635,0.2273,2.0,0.0,3.0,13.0,123.0,90.4,37.0,0.1538,3.0,10.0,4.0,9.0,151.0,86.5,32.0,0.3333,45.9,7.7,58.7,1007.0,0.0,22.4,13.9,336.3,NW,-20.55,-22.39,-16.23
413821,2015-04-19,2015,ATL,2015-04-19 13:07:00,13,2,5,7,0,17,9,13,297,86.5,1,45,0.0222,0.0,0.0,11.0,4.0,5.0,142.0,82.7,21.0,0.0,0.0,6.0,5.0,8.0,155.0,89.6,26.0,0.0,39.3,4.1,65.7,1009.8,0.0,27.0,16.8,89.7,E,-0.16,9.07,-9.37
413844,2015-04-21,2015,BAL,2015-04-21 19:07:00,19,13,6,19,3,8,6,28,299,88.7,4,70,0.0571,0.1071,3.0,3.0,4.0,16.0,157.0,91.8,41.0,0.1875,0.0,5.0,2.0,12.0,142.0,85.7,43.0,0.0,42.5,5.8,70.3,992.6,1.7,15.0,9.3,248.0,W,5.61,0.51,10.03
413859,2015-04-22,2015,BAL,2015-04-22 19:07:00,19,4,2,6,3,15,11,14,273,87.6,3,45,0.0667,0.2143,2.0,9.0,3.0,9.0,137.0,88.9,26.0,0.2222,1.0,6.0,8.0,5.0,136.0,86.2,25.0,0.2,38.1,3.4,67.7,994.7,0.0,15.2,9.5,280.7,W,-2.82,-7.77,2.47
413874,2015-04-23,2015,BAL,2015-04-23 19:07:00,19,7,6,13,3,16,8,15,268,86.3,4,49,0.0816,0.2,1.0,7.0,8.0,7.0,146.0,84.7,26.0,0.1429,2.0,9.0,0.0,8.0,122.0,87.7,31.0,0.25,35.1,1.7,54.0,1002.8,0.0,20.6,12.8,294.3,NW,-8.5,-14.42,-1.56
414031,2015-05-04,2015,NYY,2015-05-04 19:07:00,19,3,1,4,0,8,3,13,230,86.5,1,55,0.0182,0.0,0.0,7.0,0.0,10.0,112.0,85.4,29.0,0.0,0.0,1.0,3.0,3.0,118.0,87.6,31.0,0.0,52.0,11.1,86.3,1008.2,0.0,8.6,5.4,291.7,W,-3.19,-5.74,-0.25
414046,2015-05-05,2015,NYY,2015-05-05 19:07:00,19,3,6,9,2,11,5,19,284,86.9,3,60,0.05,0.1053,1.0,6.0,3.0,8.0,128.0,88.1,30.0,0.125,1.0,5.0,2.0,11.0,156.0,85.8,36.0,0.0909,47.4,8.5,99.0,1014.3,0.0,2.8,1.7,214.5,SW,2.31,1.63,2.71
414061,2015-05-06,2015,NYY,2015-05-06 19:07:00,19,5,1,6,1,10,6,19,263,86.6,1,56,0.0179,0.0526,1.0,5.0,2.0,12.0,128.0,88.1,33.0,0.0833,0.0,5.0,4.0,7.0,135.0,85.2,34.0,0.0,50.1,10.0,81.0,1011.6,0.0,5.6,3.5,109.9,E,1.92,3.61,-0.01
414081,2015-05-08,2015,BOS,2015-05-08 19:07:00,19,7,0,7,2,18,6,14,284,88.6,5,45,0.1111,0.1429,2.0,11.0,1.0,12.0,150.0,91.2,29.0,0.1667,0.0,7.0,5.0,2.0,134.0,85.4,24.0,0.0,53.0,11.7,85.7,1005.1,0.0,8.6,5.3,122.0,SE,4.54,6.75,1.78
414096,2015-05-09,2015,BOS,2015-05-09 13:07:00,13,7,1,8,1,15,9,17,321,87.7,1,55,0.0182,0.0588,1.0,5.0,8.0,9.0,169.0,88.2,23.0,0.1111,0.0,10.0,1.0,8.0,152.0,87.0,16.0,0.0,55.9,13.3,84.3,1006.5,0.0,12.5,7.8,152.0,SE,11.07,12.41,8.39
414111,2015-05-10,2015,BOS,2015-05-10 13:07:00,13,3,6,9,2,6,8,15,274,84.1,2,59,0.0339,0.1333,0.0,4.0,4.0,8.0,136.0,82.9,29.0,0.0,2.0,2.0,4.0,7.0,138.0,85.2,35.0,0.2857,54.3,12.4,94.0,1008.1,0.0,5.9,3.7,67.7,E,-2.25,-0.23,-3.99
414220,2015-05-18,2015,LAA,2015-05-18 13:07:00,13,10,6,16,4,17,6,29,333,89.5,6,61,0.0984,0.1379,1.0,7.0,5.0,17.0,179.0,86.8,41.0,0.0588,3.0,10.0,1.0,12.0,154.0,92.9,32.0,0.25,59.0,15.0,91.7,1004.6,0.0,16.4,10.2,199.3,S,15.51,12.71,16.43
