game_pk,game_date,season,away_team,game_start,start_hour,home_runs_scored,away_runs_scored,total_runs,home_runs_hit,strikeouts,walks,hits,total_pitches,avg_exit_velocity,n_barrels,n_bbe,barrel_rate,hr_h_ratio,home_bat_hr,home_bat_k,home_bat_bb,home_bat_h,home_bat_pitches,home_bat_exit_velo,home_bat_bbe,home_bat_hr_h_ratio,away_bat_hr,away_bat_k,away_bat_bb,away_bat_h,away_bat_pitches,away_bat_exit_velo,away_bat_bbe,away_bat_hr_h_ratio,temp_f,temp_c,rhum,pres,prcp,wspd,wspd_mph,wdir,wind_dir_bucket,wind_cf,wind_lcf,wind_rcf
413703,2015-04-10,2015,NYM,2015-04-10 19:35:00,19,5,3,8,3,18,5,17,315,89.1,3,51,0.0588,0.1765,1.0,7.0,2.0,9.0,154.0,90.4,30.0,0.1111,2.0,11.0,2.0,8.0,161.0,87.6,27.0,0.25,65.4,18.6,96.7,979.6,0.3,4.2,2.6,283.2,W,2.47,3.5,1.15
413718,2015-04-11,2015,NYM,2015-04-11 19:10:00,19,5,3,8,1,9,4,12,234,86.7,1,52,0.0192,0.0833,1.0,4.0,0.0,9.0,115.0,85.8,31.0,0.1111,0.0,5.0,4.0,3.0,119.0,87.8,26.0,0.0,66.3,19.0,48.7,981.5,0.0,8.5,5.3,317.7,NW,8.03,8.53,6.55
413733,2015-04-12,2015,NYM,2015-04-12 13:35:00,13,3,4,7,2,16,6,16,233,85.1,2,52,0.0385,0.125,1.0,8.0,0.0,7.0,102.0,85.6,27.0,0.1429,1.0,8.0,5.0,9.0,131.0,84.6,31.0,0.1111,67.8,19.9,76.0,985.6,0.3,16.8,10.4,100.3,E,-9.09,-13.36,-3.72
413747,2015-04-13,2015,MIA,2015-04-13 19:10:00,19,3,2,5,0,16,11,13,295,88.6,3,44,0.0682,0.0,0.0,8.0,7.0,7.0,142.0,86.2,25.0,0.0,0.0,8.0,4.0,6.0,153.0,90.9,27.0,0.0,65.5,18.6,97.7,982.0,1.3,10.4,6.4,93.7,E,-4.57,-7.48,-1.11
413761,2015-04-14,2015,MIA,2015-04-14 19:10:00,19,2,8,10,2,14,8,19,307,83.5,1,58,0.0172,0.1053,2.0,6.0,2.0,8.0,147.0,83.8,33.0,0.25,0.0,8.0,6.0,11.0,160.0,83.2,34.0,0.0,73.3,23.0,69.7,980.2,0.0,9.0,5.6,244.3,SW,-0.5,2.61,-3.54
413775,2015-04-15,2015,MIA,2015-04-15 12:10:00,12,2,6,8,4,12,6,11,273,87.7,2,50,0.04,0.3636,2.0,7.0,2.0,3.0,130.0,85.6,26.0,0.6667,2.0,5.0,4.0,8.0,143.0,89.6,29.0,0.25,65.2,18.5,97.0,981.7,11.1,6.7,4.2,116.7,SE,-5.07,-6.26,-3.27
413943,2015-04-27,2015,WSH,2015-04-27 19:10:00,19,8,4,12,1,13,8,18,308,85.6,4,56,0.0714,0.0556,1.0,7.0,3.0,13.0,158.0,84.5,35.0,0.0769,0.0,6.0,5.0,5.0,150.0,86.7,34.0,0.0,61.2,16.2,51.7,974.5,0.0,11.2,7.0,323.7,NW,10.91,11.17,9.33
413958,2015-04-28,2015,WSH,2015-04-28 19:10:00,19,12,13,25,3,11,11,32,322,88.2,4,75,0.0533,0.0938,0.0,3.0,6.0,17.0,174.0,86.8,42.0,0.0,3.0,8.0,4.0,15.0,148.0,89.7,36.0,0.2,63.9,17.7,64.0,973.8,0.8,4.7,2.9,107.6,E,-3.03,-4.07,-1.61
413973,2015-04-29,2015,WSH,2015-04-29 19:10:00,19,4,13,17,1,21,6,23,312,85.5,4,53,0.0755,0.0435,0.0,10.0,1.0,8.0,120.0,80.9,25.0,0.0,1.0,11.0,5.0,15.0,192.0,88.7,37.0,0.0667,60.0,15.5,70.3,971.7,0.0,4.4,2.7,283.1,W,2.56,3.63,1.18
413976,2015-04-30,2015,CIN,2015-04-30 19:10:00,19,1,5,6,4,14,7,13,268,88.2,4,50,0.08,0.3077,0.0,3.0,3.0,4.0,122.0,83.8,29.0,0.0,4.0,11.0,3.0,9.0,146.0,92.8,27.0,0.4444,62.5,16.9,59.7,972.2,0.0,11.1,6.9,298.5,NW,8.65,10.53,5.74
