game_pk,game_date,season,away_team,game_start,start_hour,home_runs_scored,away_runs_scored,total_runs,home_runs_hit,strikeouts,walks,hits,total_pitches,avg_exit_velocity,n_barrels,n_bbe,barrel_rate,hr_h_ratio,temp_f,temp_c,rhum,pres,prcp,wspd,wspd_mph,wdir,wind_dir_bucket,wind_cf,wind_lcf,wind_rcf
413655,2015-04-06,2015,COL,2015-04-06 13:10:00,13,0,10,10,2,15,1,24,284,87.7,0,61,0.0,0.0833,44.9,7.2,71.7,994.3,0.0,17.4,10.8,48.7,NE,-1.11,-6.97,4.88
413667,2015-04-07,2015,COL,2015-04-07 19:10:00,19,2,5,7,0,13,3,18,262,88.9,0,57,0.0,0.0,40.9,4.9,84.0,996.3,0.4,21.5,13.4,71.3,E,-9.54,-15.55,-2.37
413677,2015-04-08,2015,COL,2015-04-08 19:10:00,19,4,5,9,4,15,5,18,292,87.2,4,59,0.0678,0.2222,38.2,3.5,85.3,993.2,0.6,14.3,8.9,59.7,NE,-3.62,-8.13,1.33
413704,2015-04-10,2015,PIT,2015-04-10 19:10:00,19,2,6,8,2,18,4,19,290,84.8,6,54,0.1111,0.1053,42.9,6.1,75.3,994.9,0.0,13.5,8.4,269.7,W,9.49,12.2,5.63
413719,2015-04-11,2015,PIT,2015-04-11 18:10:00,18,6,0,6,1,17,4,9,226,91.6,3,40,0.075,0.1111,49.3,9.6,60.7,996.9,0.0,13.3,8.3,181.7,S,-9.15,-5.28,-11.92
413734,2015-04-12,2015,PIT,2015-04-12 13:10:00,13,2,10,12,3,18,4,18,290,88.0,3,53,0.0566,0.1667,60.6,15.9,50.3,993.2,0.0,24.5,15.2,171.3,S,-19.76,-13.6,-23.54
413836,2015-04-20,2015,CIN,2015-04-20 18:20:00,18,1,6,7,3,13,6,12,238,85.3,3,52,0.0577,0.25,45.3,7.4,52.3,977.7,0.0,24.6,15.3,270.3,W,17.52,22.39,10.54
413847,2015-04-21,2015,CIN,2015-04-21 19:10:00,19,10,16,26,7,23,9,25,344,89.3,4,58,0.069,0.28,42.0,5.6,48.7,981.1,0.0,22.7,14.1,274.3,W,17.24,21.27,11.14
413862,2015-04-22,2015,CIN,2015-04-22 19:10:00,19,1,2,3,0,16,5,9,249,85.4,0,44,0.0,0.0,40.6,4.8,46.7,987.9,0.0,12.5,7.7,305.3,NW,12.29,12.26,10.83
413877,2015-04-23,2015,CIN,2015-04-23 12:40:00,12,4,2,6,3,15,3,14,244,85.5,4,46,0.087,0.2143,46.2,7.9,41.0,993.6,0.0,7.3,4.6,319.0,NW,7.32,6.7,7.05
