game_pk,game_date,season,away_team,game_start,start_hour,home_runs_scored,away_runs_scored,total_runs,home_runs_hit,strikeouts,walks,hits,total_pitches,avg_exit_velocity,n_barrels,n_bbe,barrel_rate,hr_h_ratio,home_bat_hr,home_bat_k,home_bat_bb,home_bat_h,home_bat_pitches,home_bat_exit_velo,home_bat_bbe,home_bat_hr_h_ratio,away_bat_hr,away_bat_k,away_bat_bb,away_bat_h,away_bat_pitches,away_bat_exit_velo,away_bat_bbe,away_bat_hr_h_ratio,temp_f,temp_c,rhum,pres,prcp,wspd,wspd_mph,wdir,wind_dir_bucket,wind_cf,wind_lcf,wind_rcf,day_night
413655,2015-04-06,2015,COL,2015-04-06 13:10:00,13,0,10,10,2,15,1,24,284,87.7,0,61,0.0,0.0833,0.0,9.0,0.0,8.0,122.0,88.1,22.0,0.0,2.0,6.0,1.0,16.0,162.0,87.4,28.0,0.125,44.9,7.2,72.7,994.4,0.0,17.1,10.6,50.3,NE,-1.59,-7.3,4.32,day
413667,2015-04-07,2015,COL,2015-04-07 19:10:00,19,2,5,7,0,13,3,18,262,88.9,0,57,0.0,0.0,0.0,7.0,1.0,6.0,114.0,88.0,28.0,0.0,0.0,6.0,2.0,12.0,148.0,89.5,39.0,0.0,40.9,4.9,83.0,996.3,0.4,20.6,12.8,60.0,NE,-5.32,-11.79,1.8,night
413677,2015-04-08,2015,COL,2015-04-08 19:10:00,19,4,5,9,4,15,5,18,292,87.2,4,59,0.0678,0.2222,1.0,8.0,5.0,8.0,158.0,82.0,34.0,0.125,3.0,7.0,0.0,10.0,134.0,92.5,33.0,0.3,38.5,3.6,84.0,992.7,0.0,16.1,10.0,57.3,NE,-3.43,-8.59,2.15,night
413704,2015-04-10,2015,PIT,2015-04-10 19:10:00,19,2,6,8,2,18,4,19,290,84.8,6,54,0.1111,0.1053,0.0,6.0,2.0,9.0,136.0,84.9,34.0,0.0,2.0,12.0,1.0,10.0,154.0,84.7,29.0,0.2,43.6,6.5,76.7,994.0,0.0,13.0,8.1,280.0,W,10.67,12.59,7.47,night
413719,2015-04-11,2015,PIT,2015-04-11 18:10:00,18,6,0,6,1,17,4,9,226,91.6,3,40,0.075,0.1111,1.0,6.0,2.0,7.0,111.0,94.1,28.0,0.1429,0.0,11.0,2.0,2.0,115.0,87.5,17.0,0.0,51.3,10.7,56.0,997.0,0.0,12.6,7.8,179.3,S,-9.01,-5.46,-11.48,night
413734,2015-04-12,2015,PIT,2015-04-12 13:10:00,13,2,10,12,3,18,4,18,290,88.0,3,53,0.0566,0.1667,1.0,9.0,4.0,5.0,148.0,87.8,24.0,0.2,2.0,9.0,0.0,13.0,142.0,88.1,34.0,0.1538,59.6,15.3,51.3,994.0,0.0,24.2,15.0,171.0,S,-19.58,-13.53,-23.26,day
413836,2015-04-20,2015,CIN,2015-04-20 18:20:00,18,1,6,7,3,13,6,12,238,85.3,3,52,0.0577,0.25,1.0,7.0,1.0,3.0,107.0,88.5,28.0,0.3333,2.0,6.0,5.0,9.0,131.0,82.7,33.0,0.2222,45.8,7.7,54.7,977.2,0.0,25.8,16.1,270.0,W,18.27,23.41,10.92,night
413847,2015-04-21,2015,CIN,2015-04-21 19:10:00,19,10,16,26,7,23,9,25,344,89.3,4,58,0.069,0.28,2.0,15.0,3.0,12.0,159.0,94.5,26.0,0.1667,5.0,8.0,6.0,13.0,185.0,85.9,40.0,0.3846,43.3,6.3,45.7,981.1,0.0,24.3,15.1,274.0,W,18.31,22.65,11.76,night
413862,2015-04-22,2015,CIN,2015-04-22 19:10:00,19,1,2,3,0,16,5,9,249,85.4,0,44,0.0,0.0,0.0,10.0,2.0,5.0,139.0,86.1,25.0,0.0,0.0,6.0,3.0,4.0,110.0,84.7,24.0,0.0,41.8,5.4,45.0,987.7,0.0,14.3,8.9,300.7,NW,13.89,14.26,11.84,night
413877,2015-04-23,2015,CIN,2015-04-23 12:40:00,12,4,2,6,3,15,3,14,244,85.5,4,46,0.087,0.2143,2.0,7.0,2.0,10.0,121.0,85.4,25.0,0.2,1.0,8.0,1.0,4.0,123.0,85.7,24.0,0.25,45.9,7.7,39.3,993.7,0.0,11.0,6.8,324.0,NW,10.86,9.62,10.8,day
413896,2015-04-24,2015,STL,2015-04-24 19:10:00,19,0,3,3,2,19,5,13,261,86.9,2,46,0.0435,0.1538,0.0,10.0,2.0,5.0,121.0,86.2,26.0,0.0,2.0,9.0,2.0,8.0,140.0,87.4,33.0,0.25,37.6,3.1,84.3,992.4,2.8,10.0,6.2,70.3,E,-4.29,-7.14,-0.93,night
413911,2015-04-25,2015,STL,2015-04-25 18:10:00,18,3,5,8,1,15,6,18,269,88.9,1,53,0.0189,0.0556,0.0,8.0,3.0,9.0,124.0,87.5,28.0,0.0,1.0,7.0,2.0,9.0,145.0,90.1,31.0,0.1111,41.1,5.0,59.7,988.1,0.0,20.2,12.5,17.3,N,9.36,2.69,14.91,night
413926,2015-04-26,2015,STL,2015-04-26 13:10:00,13,6,3,9,2,14,5,23,291,90.3,4,60,0.0667,0.087,1.0,7.0,1.0,10.0,134.0,88.6,28.0,0.1,1.0,7.0,4.0,13.0,157.0,91.8,33.0,0.0769,50.0,10.0,50.0,994.2,0.0,17.0,10.5,28.7,NE,4.77,-1.09,10.05,day
414029,2015-05-04,2015,LAD,2015-05-04 18:20:00,18,4,3,7,2,19,5,13,282,87.3,4,45,0.0889,0.1538,1.0,8.0,0.0,7.0,105.0,88.0,27.0,0.1429,1.0,11.0,5.0,6.0,177.0,86.7,30.0,0.1667,52.9,11.6,65.3,998.8,0.0,11.0,6.8,56.3,NE,-2.15,-5.7,1.65,night
