game_pk,game_date,season,away_team,game_start,start_hour,home_runs_scored,away_runs_scored,total_runs,home_runs_hit,strikeouts,walks,hits,total_pitches,avg_exit_velocity,n_barrels,n_bbe,barrel_rate,hr_h_ratio,home_bat_hr,home_bat_k,home_bat_bb,home_bat_h,home_bat_pitches,home_bat_exit_velo,home_bat_bbe,home_bat_hr_h_ratio,away_bat_hr,away_bat_k,away_bat_bb,away_bat_h,away_bat_pitches,away_bat_exit_velo,away_bat_bbe,away_bat_hr_h_ratio,temp_f,temp_c,rhum,pres,prcp,wspd,wspd_mph,wdir,wind_dir_bucket,wind_cf,wind_lcf,wind_rcf,day_night
413748,2015-04-13,2015,MIL,2015-04-13 15:15:00,15,4,5,9,0,12,7,17,268,84.9,0,60,0.0,0.0,0.0,6.0,5.0,9.0,141.0,86.6,32.0,0.0,0.0,6.0,1.0,8.0,127.0,83.2,32.0,0.0,65.1,18.4,48.3,1001.9,0.0,14.6,9.1,357.0,N,-9.75,-12.86,-5.46,day
413776,2015-04-15,2015,MIL,2015-04-15 19:15:00,19,4,2,6,0,10,3,20,265,86.6,1,62,0.0161,0.0,0.0,4.0,1.0,10.0,103.0,88.7,33.0,0.0,0.0,6.0,2.0,10.0,162.0,84.7,36.0,0.0,61.2,16.2,76.3,999.3,0.2,7.0,4.3,105.0,E,-3.48,-1.21,-5.34,night
413786,2015-04-16,2015,MIL,2015-04-16 12:45:00,12,4,0,4,0,15,3,17,281,87.2,1,52,0.0192,0.0,0.0,5.0,2.0,11.0,144.0,88.2,38.0,0.0,0.0,10.0,1.0,6.0,137.0,86.0,30.0,0.0,69.4,20.8,65.7,1001.1,0.0,2.9,1.8,1.9,N,-2.14,-2.7,-1.33,day
413794,2015-04-17,2015,CIN,2015-04-17 19:15:00,19,6,1,7,1,17,4,13,254,85.0,1,48,0.0208,0.0769,0.0,10.0,1.0,7.0,120.0,83.9,26.0,0.0,1.0,7.0,2.0,6.0,134.0,86.0,31.0,0.1667,69.8,21.0,67.0,998.3,0.0,5.6,3.5,108.0,E,-2.53,-0.68,-4.07,night
413809,2015-04-18,2015,CIN,2015-04-18 13:15:00,13,5,2,7,2,7,6,19,257,88.8,2,62,0.0323,0.1053,1.0,2.0,1.0,10.0,125.0,90.1,35.0,0.1,1.0,5.0,3.0,9.0,132.0,87.5,35.0,0.1111,75.3,24.0,56.7,997.0,0.0,12.5,7.8,140.7,SE,1.23,5.41,-3.09,day
413824,2015-04-19,2015,CIN,2015-04-19 19:05:00,19,2,1,3,1,8,2,12,200,85.0,1,54,0.0185,0.0833,1.0,3.0,0.0,4.0,86.0,90.6,29.0,0.25,0.0,5.0,2.0,8.0,114.0,80.9,39.0,0.0,60.8,16.0,93.3,981.5,0.8,12.2,7.6,260.7,W,9.88,6.86,11.71,night
413937,2015-04-27,2015,PHI,2015-04-27 19:15:00,19,1,4,5,0,15,5,16,255,83.2,1,52,0.0192,0.0,0.0,13.0,3.0,5.0,147.0,80.9,25.0,0.0,0.0,2.0,1.0,11.0,108.0,84.8,36.0,0.0,57.6,14.2,51.0,1000.0,0.0,10.9,6.8,34.3,NE,-10.71,-10.76,-9.38,night
413952,2015-04-28,2015,PHI,2015-04-28 19:15:00,19,11,5,16,0,11,8,24,298,85.4,4,63,0.0635,0.0,0.0,4.0,6.0,15.0,172.0,85.3,43.0,0.0,0.0,7.0,2.0,9.0,126.0,85.5,30.0,0.0,60.3,15.7,58.7,997.2,0.0,6.2,3.9,96.7,E,-3.84,-1.95,-5.28,night
413967,2015-04-29,2015,PHI,2015-04-29 19:15:00,19,5,2,7,1,12,6,17,248,87.3,1,55,0.0182,0.0588,0.0,6.0,2.0,9.0,110.0,89.0,30.0,0.0,1.0,6.0,3.0,8.0,138.0,85.8,32.0,0.125,63.0,17.2,59.0,993.5,0.0,3.5,2.2,11.9,N,-2.96,-3.44,-2.12,night
413978,2015-04-30,2015,PHI,2015-04-30 12:45:00,12,9,3,12,2,10,9,20,296,92.2,2,56,0.0357,0.1,1.0,3.0,7.0,12.0,163.0,91.3,18.0,0.0833,1.0,7.0,2.0,8.0,133.0,93.1,17.0,0.125,65.8,18.8,39.3,996.6,0.0,17.0,10.6,357.0,N,-11.4,-15.04,-6.38,day
413992,2015-05-01,2015,PIT,2015-05-01 19:15:00,19,2,1,3,0,22,6,16,314,85.8,1,49,0.0204,0.0,0.0,10.0,4.0,8.0,166.0,87.7,37.0,0.0,0.0,12.0,1.0,8.0,148.0,83.8,33.0,0.0,63.4,17.4,47.3,1001.9,0.0,3.7,2.3,128.9,SE,-0.4,0.9,-1.64,night
414007,2015-05-02,2015,PIT,2015-05-02 13:15:00,13,2,1,3,0,13,9,18,310,83.9,1,67,0.0149,0.0,0.0,6.0,4.0,6.0,131.0,79.7,35.0,0.0,0.0,7.0,2.0,12.0,179.0,87.5,40.0,0.0,74.2,23.5,38.7,1000.4,0.0,9.2,5.7,206.0,SW,8.7,9.2,7.15,day
414022,2015-05-03,2015,PIT,2015-05-03 13:15:00,13,3,2,5,4,20,9,23,434,86.4,5,82,0.061,0.1739,2.0,11.0,4.0,12.0,216.0,87.5,48.0,0.1667,2.0,9.0,4.0,11.0,218.0,85.4,57.0,0.1818,79.8,26.6,39.3,998.1,0.0,18.5,11.5,190.7,S,15.3,17.96,10.81,day
414028,2015-05-04,2015,CHC,2015-05-04 19:10:00,19,10,9,19,3,16,11,23,347,85.0,5,58,0.0862,0.1304,1.0,6.0,4.0,11.0,154.0,83.0,38.0,0.0909,2.0,10.0,7.0,12.0,193.0,87.0,36.0,0.1667,75.6,24.2,52.3,1000.5,0.0,12.4,7.7,171.3,S,7.35,10.32,3.49,night
414040,2015-05-05,2015,CHC,2015-05-05 19:15:00,19,7,4,11,1,14,6,22,307,90.0,6,58,0.1034,0.0455,1.0,2.0,2.0,12.0,127.0,89.1,35.0,0.0833,0.0,12.0,4.0,10.0,180.0,91.2,28.0,0.0,74.2,23.5,54.7,1002.3,0.0,6.6,4.1,141.3,SE,0.73,2.94,-1.57,night
