game_pk,game_date,season,away_team,game_start,start_hour,home_runs_scored,away_runs_scored,total_runs,home_runs_hit,strikeouts,walks,hits,total_pitches,avg_exit_velocity,n_barrels,n_bbe,barrel_rate,hr_h_ratio,home_bat_hr,home_bat_k,home_bat_bb,home_bat_h,home_bat_pitches,home_bat_exit_velo,home_bat_bbe,home_bat_hr_h_ratio,away_bat_hr,away_bat_k,away_bat_bb,away_bat_h,away_bat_pitches,away_bat_exit_velo,away_bat_bbe,away_bat_hr_h_ratio,temp_f,temp_c,rhum,pres,prcp,wspd,wspd_mph,wdir,wind_dir_bucket,wind_cf,wind_lcf,wind_rcf
413661,2015-04-05,2015,STL,2015-04-05 19:05:00,19,0,3,3,0,23,6,15,314,85.3,1,45,0.0222,0.0,0.0,12.0,2.0,5.0,156.0,85.8,26.0,0.0,0.0,11.0,3.0,10.0,158.0,84.8,27.0,0.0,48.0,8.9,66.0,993.6,0.0,5.6,3.5,32.7,NE,-5.5,-5.58,-4.76
413693,2015-04-08,2015,STL,2015-04-08 13:20:00,13,2,0,2,0,19,4,6,237,84.3,0,38,0.0,0.0,0.0,11.0,1.0,2.0,111.0,85.5,16.0,0.0,0.0,8.0,3.0,4.0,126.0,83.6,28.0,0.0,45.1,7.3,88.7,993.6,0.0,15.8,9.8,17.0,N,-13.98,-15.68,-10.59
413743,2015-04-13,2015,CIN,2015-04-13 19:05:00,19,7,6,13,3,11,5,23,313,87.0,1,68,0.0147,0.1304,3.0,4.0,4.0,10.0,168.0,90.5,32.0,0.3,0.0,7.0,0.0,13.0,145.0,84.2,39.0,0.0,57.0,13.9,46.7,997.5,0.0,10.1,6.3,276.0,W,6.33,3.28,8.63
413758,2015-04-14,2015,CIN,2015-04-14 19:05:00,19,2,3,5,1,17,7,12,287,86.9,0,47,0.0,0.0833,1.0,9.0,5.0,5.0,146.0,87.4,24.0,0.2,0.0,8.0,2.0,7.0,141.0,86.5,30.0,0.0,48.4,9.1,60.0,1001.5,0.0,9.9,6.2,76.7,E,-8.43,-6.14,-9.7
413771,2015-04-15,2015,CIN,2015-04-15 19:05:00,19,5,0,5,1,14,7,15,257,85.2,2,50,0.04,0.0667,1.0,6.0,3.0,11.0,132.0,85.4,28.0,0.0909,0.0,8.0,3.0,4.0,125.0,85.0,25.0,0.0,50.8,10.5,60.0,1000.2,0.0,17.0,10.5,72.0,E,-15.12,-11.57,-16.84
413802,2015-04-17,2015,SD,2015-04-17 13:20:00,13,4,5,9,2,19,5,15,280,85.8,5,50,0.1,0.1333,0.0,12.0,2.0,7.0,145.0,88.0,24.0,0.0,2.0,7.0,2.0,8.0,135.0,84.2,32.0,0.25,67.4,19.7,51.7,995.6,0.0,6.1,3.8,160.3,S,2.59,4.31,0.56
413817,2015-04-18,2015,SD,2015-04-18 13:20:00,13,7,6,13,3,25,9,22,396,88.2,6,61,0.0984,0.1364,2.0,12.0,7.0,12.0,219.0,88.1,33.0,0.1667,1.0,13.0,1.0,10.0,177.0,88.3,29.0,0.1,50.4,10.2,68.7,997.1,0.0,19.9,12.4,13.3,N,-16.97,-19.52,-12.36
413832,2015-04-19,2015,SD,2015-04-19 13:20:00,13,2,5,7,2,13,4,17,296,85.0,1,58,0.0172,0.1176,0.0,8.0,2.0,7.0,144.0,84.0,30.0,0.0,2.0,5.0,2.0,10.0,152.0,85.7,39.0,0.2,60.7,15.9,59.7,982.6,0.0,13.6,8.5,72.3,E,-12.11,-9.24,-13.52
413938,2015-04-27,2015,PIT,2015-04-27 19:05:00,19,4,0,4,0,13,2,15,244,88.0,0,51,0.0,0.0,0.0,5.0,2.0,11.0,124.0,91.6,31.0,0.0,0.0,8.0,0.0,4.0,120.0,83.6,25.0,0.0,41.2,5.1,75.7,997.9,0.0,8.8,5.5,27.3,NE,-8.38,-8.79,-6.97
413953,2015-04-28,2015,PIT,2015-04-28 19:05:00,19,6,2,8,1,19,6,17,276,84.0,2,48,0.0417,0.0588,0.0,8.0,5.0,12.0,159.0,83.2,29.0,0.0,1.0,11.0,0.0,5.0,117.0,84.9,27.0,0.2,42.6,5.9,82.0,994.9,0.0,6.5,4.0,36.6,NE,-6.4,-6.33,-5.69
