dataset_file,output_file,rows,day_games,night_games,missing_label
angels_data_2018.csv,angels_data_2018_day_night.csv,597,140,457,0
astros_data_2017.csv,astros_data_2017_day_night.csv,677,196,481,0
athletics_data_2015.csv,athletics_data_2015_day_night.csv,838,362,452,24
blue_jays_data_2015.csv,blue_jays_data_2015_day_night.csv,839,341,498,0
braves_data_2015.csv,braves_data_2015_day_night.csv,838,201,637,0
brewers_data_2015.csv,brewers_data_2015_day_night.csv,840,316,524,0
cardinals_data_2015.csv,cardinals_data_2015_day_night.csv,840,290,550,0
cubs_data_2015.csv,cubs_data_2015_day_night.csv,839,465,374,0
dbacks_data_2015.csv,dbacks_data_2015_day_night.csv,838,238,575,25
dodgers_data_2015.csv,dodgers_data_2015_day_night.csv,840,197,643,0
fenway_data_2016.csv,fenway_data_2016_day_night.csv,758,255,503,0
giants_data_2020.csv,giants_data_2020_day_night.csv,435,178,257,0
guardians_data_2015.csv,guardians_data_2015_day_night.csv,838,281,557,0
mariners_data_2015.csv,mariners_data_2015_day_night.csv,837,263,574,0
marlins_data_2020.csv,marlins_data_2020_day_night.csv,434,159,275,0
mets_data_2015.csv,mets_data_2015_day_night.csv,839,280,559,0
nationals_data_2015.csv,nationals_data_2015_day_night.csv,839,345,494,0
orioles_data_2015.csv,orioles_data_2015_day_night.csv,839,259,580,0
padres_data_2015.csv,padres_data_2015_day_night.csv,838,261,577,0
phillies_data_2015.csv,phillies_data_2015_day_night.csv,838,276,562,0
pirates_data_2015.csv,pirates_data_2015_day_night.csv,837,288,549,0
rangers_data_2015.csv,rangers_data_2015_day_night.csv,839,247,592,0
rays_data_2015.csv,rays_data_2015_day_night.csv,838,304,534,0
reds_data_2015.csv,reds_data_2015_day_night.csv,838,322,516,0
rockies_data_2016.csv,rockies_data_2016_day_night.csv,757,262,495,0
royals_data_2015.csv,royals_data_2015_day_night.csv,838,270,568,0
tigers_data_2015.csv,tigers_data_2015_day_night.csv,836,380,456,0
twins_data_2015.csv,twins_data_2015_day_night.csv,839,335,504,0
white_sox_data_2015.csv,white_sox_data_2015_day_night.csv,839,321,518,0
yankee_data_2015.csv,yankee_data_2015_day_night.csv,839,322,517,0
