game_pk,game_date,season,away_team,game_start,start_hour,home_runs_scored,away_runs_scored,total_runs,home_runs_hit,strikeouts,walks,hits,total_pitches,avg_exit_velocity,n_barrels,n_bbe,barrel_rate,hr_h_ratio,home_bat_hr,home_bat_k,home_bat_bb,home_bat_h,home_bat_pitches,home_bat_exit_velo,home_bat_bbe,home_bat_hr_h_ratio,away_bat_hr,away_bat_k,away_bat_bb,away_bat_h,away_bat_pitches,away_bat_exit_velo,away_bat_bbe,away_bat_hr_h_ratio,temp_f,temp_c,rhum,pres,prcp,wspd,wspd_mph,wdir,wind_dir_bucket,wind_cf,wind_lcf,wind_rcf
413660,2015-04-06,2015,SF,2015-04-06 19:10:00,19.0,4,5,9,0,13,5,22,280,86.6,3,59,0.0508,0.0,0.0,6.0,3.0,9.0,132.0,88.1,26.0,0.0,0.0,7.0,2.0,13.0,148.0,85.4,34.0,0.0,76.2,24.6,9.0,969.1,0.0,7.3,4.5,278.7,W,-1.1,-3.5,1.43
413669,2015-04-07,2015,SF,2015-04-07 18:40:00,18.0,7,6,13,4,15,8,18,293,87.7,5,52,0.0962,0.2222,2.0,7.0,5.0,8.0,140.0,87.9,32.0,0.25,2.0,8.0,2.0,10.0,153.0,87.4,29.0,0.2,76.4,24.7,11.0,969.6,0.0,13.3,8.3,271.7,W,-0.39,-4.92,4.19
413682,2015-04-08,2015,SF,2015-04-08 18:40:00,18.0,2,5,7,1,11,4,19,277,88.1,2,63,0.0317,0.0526,0.0,7.0,2.0,5.0,123.0,83.7,28.0,0.0,1.0,4.0,2.0,14.0,154.0,90.9,44.0,0.0714,72.0,22.2,9.3,970.9,0.0,10.8,6.7,274.0,W,-0.75,-4.39,2.98
413701,2015-04-10,2015,LAD,2015-04-10 18:40:00,18.0,4,3,7,2,18,6,15,309,88.7,2,53,0.0377,0.1333,1.0,10.0,3.0,7.0,148.0,90.2,28.0,0.1429,1.0,8.0,2.0,8.0,161.0,87.3,28.0,0.125,80.4,26.9,8.0,970.1,0.0,5.9,3.7,289.1,W,-1.93,-3.72,0.1
413716,2015-04-11,2015,LAD,2015-04-11 17:10:00,17.0,6,0,6,1,16,7,12,269,83.4,2,44,0.0455,0.0833,1.0,7.0,3.0,10.0,118.0,81.5,23.0,0.1,0.0,9.0,4.0,2.0,151.0,85.2,25.0,0.0,83.2,28.5,10.3,968.0,0.0,5.0,3.1,253.1,W,1.46,-0.27,3.02
413731,2015-04-12,2015,LAD,2015-04-12 13:10:00,13.0,4,7,11,3,15,5,26,318,88.2,3,64,0.0469,0.1154,0.0,11.0,1.0,10.0,159.0,86.9,29.0,0.0,3.0,4.0,2.0,16.0,159.0,89.1,40.0,0.1875,81.1,27.3,20.3,971.1,0.0,15.2,9.4,258.7,W,2.99,-2.29,7.9
413857,2015-04-21,2015,TEX,2015-04-21 18:40:00,18.0,1,7,8,1,13,4,15,318,88.2,2,60,0.0333,0.0667,0.0,8.0,2.0,7.0,148.0,88.6,33.0,0.0,1.0,5.0,2.0,8.0,170.0,87.8,36.0,0.125,82.6,28.1,10.7,966.1,0.0,15.3,9.5,250.4,W,5.13,-0.1,9.74
413872,2015-04-22,2015,TEX,2015-04-22 18:40:00,18.0,8,5,13,2,11,10,15,299,88.8,3,53,0.0566,0.1333,1.0,8.0,3.0,8.0,153.0,89.8,27.0,0.125,1.0,3.0,7.0,7.0,146.0,87.9,32.0,0.1429,81.0,27.2,12.0,966.8,0.0,17.2,10.7,221.0,SW,12.99,8.35,16.06
413894,2015-04-24,2015,PIT,2015-04-24 18:40:00,18.0,1,4,5,0,13,5,14,256,88.9,3,54,0.0556,0.0,0.0,8.0,2.0,7.0,123.0,87.6,28.0,0.0,0.0,5.0,2.0,7.0,133.0,90.0,35.0,0.0,75.7,24.3,25.7,970.3,0.0,5.1,3.2,121.4,SE,2.66,3.99,1.01
413909,2015-04-25,2015,PIT,2015-04-25 17:10:00,17.0,1,2,3,0,15,3,15,270,88.5,1,52,0.0192,0.0,0.0,5.0,2.0,8.0,127.0,89.0,30.0,0.0,0.0,10.0,0.0,7.0,143.0,88.0,30.0,0.0,76.5,24.7,23.0,966.4,0.0,22.1,13.7,259.7,W,3.96,-3.71,11.14
413924,2015-04-26,2015,PIT,2015-04-26 13:10:00,13.0,0,8,8,0,17,10,17,318,88.6,1,52,0.0192,0.0,0.0,9.0,7.0,3.0,140.0,83.4,19.0,0.0,0.0,8.0,3.0,14.0,178.0,91.1,39.0,0.0,73.5,23.0,28.0,968.9,0.0,11.9,7.4,305.6,NW,-6.94,-9.84,-3.2
413931,2015-04-27,2015,COL,2015-04-27 18:40:00,18.0,4,5,9,1,11,9,20,308,90.7,1,58,0.0172,0.05,0.0,6.0,4.0,9.0,159.0,90.9,31.0,0.0,1.0,5.0,4.0,11.0,149.0,90.4,32.0,0.0909,80.9,27.2,23.3,970.1,0.0,6.0,3.7,240.8,SW,2.94,0.96,4.57
413946,2015-04-28,2015,COL,2015-04-28 18:40:00,18.0,12,5,17,2,12,5,28,293,87.2,4,64,0.0625,0.0714,2.0,1.0,3.0,15.0,134.0,87.4,42.0,0.1333,0.0,11.0,2.0,13.0,159.0,86.9,31.0,0.0,85.7,29.8,15.7,972.1,0.0,6.0,3.7,157.6,S,5.52,5.96,4.41
413961,2015-04-29,2015,COL,2015-04-29 18:40:00,18.0,9,1,10,1,11,5,18,246,86.6,0,55,0.0,0.0556,1.0,5.0,5.0,13.0,136.0,88.8,32.0,0.0769,0.0,6.0,0.0,5.0,110.0,84.2,30.0,0.0,89.7,32.0,11.3,969.1,0.0,5.1,3.2,164.7,S,4.95,5.12,4.19
414077,2015-05-07,2015,SD,2015-05-07 18:40:00,18.0,11,0,11,2,13,3,20,292,88.7,4,58,0.069,0.1,2.0,5.0,1.0,17.0,154.0,88.1,45.0,0.1176,0.0,8.0,2.0,3.0,138.0,89.6,29.0,0.0,78.7,25.9,20.3,965.7,0.0,18.3,11.4,230.1,SW,11.75,6.24,15.84
414091,2015-05-08,2015,SD,2015-05-08 18:40:00,18.0,5,6,11,6,16,10,19,316,89.7,7,54,0.1296,0.3158,4.0,9.0,4.0,7.0,138.0,91.9,25.0,0.5714,2.0,7.0,6.0,12.0,178.0,88.1,35.0,0.1667,70.3,21.3,19.0,970.1,0.0,18.6,11.6,257.0,W,4.2,-2.27,10.15
414106,2015-05-09,2015,SD,2015-05-09 17:10:00,17.0,4,6,10,1,21,9,23,402,86.5,1,72,0.0139,0.0435,0.0,13.0,4.0,9.0,204.0,84.5,40.0,0.0,1.0,8.0,3.0,14.0,198.0,88.2,47.0,0.0714,75.2,24.0,16.0,972.2,0.0,6.1,3.8,229.8,SW,3.96,2.12,5.32
414121,2015-05-10,2015,SD,2015-05-10 13:10:00,13.0,2,1,3,2,15,4,13,256,88.2,1,47,0.0213,0.1538,2.0,6.0,1.0,5.0,120.0,84.7,26.0,0.4,0.0,9.0,2.0,8.0,136.0,91.8,25.0,0.0,84.0,28.9,15.0,972.2,0.0,9.8,6.1,272.7,W,-0.46,-3.79,2.93
414133,2015-05-11,2015,WSH,2015-05-11 18:40:00,18.0,1,11,12,3,17,5,21,290,86.9,2,57,0.0351,0.1429,1.0,7.0,2.0,6.0,123.0,85.4,29.0,0.1667,2.0,10.0,3.0,15.0,167.0,88.2,33.0,0.1333,90.5,32.5,8.3,966.5,0.0,5.1,3.2,178.3,S,5.13,4.87,4.77
414148,2015-05-12,2015,WSH,2015-05-12 18:40:00,18.0,14,6,20,4,10,6,28,285,92.2,4,66,0.0606,0.1429,3.0,6.0,2.0,16.0,157.0,92.8,37.0,0.1875,1.0,4.0,3.0,12.0,128.0,91.6,33.0,0.0833,85.6,29.8,10.3,969.3,0.0,19.3,12.0,184.3,S,19.24,17.59,18.58
414163,2015-05-13,2015,WSH,2015-05-13 12:40:00,12.0,6,9,15,3,15,11,22,330,87.9,5,60,0.0833,0.1364,0.0,10.0,4.0,14.0,179.0,88.8,38.0,0.0,3.0,5.0,5.0,8.0,151.0,86.8,34.0,0.375,86.4,30.2,19.0,972.1,0.0,13.1,8.1,175.0,S,13.02,12.62,11.84
414271,2015-05-22,2015,CHC,2015-05-22 18:40:00,18.0,5,4,9,3,20,10,23,436,87.2,6,77,0.0779,0.1304,2.0,9.0,4.0,12.0,198.0,87.4,45.0,0.1667,1.0,11.0,4.0,11.0,238.0,86.9,42.0,0.0909,75.6,24.2,18.0,971.3,0.0,17.6,10.9,263.0,W,2.14,-3.95,7.98
414286,2015-05-23,2015,CHC,2015-05-23 19:10:00,19.0,6,9,15,2,21,5,15,283,92.3,3,49,0.0612,0.1333,1.0,8.0,2.0,7.0,123.0,91.5,27.0,0.1429,1.0,13.0,3.0,8.0,160.0,93.0,28.0,0.125,77.7,25.4,18.3,971.5,0.0,6.7,4.1,290.7,W,-2.35,-4.34,-0.08
414301,2015-05-24,2015,CHC,2015-05-24 13:10:00,13.0,4,3,7,3,15,2,11,242,87.8,5,46,0.1087,0.2727,1.0,10.0,0.0,6.0,118.0,86.4,26.0,0.1667,2.0,5.0,1.0,5.0,124.0,89.1,30.0,0.4,82.5,28.1,25.7,970.7,0.0,6.2,3.8,223.9,SW,4.44,2.71,5.64
414410,2015-06-01,2015,ATL,2015-06-01 18:40:00,18.0,1,8,9,1,12,3,20,306,88.8,1,60,0.0167,0.05,0.0,5.0,0.0,7.0,123.0,86.5,34.0,0.0,1.0,7.0,2.0,13.0,183.0,91.0,36.0,0.0769,99.7,37.6,8.3,969.6,0.0,12.9,8.0,276.0,W,-1.34,-5.64,3.11
414421,2015-06-02,2015,ATL,2015-06-02 18:40:00,18.0,7,6,13,1,9,12,19,318,85.3,2,60,0.0333,0.0526,1.0,4.0,8.0,9.0,164.0,84.6,36.0,0.1111,0.0,5.0,2.0,10.0,154.0,86.1,34.0,0.0,96.9,36.0,5.0,968.3,0.0,12.1,7.5,256.7,W,2.8,-1.41,6.67
414436,2015-06-03,2015,ATL,2015-06-03 12:40:00,12.0,9,8,17,4,19,6,25,328,90.0,5,57,0.0877,0.16,1.0,7.0,3.0,12.0,160.0,89.6,36.0,0.0833,3.0,12.0,2.0,13.0,168.0,90.5,31.0,0.2308,96.9,36.0,6.7,969.2,0.0,11.6,7.2,223.0,SW,8.48,5.27,10.68
414457,2015-06-04,2015,NYM,2015-06-04 18:40:00,18.0,2,6,8,3,20,3,22,338,88.5,3,56,0.0536,0.1364,2.0,11.0,2.0,8.0,145.0,87.3,26.0,0.25,1.0,9.0,1.0,14.0,193.0,89.3,44.0,0.0714,89.4,31.9,19.0,969.1,0.0,22.1,13.8,182.0,S,22.12,20.52,21.05
414468,2015-06-05,2015,NYM,2015-06-05 18:40:00,18.0,7,2,9,1,20,7,15,273,87.8,1,44,0.0227,0.0667,0.0,10.0,3.0,9.0,122.0,89.6,23.0,0.0,1.0,10.0,3.0,6.0,151.0,86.2,26.0,0.1667,80.7,27.0,51.3,968.3,0.0,15.2,9.4,8.0,N,-15.02,-13.39,-14.83
414483,2015-06-06,2015,NYM,2015-06-06 19:10:00,19.0,2,1,3,2,16,4,16,262,91.7,3,46,0.0652,0.125,1.0,8.0,1.0,6.0,109.0,93.2,25.0,0.1667,1.0,8.0,2.0,10.0,153.0,90.6,35.0,0.1,85.4,29.7,31.7,967.5,0.0,9.0,5.6,324.7,NW,-7.37,-8.71,-5.14
414498,2015-06-07,2015,NYM,2015-06-07 13:10:00,13.0,3,6,9,4,13,7,16,300,87.8,3,55,0.0545,0.25,0.0,10.0,3.0,5.0,132.0,88.6,22.0,0.0,4.0,3.0,2.0,11.0,168.0,87.3,41.0,0.3636,95.7,35.4,12.3,970.7,0.0,2.4,1.5,232.4,SW,1.44,0.71,2.0
414628,2015-06-17,2015,LAA,2015-06-17 18:40:00,18.0,3,2,5,2,16,3,21,271,87.7,2,53,0.0377,0.0952,2.0,12.0,2.0,10.0,136.0,92.8,22.0,0.2,0.0,4.0,1.0,11.0,135.0,84.6,37.0,0.0,108.3,42.4,8.3,966.8,0.0,15.5,9.6,278.0,W,-2.15,-7.26,3.22
414643,2015-06-18,2015,LAA,2015-06-18 12:40:00,12.0,1,7,8,2,17,7,16,266,87.6,4,48,0.0833,0.125,0.0,11.0,0.0,8.0,125.0,88.1,23.0,0.0,2.0,6.0,5.0,8.0,141.0,87.3,32.0,0.25,111.4,44.1,7.7,970.5,0.0,13.3,8.2,268.0,W,0.46,-4.1,4.97
414668,2015-06-19,2015,SD,2015-06-19 18:40:00,18.0,4,2,6,0,15,9,15,279,85.2,2,50,0.04,0.0,0.0,8.0,4.0,9.0,138.0,87.7,27.0,0.0,0.0,7.0,5.0,6.0,141.0,83.1,33.0,0.0,107.4,41.9,3.0,966.3,0.0,11.5,7.1,249.0,W,4.11,0.19,7.54
414683,2015-06-20,2015,SD,2015-06-20 19:10:00,19.0,1,8,9,2,19,5,14,274,89.4,2,47,0.0426,0.1429,0.0,9.0,1.0,4.0,111.0,89.6,19.0,0.0,2.0,10.0,4.0,10.0,163.0,89.3,28.0,0.2,104.7,40.4,8.3,966.8,0.0,8.1,5.0,287.3,W,-2.4,-4.89,0.38
414698,2015-06-21,2015,SD,2015-06-21 13:10:00,13.0,7,2,9,0,14,2,12,231,91.2,3,51,0.0588,0.0,0.0,6.0,2.0,4.0,113.0,88.5,26.0,0.0,0.0,8.0,0.0,8.0,118.0,93.6,29.0,0.0,105.4,40.8,10.3,971.5,0.0,7.2,4.5,240.0,SW,3.62,1.26,5.54
414800,2015-06-29,2015,LAD,2015-06-29 18:40:00,18.0,10,6,16,5,16,12,22,318,86.9,4,56,0.0714,0.2273,2.0,8.0,4.0,12.0,155.0,87.0,28.0,0.1667,3.0,8.0,6.0,10.0,163.0,86.9,35.0,0.3,104.7,40.4,17.0,967.8,0.0,12.9,8.0,248.3,W,4.77,0.38,8.6
414811,2015-06-30,2015,LAD,2015-06-30 18:40:00,18.0,4,6,10,3,19,8,21,360,87.1,4,57,0.0702,0.1429,1.0,6.0,5.0,10.0,175.0,85.1,32.0,0.1,2.0,13.0,3.0,11.0,185.0,89.1,32.0,0.1818,101.4,38.5,22.7,967.0,0.0,12.9,8.0,268.0,W,0.45,-3.99,4.85
414826,2015-07-01,2015,LAD,2015-07-01 18:40:00,18.0,3,4,7,2,19,6,19,291,89.5,2,49,0.0408,0.1053,2.0,10.0,2.0,10.0,127.0,88.2,28.0,0.2,0.0,9.0,4.0,9.0,164.0,90.9,27.0,0.0,93.1,33.9,39.3,969.5,0.0,20.6,12.8,256.7,W,4.75,-2.39,11.32
414838,2015-07-02,2015,COL,2015-07-02 18:40:00,18.0,8,1,9,1,14,4,15,263,86.9,1,51,0.0196,0.0667,1.0,7.0,3.0,10.0,147.0,87.3,30.0,0.1,0.0,7.0,0.0,5.0,116.0,86.5,25.0,0.0,101.5,38.6,22.3,967.6,0.0,14.7,9.1,249.3,W,5.19,0.17,9.58
414850,2015-07-03,2015,COL,2015-07-03 18:40:00,18.0,4,3,7,1,20,7,17,299,88.1,0,52,0.0,0.0588,0.0,10.0,3.0,13.0,158.0,88.2,29.0,0.0,1.0,10.0,3.0,4.0,141.0,87.9,27.0,0.25,102.0,38.9,19.3,967.0,0.0,5.2,3.2,261.2,W,0.79,-1.01,2.5
414865,2015-07-04,2015,COL,2015-07-04 19:10:00,19.0,7,3,10,0,9,5,20,280,88.0,1,61,0.0164,0.0,0.0,5.0,4.0,10.0,155.0,89.4,28.0,0.0,0.0,4.0,1.0,10.0,125.0,86.9,36.0,0.0,98.8,37.1,24.0,968.5,0.0,11.0,6.8,261.1,W,1.7,-2.11,5.3
414880,2015-07-05,2015,COL,2015-07-05 13:10:00,13.0,4,6,10,3,17,6,21,292,88.0,1,55,0.0182,0.1429,1.0,11.0,3.0,10.0,149.0,87.6,29.0,0.1,2.0,6.0,2.0,11.0,143.0,88.4,34.0,0.1818,99.1,37.3,30.3,971.4,0.0,10.0,6.2,219.6,SW,7.7,5.06,9.42
415001,2015-07-17,2015,SF,2015-07-17 18:40:00,18.0,5,6,11,2,30,7,30,438,88.9,7,72,0.0972,0.0667,1.0,14.0,3.0,14.0,204.0,88.4,44.0,0.0714,1.0,16.0,3.0,16.0,234.0,89.2,47.0,0.0625,92.8,33.8,38.3,969.1,0.0,12.2,7.6,179.4,S,12.17,11.48,11.39
415016,2015-07-18,2015,SF,2015-07-18 17:10:00,17.0,4,8,12,2,15,7,24,325,86.7,0,60,0.0,0.0833,2.0,8.0,2.0,10.0,142.0,89.0,34.0,0.2,0.0,7.0,5.0,14.0,183.0,84.6,38.0,0.0,90.0,32.2,43.0,973.2,0.0,24.2,15.0,274.3,W,-1.8,-9.95,6.56
415031,2015-07-19,2015,SF,2015-07-19 13:10:00,13.0,1,2,3,1,12,3,14,281,88.9,3,56,0.0536,0.0714,0.0,4.0,1.0,9.0,141.0,87.8,33.0,0.0,1.0,8.0,2.0,5.0,140.0,90.1,30.0,0.2,91.8,33.2,42.7,976.5,0.0,5.9,3.7,247.3,SW,2.28,0.28,4.0
415037,2015-07-20,2015,MIA,2015-07-20 18:40:00,18.0,3,1,4,1,8,11,15,269,90.6,0,51,0.0,0.0667,0.0,5.0,5.0,8.0,126.0,91.1,24.0,0.0,1.0,3.0,6.0,7.0,143.0,90.1,28.0,0.1429,95.1,35.1,30.0,970.5,0.2,8.3,5.2,261.4,W,1.25,-1.64,3.99
415049,2015-07-21,2015,MIA,2015-07-21 18:40:00,18.0,0,3,3,1,17,3,14,251,88.0,2,50,0.04,0.0714,0.0,11.0,1.0,5.0,106.0,90.0,24.0,0.0,1.0,6.0,2.0,9.0,145.0,86.6,36.0,0.1111,100.6,38.1,21.3,966.7,0.0,9.2,5.7,274.3,W,-0.69,-3.79,2.49
415064,2015-07-22,2015,MIA,2015-07-22 18:40:00,18.0,3,5,8,0,24,8,15,313,90.1,5,44,0.1136,0.0,0.0,16.0,5.0,8.0,148.0,94.0,19.0,0.0,0.0,8.0,3.0,7.0,165.0,87.6,30.0,0.0,101.2,38.4,15.3,967.7,0.0,2.9,1.8,256.3,W,0.68,-0.32,1.59
