game_pk,game_date,season,away_team,game_start,start_hour,home_runs_scored,away_runs_scored,total_runs,home_runs_hit,strikeouts,walks,hits,total_pitches,avg_exit_velocity,n_barrels,n_bbe,barrel_rate,hr_h_ratio,temp_f,temp_c,rhum,pres,prcp,wspd,wspd_mph,wdir,wind_dir_bucket,wind_cf,wind_lcf,wind_rcf
413659,2015-04-06,2015,SD,2015-04-06 13:10:00,13,6,3,9,2,22,7,16,282,85.9,2,42,0.0476,0.125,63.9,17.7,34.3,994.7,0.0,16.0,10.0,216.3,SW,15.57,13.32,15.94
413668,2015-04-07,2015,SD,2015-04-07 19:10:00,19,3,7,10,1,16,6,18,309,88.5,1,57,0.0175,0.0556,52.1,11.2,94.7,995.9,0.3,6.3,3.9,222.7,SW,5.95,4.84,6.33
413681,2015-04-08,2015,SD,2015-04-08 19:10:00,19,7,4,11,5,22,4,23,293,89.8,5,51,0.098,0.2174,57.6,14.2,60.7,995.1,0.0,5.5,3.4,301.4,NW,-0.86,-2.68,1.06
413752,2015-04-13,2015,SEA,2015-04-13 19:10:00,19,6,5,11,5,22,5,15,297,85.3,5,51,0.098,0.3333,62.8,17.1,64.0,997.5,0.0,6.8,4.2,222.1,SW,6.44,5.27,6.83
413765,2015-04-14,2015,SEA,2015-04-14 19:10:00,19,6,5,11,4,18,8,22,322,84.4,0,55,0.0,0.1818,64.4,18.0,49.0,994.8,0.0,3.1,1.9,295.8,NW,-0.18,-1.23,0.89
413780,2015-04-15,2015,SEA,2015-04-15 19:10:00,19,5,2,7,1,14,9,18,265,88.6,2,51,0.0392,0.0556,67.6,19.8,20.3,992.8,0.0,4.6,2.8,311.1,NW,-1.45,-2.85,0.11
413796,2015-04-17,2015,COL,2015-04-17 19:10:00,19,7,3,10,3,25,6,17,302,89.1,2,42,0.0476,0.1765,67.2,19.6,22.0,995.7,0.0,4.5,2.8,234.1,SW,3.83,2.79,4.41
413811,2015-04-18,2015,COL,2015-04-18 18:10:00,18,6,3,9,1,13,7,14,265,89.2,2,50,0.04,0.0714,68.2,20.1,34.7,993.7,0.0,6.9,4.3,224.7,SW,6.39,5.11,6.89
413826,2015-04-19,2015,COL,2015-04-19 13:10:00,13,7,0,7,3,15,5,18,289,87.0,3,51,0.0588,0.1667,79.6,26.4,23.3,992.2,0.0,15.2,9.5,237.0,SW,12.55,8.85,14.75
413940,2015-04-27,2015,SF,2015-04-27 19:10:00,19,8,3,11,2,9,9,18,279,88.2,2,58,0.0345,0.1111,72.6,22.6,27.3,994.0,0.0,5.8,3.6,270.7,W,2.16,0.18,3.87
