game_pk,game_date,season,away_team,game_start,start_hour,home_runs_scored,away_runs_scored,total_runs,home_runs_hit,strikeouts,walks,hits,total_pitches,avg_exit_velocity,n_barrels,n_bbe,barrel_rate,hr_h_ratio,home_bat_hr,home_bat_k,home_bat_bb,home_bat_h,home_bat_pitches,home_bat_exit_velo,home_bat_bbe,home_bat_hr_h_ratio,away_bat_hr,away_bat_k,away_bat_bb,away_bat_h,away_bat_pitches,away_bat_exit_velo,away_bat_bbe,away_bat_hr_h_ratio,temp_f,temp_c,rhum,pres,prcp,wspd,wspd_mph,wdir,wind_dir_bucket,wind_cf,wind_lcf,wind_rcf,day_night
413659,2015-04-06,2015,SD,2015-04-06 13:10:00,13,6,3,9,2,22,7,16,282,85.9,2,42,0.0476,0.125,2.0,10.0,3.0,9.0,148.0,84.9,26.0,0.2222,0.0,12.0,2.0,7.0,134.0,86.8,27.0,0.0,64.2,17.9,33.3,995.1,0.0,15.5,9.6,209.7,SW,15.38,13.79,15.11,day
413668,2015-04-07,2015,SD,2015-04-07 19:10:00,19,3,7,10,1,16,6,18,309,88.5,1,57,0.0175,0.0556,1.0,9.0,4.0,7.0,134.0,89.2,27.0,0.1429,0.0,7.0,1.0,11.0,175.0,88.0,38.0,0.0,52.7,11.5,92.3,995.7,1.3,7.9,4.9,217.3,SW,7.67,6.51,7.9,night
413681,2015-04-08,2015,SD,2015-04-08 19:10:00,19,7,4,11,5,22,4,23,293,89.8,5,51,0.098,0.2174,3.0,9.0,3.0,12.0,151.0,89.2,32.0,0.25,2.0,13.0,1.0,11.0,142.0,90.4,30.0,0.1818,60.1,15.6,52.0,994.9,0.0,9.3,5.8,268.9,W,3.71,0.58,6.39,night
413752,2015-04-13,2015,SEA,2015-04-13 19:10:00,19,6,5,11,5,22,5,15,297,85.3,5,51,0.098,0.3333,1.0,7.0,3.0,9.0,155.0,85.5,38.0,0.1111,4.0,15.0,1.0,6.0,142.0,85.1,26.0,0.6667,65.8,18.8,55.3,997.1,0.0,8.8,5.5,232.7,SW,7.64,5.66,8.69,night
413765,2015-04-14,2015,SEA,2015-04-14 19:10:00,19,6,5,11,4,18,8,22,322,84.4,0,55,0.0,0.1818,2.0,6.0,4.0,12.0,152.0,87.5,10.0,0.1667,2.0,12.0,4.0,10.0,170.0,81.8,12.0,0.2,67.1,19.5,46.3,994.9,0.0,6.4,4.0,259.7,W,3.47,1.42,5.1,night
413780,2015-04-15,2015,SEA,2015-04-15 19:10:00,19,5,2,7,1,14,9,18,265,88.6,2,51,0.0392,0.0556,0.0,7.0,5.0,9.0,133.0,90.9,28.0,0.0,1.0,7.0,2.0,9.0,132.0,86.4,29.0,0.1111,71.1,21.7,17.7,992.4,0.0,7.9,4.9,269.0,W,3.15,0.48,5.44,night
413796,2015-04-17,2015,COL,2015-04-17 19:10:00,19,7,3,10,3,25,6,17,302,89.1,2,42,0.0476,0.1765,1.0,9.0,4.0,10.0,154.0,89.1,31.0,0.1,2.0,16.0,1.0,7.0,148.0,89.2,21.0,0.2857,70.4,21.3,18.7,995.3,0.0,8.1,5.0,258.3,W,4.53,1.97,6.54,night
413811,2015-04-18,2015,COL,2015-04-18 18:10:00,18,6,3,9,1,13,7,14,265,89.2,2,50,0.04,0.0714,0.0,8.0,5.0,9.0,131.0,91.1,29.0,0.0,1.0,5.0,2.0,5.0,134.0,87.3,30.0,0.2,71.7,22.0,28.3,993.5,0.0,9.4,5.8,234.0,SW,8.01,5.85,9.21,night
413826,2015-04-19,2015,COL,2015-04-19 13:10:00,13,7,0,7,3,15,5,18,289,87.0,3,51,0.0588,0.1667,3.0,6.0,2.0,14.0,152.0,89.2,38.0,0.2143,0.0,9.0,3.0,4.0,137.0,83.8,27.0,0.0,79.6,26.5,23.3,992.7,0.0,14.0,8.7,231.0,SW,12.33,9.3,13.88,day
413940,2015-04-27,2015,SF,2015-04-27 19:10:00,19,8,3,11,2,9,9,18,279,88.2,2,58,0.0345,0.1111,2.0,2.0,5.0,11.0,136.0,88.3,35.0,0.1818,0.0,7.0,4.0,7.0,143.0,88.1,27.0,0.0,76.7,24.8,21.7,993.5,0.0,9.4,5.9,263.3,W,4.6,1.5,7.14,night
413955,2015-04-28,2015,SF,2015-04-28 19:10:00,19,1,2,3,1,18,3,15,249,83.2,1,50,0.02,0.0667,0.0,10.0,1.0,5.0,120.0,86.5,24.0,0.0,1.0,8.0,2.0,10.0,129.0,80.8,34.0,0.1,79.0,26.1,15.3,992.7,0.0,7.0,4.3,278.6,W,1.67,-0.74,3.89,night
