game_pk,game_date,season,away_team,game_start,start_hour,home_runs_scored,away_runs_scored,total_runs,home_runs_hit,strikeouts,walks,hits,total_pitches,avg_exit_velocity,n_barrels,n_bbe,barrel_rate,hr_h_ratio,home_bat_hr,home_bat_k,home_bat_bb,home_bat_h,home_bat_pitches,home_bat_exit_velo,home_bat_bbe,home_bat_hr_h_ratio,away_bat_hr,away_bat_k,away_bat_bb,away_bat_h,away_bat_pitches,away_bat_exit_velo,away_bat_bbe,away_bat_hr_h_ratio,temp_f,temp_c,rhum,pres,prcp,wspd,wspd_mph,wdir,wind_dir_bucket,wind_cf,wind_lcf,wind_rcf
446958,2016-04-11,2016,BAL,2016-04-11 14:05:00,14,7,9,16,3,23,8,20,330,84.0,6,49,0.1224,0.15,1.0,8.0,3.0,11.0,172.0,83.8,45.0,0.0909,2.0,15.0,4.0,9.0,158.0,84.4,31.0,0.2222,55.6,13.1,51.0,1018.7,0.0,27.8,17.3,197.3,S,24.65,27.58,18.74
446970,2016-04-12,2016,BAL,2016-04-12 19:10:00,19,5,9,14,4,13,6,21,332,83.7,3,59,0.0508,0.1905,1.0,4.0,1.0,10.0,158.0,84.7,45.0,0.1,3.0,9.0,4.0,11.0,174.0,82.9,49.0,0.2727,45.7,7.6,78.0,1019.8,0.0,15.5,9.7,301.0,NW,3.75,-1.63,8.68
446983,2016-04-13,2016,BAL,2016-04-13 19:10:00,19,4,2,6,1,17,9,17,310,83.6,4,47,0.0851,0.0588,0.0,7.0,4.0,8.0,143.0,81.9,36.0,0.0,1.0,10.0,5.0,9.0,167.0,85.7,28.0,0.1111,41.9,5.5,69.0,1026.7,0.0,9.1,5.7,114.3,SE,-3.23,-0.11,-5.95
447020,2016-04-15,2016,TOR,2016-04-15 19:10:00,19,5,3,8,2,19,8,12,312,83.7,6,42,0.1429,0.1667,0.0,7.0,6.0,9.0,166.0,84.2,40.0,0.0,2.0,12.0,2.0,3.0,146.0,82.9,28.0,0.6667,45.6,7.6,58.3,1028.4,0.0,11.0,6.8,56.3,NE,-10.75,-9.37,-10.84
447035,2016-04-16,2016,TOR,2016-04-16 16:05:00,16,4,2,6,1,15,2,16,253,81.2,2,48,0.0417,0.0625,1.0,3.0,2.0,9.0,118.0,81.0,38.0,0.1111,0.0,12.0,0.0,7.0,135.0,81.5,28.0,0.0,49.2,9.5,53.0,1030.6,0.0,17.5,10.9,59.3,NE,-16.92,-14.43,-17.38
447050,2016-04-17,2016,TOR,2016-04-17 13:35:00,13,3,5,8,2,22,5,18,312,83.5,2,49,0.0408,0.1111,1.0,10.0,4.0,4.0,136.0,83.1,28.0,0.25,1.0,12.0,1.0,14.0,176.0,83.7,42.0,0.0714,57.4,14.1,42.7,1027.3,0.0,9.2,5.7,63.3,NE,-8.73,-7.22,-9.2
447057,2016-04-18,2016,TOR,2016-04-18 11:05:00,11,3,4,7,0,11,8,15,296,85.3,3,51,0.0588,0.0,0.0,6.0,1.0,7.0,130.0,87.3,38.0,0.0,0.0,5.0,7.0,8.0,166.0,83.2,39.0,0.0,60.9,16.0,50.7,1022.3,0.0,15.1,9.4,51.7,NE,-15.03,-13.52,-14.72
447071,2016-04-19,2016,TB,2016-04-19 19:10:00,19,0,3,3,1,27,7,7,305,81.6,3,40,0.075,0.1429,0.0,14.0,2.0,1.0,126.0,82.6,29.0,0.0,1.0,13.0,4.0,6.0,179.0,81.0,45.0,0.1667,50.3,10.2,51.0,1015.7,0.0,4.5,2.8,48.1,NE,-4.49,-4.14,-4.31
447086,2016-04-20,2016,TB,2016-04-20 19:10:00,19,7,3,10,2,20,5,19,283,85.8,5,48,0.1042,0.1053,1.0,9.0,3.0,12.0,145.0,86.8,38.0,0.0833,1.0,11.0,2.0,7.0,138.0,84.8,36.0,0.1429,47.7,8.7,64.3,1022.0,0.0,13.1,8.2,170.8,S,7.68,10.86,3.57
447100,2016-04-21,2016,TB,2016-04-21 13:35:00,13,8,12,20,4,16,11,30,374,84.9,7,67,0.1045,0.1333,2.0,8.0,5.0,15.0,188.0,87.9,46.0,0.1333,2.0,8.0,6.0,15.0,186.0,81.9,45.0,0.1333,69.3,20.7,32.0,1014.7,0.0,12.6,7.8,222.0,SW,12.58,12.05,11.6
