game_pk,game_date,season,home_team,away_team,home_runs_scored,away_runs_scored,total_runs,home_runs_hit,strikeouts,walks,hits,total_pitches,avg_exit_velocity,n_barrels,n_bbe,barrel_rate,hr_h_ratio,game_start_utc
413661,2015-04-05,2015,CHC,STL,0,3,3,0,23,6,15,314,85.3,1,45,0.0222,0.0,2015-04-06T00:05:00Z
413649,2015-04-06,2015,SEA,LAA,4,1,5,2,15,3,14,253,89.9,1,46,0.0217,0.1429,2015-04-06T20:10:00Z
413650,2015-04-06,2015,MIA,ATL,1,2,3,0,14,2,14,243,87.1,1,51,0.0196,0.0,2015-04-06T20:10:00Z
413651,2015-04-06,2015,TB,BAL,2,6,8,4,19,5,16,295,87.1,3,47,0.0638,0.25,2015-04-06T19:10:00Z
413652,2015-04-06,2015,PHI,BOS,0,8,8,5,18,9,12,302,87.7,1,48,0.0208,0.4167,2015-04-06T19:05:00Z
413653,2015-04-06,2015,KC,CWS,10,1,11,3,6,7,18,257,,0,57,0.0,0.1667,2015-04-06T20:10:00Z
413654,2015-04-06,2015,HOU,CLE,2,0,2,0,14,5,6,230,82.0,2,41,0.0488,0.0,2015-04-06T23:10:00Z
413655,2015-04-06,2015,MIL,COL,0,10,10,2,15,1,24,284,87.7,0,61,0.0,0.0833,2015-04-06T18:10:00Z
413656,2015-04-06,2015,DET,MIN,4,0,4,2,12,2,15,229,92.3,3,51,0.0588,0.1333,2015-04-06T17:08:00Z
413657,2015-04-06,2015,WSH,NYM,1,3,4,1,19,4,8,245,86.8,2,46,0.0435,0.125,2015-04-06T20:05:00Z
413658,2015-04-06,2015,CIN,PIT,5,2,7,3,21,4,12,243,87.6,4,42,0.0952,0.25,2015-04-06T20:10:00Z
413659,2015-04-06,2015,LAD,SD,6,3,9,2,22,7,16,282,85.9,2,42,0.0476,0.125,2015-04-06T20:10:00Z
413660,2015-04-06,2015,AZ,SF,4,5,9,0,13,5,22,280,86.6,3,59,0.0508,0.0,2015-04-07T02:10:00Z
413662,2015-04-06,2015,ATH,TEX,8,0,8,2,14,5,12,287,91.2,3,51,0.0588,0.1667,2015-04-07T02:05:00Z
413663,2015-04-06,2015,NYY,TOR,1,6,7,3,17,8,9,297,87.7,3,46,0.0652,0.3333,2015-04-06T17:05:00Z
