game_pk,game_date,season,away_team,game_start,start_hour,home_runs_scored,away_runs_scored,total_runs,home_runs_hit,strikeouts,walks,hits,total_pitches,avg_exit_velocity,n_barrels,n_bbe,barrel_rate,hr_h_ratio,home_bat_hr,home_bat_k,home_bat_bb,home_bat_h,home_bat_pitches,home_bat_exit_velo,home_bat_bbe,home_bat_hr_h_ratio,away_bat_hr,away_bat_k,away_bat_bb,away_bat_h,away_bat_pitches,away_bat_exit_velo,away_bat_bbe,away_bat_hr_h_ratio,temp_f,temp_c,rhum,pres,prcp,wspd,wspd_mph,wdir,wind_dir_bucket,wind_cf,wind_lcf,wind_rcf
631014,2020-07-28,2020,SD,2020-07-28 18:45:00,18,3,5,8,2,15,2,12,269,82.9,1,48,0.0208,0.1667,0.0,10.0,1.0,7.0,128.0,80.9,32.0,0.0,2.0,5.0,1.0,5.0,141.0,84.3,45.0,0.4,59.0,15.0,89.7,1010.4,0.0,28.4,17.6,252.3,W,27.03,28.34,22.45
631033,2020-07-29,2020,SD,2020-07-29 18:45:00,18,7,6,13,6,14,8,21,306,82.1,6,54,0.1111,0.2857,4.0,8.0,1.0,12.0,147.0,84.0,48.0,0.3333,2.0,6.0,7.0,9.0,159.0,80.0,45.0,0.2222,59.2,15.1,86.0,1011.7,0.0,29.2,18.2,253.3,W,28.01,29.18,23.45
631018,2020-07-30,2020,SD,2020-07-30 18:45:00,18,7,12,19,1,27,9,25,358,83.6,3,59,0.0508,0.04,0.0,12.0,7.0,11.0,187.0,83.7,48.0,0.0,1.0,15.0,2.0,14.0,171.0,83.4,43.0,0.0714,58.1,14.5,85.3,1013.9,0.0,29.5,18.4,254.3,W,28.44,29.45,23.99
631019,2020-07-31,2020,TEX,2020-07-31 18:10:00,18,9,2,11,2,18,9,17,292,83.0,4,49,0.0816,0.1176,1.0,7.0,5.0,11.0,142.0,82.0,40.0,0.0909,1.0,11.0,4.0,6.0,150.0,84.2,31.0,0.1667,61.9,16.6,78.0,1013.8,0.0,29.5,18.4,251.7,W,28.03,29.52,23.17
631020,2020-08-01,2020,TEX,2020-08-01 18:10:00,18,7,3,10,1,17,15,14,314,82.4,4,44,0.0909,0.0714,0.0,4.0,10.0,7.0,163.0,81.7,37.0,0.0,1.0,13.0,4.0,7.0,151.0,83.1,41.0,0.1429,62.2,16.8,75.0,1013.7,0.0,29.6,18.4,246.3,SW,27.14,29.57,21.44
631021,2020-08-02,2020,TEX,2020-08-02 13:05:00,13,5,9,14,4,11,10,17,301,85.2,9,61,0.1475,0.2353,2.0,8.0,3.0,8.0,153.0,86.4,44.0,0.25,2.0,3.0,7.0,9.0,148.0,83.9,43.0,0.2222,65.7,18.7,66.3,1015.1,0.0,22.3,13.9,235.3,SW,18.37,21.61,12.92
631022,2020-08-14,2020,ATH,2020-08-14 18:45:00,18,7,8,15,5,17,6,21,330,85.5,4,63,0.0635,0.2381,3.0,10.0,3.0,13.0,164.0,88.1,43.0,0.2308,2.0,7.0,3.0,8.0,166.0,83.0,46.0,0.25,81.0,27.2,40.0,1007.8,0.0,21.4,13.3,264.0,W,21.25,20.73,19.21
631023,2020-08-15,2020,ATH,2020-08-15 16:07:00,16,6,7,13,5,24,8,17,345,82.8,7,46,0.1522,0.2941,1.0,10.0,3.0,7.0,156.0,85.3,43.0,0.1429,4.0,14.0,5.0,10.0,189.0,80.5,45.0,0.4,70.3,21.3,60.3,1009.4,0.0,24.8,15.4,248.7,W,23.1,24.79,18.63
631024,2020-08-16,2020,ATH,2020-08-16 13:05:00,13,3,15,18,5,14,11,26,340,85.2,9,62,0.1452,0.1923,2.0,6.0,4.0,9.0,149.0,86.3,54.0,0.2222,3.0,8.0,7.0,17.0,191.0,84.1,54.0,0.1765,71.1,21.7,60.0,1012.0,0.0,24.2,15.0,252.0,W,22.99,24.15,19.05
631025,2020-08-19,2020,LAA,2020-08-19 18:45:00,18,7,2,9,2,20,5,16,295,83.7,3,47,0.0638,0.125,2.0,7.0,2.0,10.0,127.0,82.5,43.0,0.2,0.0,13.0,3.0,6.0,168.0,84.8,46.0,0.0,71.8,22.1,48.3,1010.0,0.0,24.4,15.2,261.7,W,24.14,23.9,21.48
