team_code,weather_variable,quintile_bin,quintile_order,metric,diff_from_mean,n_games
AZ,temp,54-86°F,1,away_runs,-0.2975289597764714,164
AZ,temp,86-94°F,2,away_runs,0.22076372315035808,165
AZ,temp,94-99°F,3,away_runs,-0.04303995783123682,163
AZ,temp,99-104°F,4,away_runs,0.2948377972244325,162
AZ,temp,104-112°F,5,away_runs,-0.2823809309376921,159
AZ,temp,54-86°F,1,away_home_runs,-0.004942387553372063,164
AZ,temp,86-94°F,2,away_home_runs,-0.004942387553372063,165
AZ,temp,94-99°F,3,away_home_runs,-0.0024427662838673037,163
AZ,temp,99-104°F,4,away_home_runs,0.022401954213027153,162
AZ,temp,104-112°F,5,away_home_runs,-0.06990633907967969,159
AZ,temp,54-86°F,1,away_strikeouts,0.05220214072644325,164
AZ,temp,86-94°F,2,away_strikeouts,-0.29535883488331294,165
AZ,temp,94-99°F,3,away_strikeouts,-0.06687072702086816,163
AZ,temp,99-104°F,4,away_strikeouts,0.1939988381965243,162
AZ,temp,104-112°F,5,away_strikeouts,-0.06698791909868262,159
AZ,temp,54-86°F,1,away_walks,0.04867813066619853,164
AZ,temp,86-94°F,2,away_walks,0.10965374042229614,165
AZ,temp,94-99°F,3,away_walks,-0.13686193902021238,163
AZ,temp,99-104°F,4,away_walks,-0.08717249802642346,162
AZ,temp,104-112°F,5,away_walks,0.03115243654133293,159
AZ,temp,54-86°F,1,away_hr_h_ratio,-0.00035207595233213707,164
AZ,temp,86-94°F,2,away_hr_h_ratio,-0.005952726857614193,165
AZ,temp,94-99°F,3,away_hr_h_ratio,0.0019117855837987585,163
AZ,temp,99-104°F,4,away_hr_h_ratio,-0.004286972180176402,162
AZ,temp,104-112°F,5,away_hr_h_ratio,-0.003678682793872262,159
AZ,wspd,1-4 mph,1,away_runs,-0.08646519251229279,166
AZ,wspd,4-6 mph,2,away_runs,-0.3229862768496421,160
AZ,wspd,6-8 mph,3,away_runs,-0.10022393117062922,162
AZ,wspd,8-10 mph,4,away_runs,-0.03533383782525146,164
AZ,wspd,10-23 mph,5,away_runs,0.44436620762240775,161
AZ,wspd,1-4 mph,1,away_home_runs,-0.10878569871375632,166
AZ,wspd,4-6 mph,2,away_home_runs,-0.045338729016786594,160
AZ,wspd,6-8 mph,3,away_home_runs,-0.04032329691802117,162
AZ,wspd,8-10 mph,4,away_home_runs,0.04724667470992139,164
AZ,wspd,10-23 mph,5,away_home_runs,0.0907249355794868,161
AZ,wspd,1-4 mph,1,away_strikeouts,-0.07876607804665348,166
AZ,wspd,4-6 mph,2,away_strikeouts,-0.3263039568345327,160
AZ,wspd,6-8 mph,3,away_strikeouts,0.3066435740296658,162
AZ,wspd,8-10 mph,4,away_strikeouts,0.10083113633316998,164
AZ,wspd,10-23 mph,5,away_strikeouts,-0.19109432950534,161
AZ,wspd,1-4 mph,1,away_walks,-0.07279267495094821,166
AZ,wspd,4-6 mph,2,away_walks,0.11849520383693024,160
AZ,wspd,6-8 mph,3,away_walks,-0.012523314681588182,162
AZ,wspd,8-10 mph,4,away_walks,-0.09959485827487091,164
AZ,wspd,10-23 mph,5,away_walks,0.03705110445804838,161
AZ,wspd,1-4 mph,1,away_hr_h_ratio,-0.01059688748226563,166
AZ,wspd,4-6 mph,2,away_hr_h_ratio,-0.007655978391356538,160
AZ,wspd,6-8 mph,3,away_hr_h_ratio,-0.004301879012474558,162
AZ,wspd,8-10 mph,4,away_hr_h_ratio,0.002534766950258366,164
AZ,wspd,10-23 mph,5,away_hr_h_ratio,0.007842220366407443,161
AZ,rhum,2-9%,1,away_runs,-0.034791832405197454,180
AZ,rhum,9-12%,2,away_runs,-0.006509004122369433,154
AZ,rhum,12-17%,3,away_runs,-0.058739382439704,161
AZ,rhum,17-26%,4,away_runs,-0.004236276849641563,160
AZ,rhum,26-89%,5,away_runs,0.0055738497326363046,158
AZ,rhum,2-9%,1,away_home_runs,-0.10538086384824719,180
AZ,rhum,9-12%,2,away_home_runs,0.03196390256216075,154
AZ,rhum,12-17%,3,away_home_runs,0.0969361157037103,161
AZ,rhum,17-26%,4,away_home_runs,-0.02658872901678655,160
AZ,rhum,26-89%,5,away_home_runs,-0.04415202015602704,158
AZ,rhum,2-9%,1,away_strikeouts,-0.36092474335138647,180
AZ,rhum,9-12%,2,away_strikeouts,-0.15623816736084706,154
AZ,rhum,12-17%,3,away_strikeouts,0.07598641583627597,161
AZ,rhum,17-26%,4,away_strikeouts,0.3611960431654673,160
AZ,rhum,26-89%,5,away_strikeouts,-0.07654129860668313,158
AZ,rhum,2-9%,1,away_walks,-0.010858728747339175,180
AZ,rhum,9-12%,2,away_walks,-0.03347848037359569,154
AZ,rhum,12-17%,3,away_walks,-0.0561165974053055,161
AZ,rhum,17-26%,4,away_walks,-0.006504796163069759,160
AZ,rhum,26-89%,5,away_walks,0.07561545700148731,158
AZ,rhum,2-9%,1,away_hr_h_ratio,-0.02107406827899698,180
AZ,rhum,9-12%,2,away_hr_h_ratio,0.007376390029696117,154
AZ,rhum,12-17%,3,away_hr_h_ratio,0.012576381857090674,161
AZ,rhum,17-26%,4,away_hr_h_ratio,-0.0011366033913565443,160
AZ,rhum,26-89%,5,away_hr_h_ratio,-0.007696296862694116,158
AZ,pres,960-967 hPa,1,away_runs,0.3618680176288853,163
AZ,pres,967-969 hPa,2,away_runs,-0.16477844552434107,166
AZ,pres,969-970 hPa,3,away_runs,0.13693138782101677,167
AZ,pres,970-972 hPa,4,away_runs,-0.13772684288737747,159
AZ,pres,972-981 hPa,5,away_runs,-0.31088184646989525,158
AZ,pres,960-967 hPa,1,away_home_runs,0.07696065369926286,163
AZ,pres,967-969 hPa,2,away_home_runs,0.030608240680183085,166
AZ,pres,969-970 hPa,3,away_home_runs,0.011513680621767719,167
AZ,pres,970-972 hPa,4,away_home_runs,-0.06313936192817904,159
AZ,pres,972-981 hPa,5,away_home_runs,-0.1201013872446346,158
AZ,pres,960-967 hPa,1,away_strikeouts,0.06590283328892532,163
AZ,pres,967-969 hPa,2,away_strikeouts,-0.13331153259210815,166
AZ,pres,969-970 hPa,3,away_strikeouts,0.1894339949726973,167
AZ,pres,970-972 hPa,4,away_strikeouts,-0.3297058555687098,159
AZ,pres,972-981 hPa,5,away_strikeouts,0.012066296330024429,158
AZ,pres,960-967 hPa,1,away_walks,0.09241495692335011,163
AZ,pres,967-969 hPa,2,away_walks,-0.07885328101155453,166
AZ,pres,969-970 hPa,3,away_walks,0.024067492993556705,167
AZ,pres,970-972 hPa,4,away_walks,-0.0952706189478798,159
AZ,pres,972-981 hPa,5,away_walks,0.02498254560908242,158
AZ,pres,960-967 hPa,1,away_hr_h_ratio,0.0009287129666681604,163
AZ,pres,967-969 hPa,2,away_hr_h_ratio,0.005718264032885889,166
AZ,pres,969-970 hPa,3,away_hr_h_ratio,-0.0010935687528023097,167
AZ,pres,970-972 hPa,4,away_hr_h_ratio,-0.005147877125533745,159
AZ,pres,972-981 hPa,5,away_hr_h_ratio,-0.013340245907280099,158
ATH,temp,46-59°F,1,away_runs,0.3594617132012532,166
ATH,temp,59-62°F,2,away_runs,-0.14291817672883766,162
ATH,temp,62-67°F,3,away_runs,-0.16290274463007215,160
ATH,temp,67-72°F,4,away_runs,-0.13924476916994877,163
ATH,temp,72-96°F,5,away_runs,-0.04722022929264824,163
ATH,temp,46-59°F,1,away_home_runs,-0.11661550046339209,166
