home_team,total_runs,home_runs_hit,strikeouts,walks,hits,hr_h_ratio,total_runs_diff,home_runs_hit_diff,strikeouts_diff,walks_diff,hits_diff,hr_h_ratio_diff
COL,11.29,2.55,15.58,6.35,19.7,0.1288,2.39,0.24,-1.43,0.03,3.25,-0.0121
BOS,9.85,2.23,16.94,6.29,18.15,0.1217,0.95,-0.08,-0.07,-0.03,1.7,-0.0191
AZ,9.67,2.08,15.96,6.47,17.44,0.1196,0.77,-0.24,-1.05,0.15,0.99,-0.0213
CIN,9.61,2.76,17.94,6.81,16.8,0.1637,0.71,0.44,0.93,0.49,0.35,0.0228
WSH,9.29,2.33,15.27,6.11,17.28,0.1351,0.39,0.02,-1.74,-0.21,0.83,-0.0057
BAL,9.18,2.55,16.6,5.9,17.13,0.1469,0.28,0.24,-0.4,-0.42,0.68,0.006
LAA,9.18,2.6,18.07,6.65,16.26,0.161,0.28,0.29,1.07,0.33,-0.19,0.0202
PHI,9.15,2.52,17.66,6.09,16.66,0.1501,0.25,0.21,0.65,-0.23,0.21,0.0092
MIN,9.11,2.45,17.5,6.22,16.76,0.1446,0.21,0.14,0.49,-0.09,0.31,0.0037
KC,9.1,1.94,14.95,6.08,17.41,0.1117,0.2,-0.38,-2.06,-0.24,0.96,-0.0292
TOR,9.09,2.56,16.34,6.07,16.77,0.1536,0.19,0.25,-0.67,-0.24,0.32,0.0127
LAD,9.02,2.82,17.45,6.51,15.75,0.1792,0.12,0.51,0.44,0.2,-0.7,0.0383
ATL,9.01,2.51,18.39,6.27,16.56,0.151,0.11,0.2,1.38,-0.04,0.11,0.0101
CHC,8.8,2.38,17.26,6.38,16.1,0.1439,-0.1,0.06,0.25,0.07,-0.35,0.003
TEX,8.75,2.43,16.75,6.24,16.12,0.1516,-0.15,0.11,-0.25,-0.08,-0.33,0.0107
PIT,8.75,1.8,16.42,6.69,16.57,0.1087,-0.15,-0.51,-0.59,0.37,0.12,-0.0322
CWS,8.71,2.29,17.14,6.43,16.17,0.1437,-0.2,-0.03,0.13,0.12,-0.28,0.0028
NYY,8.7,2.74,17.84,7.03,15.23,0.1813,-0.2,0.42,0.84,0.72,-1.22,0.0405
MIA,8.7,2.02,17.17,6.08,16.75,0.1189,-0.2,-0.29,0.16,-0.24,0.3,-0.022
HOU,8.66,2.44,17.07,6.35,16.27,0.1504,-0.24,0.13,0.06,0.04,-0.18,0.0095
STL,8.58,1.98,15.11,6.02,16.76,0.1167,-0.32,-0.33,-1.9,-0.29,0.31,-0.0241
DET,8.55,2.02,16.72,6.1,16.15,0.1236,-0.36,-0.29,-0.29,-0.22,-0.3,-0.0173
MIL,8.54,2.37,18.6,6.88,15.25,0.1568,-0.37,0.06,1.59,0.56,-1.2,0.0159
ATH,8.44,2.0,16.79,6.44,15.85,0.125,-0.46,-0.32,-0.22,0.12,-0.6,-0.0159
NYM,8.34,2.25,17.4,6.64,15.45,0.1449,-0.56,-0.06,0.39,0.33,-1.0,0.004
SF,8.33,1.85,17.03,6.01,16.39,0.1137,-0.57,-0.46,0.03,-0.3,-0.06,-0.0271
TB,8.32,2.25,18.13,5.85,15.63,0.1429,-0.58,-0.07,1.12,-0.46,-0.82,0.002
CLE,8.24,2.08,16.3,6.06,15.84,0.1302,-0.66,-0.23,-0.7,-0.26,-0.61,-0.0106
SD,8.15,2.22,17.11,6.54,15.55,0.1456,-0.75,-0.09,0.1,0.22,-0.9,0.0047
SEA,7.84,2.3,18.75,5.94,14.66,0.1583,-1.06,-0.02,1.74,-0.37,-1.79,0.0175
LEAGUE AVG,8.9,2.31,17.01,6.32,16.45,0.1409,0.0,0.0,0.0,0.0,0.0,0.0
