game_pk,game_date,season,home_team,away_team,game_start,start_hour,home_runs_scored,away_runs_scored,total_runs,home_runs_hit,strikeouts,walks,hits,total_pitches,avg_exit_velocity,n_barrels,n_bbe,barrel_rate,hr_h_ratio,temp_f,temp_c,rhum,pres,prcp,wspd,wspd_mph,wdir,wind_dir_bucket,wind_cf,wind_lcf,wind_rcf
634640,2021-04-01,2021,ATH,HOU,2021-04-01 19:07:00,19.0,1,8,9,2,15,9,15,307,83.4,4,51,0.0784,0.1333,55.5,13.0,70.7,1012.1,0.0,4.6,2.9,205.1,SW,4.32,4.6,3.53
634634,2021-04-01,2021,CHC,PIT,2021-04-01 13:20:00,13.0,3,5,8,1,23,15,11,365,79.2,1,42,0.0238,0.0909,32.9,0.5,53.0,1011.8,0.0,25.2,15.6,14.7,N,-21.72,-24.76,-16.07
634636,2021-04-01,2021,CIN,STL,2021-04-01 16:10:00,16.0,6,11,17,4,15,8,20,322,82.1,8,58,0.1379,0.2,34.6,1.4,40.7,1010.8,0.0,22.2,13.8,328.0,NW,18.1,12.59,21.42
634615,2021-04-01,2021,COL,LAD,2021-04-01 14:10:00,14.0,8,5,13,0,10,11,26,321,82.2,1,63,0.0159,0.0,65.1,18.4,15.7,845.8,0.0,8.4,5.2,152.3,SE,7.41,8.29,5.63
634645,2021-04-01,2021,DET,CLE,2021-04-01 13:10:00,13.0,3,2,5,2,19,11,11,279,81.4,4,43,0.093,0.1818,31.5,-0.3,45.3,1004.9,0.0,27.4,17.0,342.0,N,27.32,24.93,26.4
634630,2021-04-01,2021,KC,TEX,2021-04-01 15:10:00,15.0,14,10,24,3,24,17,30,402,83.7,4,56,0.0714,0.1,48.1,8.9,38.3,1000.7,0.0,6.4,4.0,95.7,E,-4.08,-2.13,-5.53
634655,2021-04-01,2021,LAA,CWS,2021-04-01 19:05:00,19.0,4,3,7,2,20,6,13,265,83.6,4,43,0.093,0.1538,70.6,21.5,22.0,1005.4,0.0,5.2,3.3,191.6,S,4.37,5.09,3.12
634652,2021-04-01,2021,MIA,TB,2021-04-01 16:10:00,16.0,0,1,1,1,21,4,8,259,82.9,1,41,0.0244,0.125,76.2,24.5,73.3,1014.3,1.8,12.1,7.5,199.2,S,-0.69,3.47,-4.77
634638,2021-04-01,2021,MIL,MIN,2021-04-01 13:10:00,13.0,6,5,11,1,26,9,21,340,81.6,2,54,0.037,0.0476,35.1,1.7,47.0,1010.1,0.0,15.1,9.4,61.4,NE,-4.26,-8.96,0.95
634642,2021-04-01,2021,NYY,TOR,2021-04-01 13:05:00,13.0,2,3,5,2,26,8,14,340,81.5,2,45,0.0444,0.1429,49.9,10.0,40.7,1009.6,0.0,25.0,15.5,322.7,NW,6.39,-2.25,14.26
634622,2021-04-01,2021,PHI,ATL,2021-04-01 15:05:00,15.0,3,2,5,1,23,6,16,289,82.5,4,52,0.0769,0.0625,50.1,10.0,36.7,1012.7,0.0,22.6,14.1,321.0,NW,-10.8,-16.95,-3.34
634618,2021-04-01,2021,SD,AZ,2021-04-01 13:10:00,13.0,8,7,15,6,22,6,22,318,85.9,6,51,0.1176,0.2727,78.3,25.7,13.0,1010.4,0.0,16.4,10.2,266.7,W,0.95,-4.71,6.49
634625,2021-04-01,2021,SEA,SF,2021-04-01 19:10:00,19.0,8,7,15,4,16,13,15,347,82.0,6,56,0.1071,0.2667,43.9,6.6,82.0,1012.8,0.0,8.0,5.0,40.7,NE,-7.98,-7.7,-7.29
634605,2021-04-02,2021,ATH,HOU,2021-04-02 18:40:00,18.0,5,9,14,3,18,8,22,350,84.6,7,56,0.125,0.1364,50.1,10.0,93.0,1017.4,0.0,16.4,10.2,262.7,W,12.96,8.75,15.59
634627,2021-04-02,2021,BOS,BAL,2021-04-01 14:10:00,14.0,0,3,3,0,15,4,11,300,82.0,0,48,0.0,0.0,46.4,8.0,61.0,1005.4,0.0,19.8,12.3,311.7,NW,1.15,-5.69,7.86
634653,2021-04-02,2021,COL,LAD,2021-04-02 18:40:00,18.0,6,11,17,4,20,4,24,302,82.5,3,59,0.0508,0.1667,50.5,10.3,57.0,840.3,0.0,9.3,5.8,261.0,W,1.46,-1.77,4.52
634631,2021-04-02,2021,LAA,CWS,2021-04-02 18:38:00,18.0,8,12,20,4,23,10,21,338,82.2,6,52,0.1154,0.1905,59.7,15.4,80.3,1011.4,0.0,9.3,5.8,204.4,SW,8.7,9.3,7.06
634602,2021-04-02,2021,MIA,TB,2021-04-02 19:10:00,19.0,4,6,10,3,14,6,18,283,81.0,4,55,0.0727,0.1667,67.8,19.9,56.7,1021.9,0.0,27.3,17.0,23.3,NE,-0.4,-9.72,8.97
634576,2021-04-02,2021,SD,AZ,2021-04-02 19:10:00,19.0,4,2,6,2,20,9,17,319,80.8,2,45,0.0444,0.1176,58.8,14.9,85.3,1017.2,0.0,5.5,3.4,307.7,NW,-3.38,-4.68,-1.68
634578,2021-04-02,2021,SEA,SF,2021-04-02 19:10:00,19.0,3,6,9,2,25,8,14,301,81.6,3,41,0.0732,0.1429,44.5,6.9,82.0,1018.4,0.0,10.4,6.4,349.3,N,-5.85,-8.42,-2.57
634629,2021-04-03,2021,ATH,HOU,2021-04-03 13:07:00,13.0,1,9,10,1,17,7,16,322,83.0,5,51,0.098,0.0625,57.0,13.9,63.3,1021.1,0.0,18.0,11.2,269.0,W,12.97,7.91,16.47
634577,2021-04-03,2021,BOS,BAL,2021-04-03 13:10:00,13.0,2,4,6,0,19,3,15,288,82.5,0,50,0.0,0.0,47.5,8.6,25.0,1020.8,0.0,14.3,8.9,324.0,NW,-2.23,-6.92,2.72
634643,2021-04-03,2021,CHC,PIT,2021-04-03 13:20:00,13.0,5,1,6,2,24,5,13,286,82.3,2,40,0.05,0.1538,64.6,18.1,43.0,997.1,0.0,26.9,16.7,244.3,SW,25.35,20.78,26.86
634654,2021-04-03,2021,CIN,STL,2021-04-03 16:10:00,16.0,9,6,15,5,21,8,19,322,83.2,5,49,0.102,0.2632,58.8,14.9,35.7,1005.0,0.0,16.2,10.0,220.7,SW,5.04,9.99,-0.52
634633,2021-04-03,2021,COL,LAD,2021-04-03 18:10:00,18.0,5,6,11,3,20,7,19,319,83.8,7,54,0.1296,0.1579,53.3,11.8,48.3,841.9,0.0,9.5,5.9,278.3,W,-1.38,-4.51,1.92
634573,2021-04-03,2021,DET,CLE,2021-04-03 13:10:00,13.0,5,2,7,1,12,9,17,299,83.0,7,53,0.1321,0.0588,54.9,12.7,40.0,997.7,0.0,30.1,18.7,215.7,SW,-15.86,-6.17,-23.64
634604,2021-04-03,2021,KC,TEX,2021-04-03 13:10:00,13.0,11,4,15,3,14,7,18,294,84.2,6,53,0.1132,0.1667,69.2,20.7,39.0,989.7,0.0,16.2,10.1,221.7,SW,16.21,15.55,14.91
634646,2021-04-03,2021,LAA,CWS,2021-04-03 18:07:00,18.0,5,3,8,2,21,5,18,288,81.2,4,47,0.0851,0.1111,61.6,16.5,64.0,1013.1,0.0,7.3,4.6,237.7,SW,7.15,6.17,7.27
634596,2021-04-03,2021,MIA,TB,2021-04-03 18:10:00,18.0,12,7,19,3,16,6,23,295,81.3,3,57,0.0526,0.1304,68.5,20.3,57.7,1024.3,0.0,24.7,15.4,53.7,NE,-12.8,-19.27,-4.79
634575,2021-04-03,2021,MIL,MIN,2021-04-03 18:10:00,18.0,0,2,2,1,30,1,5,256,79.0,2,29,0.069,0.2,52.5,11.4,62.3,995.9,0.0,7.6,4.7,65.6,NE,-2.68,-4.97,-0.08
634644,2021-04-03,2021,NYY,TOR,2021-04-03 13:05:00,13.0,5,3,8,2,21,9,19,320,82.1,3,47,0.0638,0.1053,49.9,9.9,30.0,1024.1,0.0,12.3,7.6,300.0,NW,7.47,3.69,10.35
634580,2021-04-03,2021,PHI,ATL,2021-04-03 16:05:00,16.0,4,0,4,0,24,4,9,261,84.0,1,34,0.0294,0.0,50.2,10.1,35.3,1024.1,0.0,9.4,5.8,271.0,W,3.44,0.24,6.22
634623,2021-04-03,2021,SD,AZ,2021-04-03 17:40:00,17.0,7,0,7,1,19,6,14,288,82.6,4,46,0.087,0.0714,60.3,15.7,78.7,1017.9,0.0,15.5,9.6,315.3,NW,-11.0,-14.06,-6.62
634639,2021-04-03,2021,SEA,SF,2021-04-03 18:10:00,18.0,4,0,4,2,20,5,14,284,80.5,5,43,0.1163,0.1429,49.7,9.8,77.7,1020.0,0.0,13.1,8.1,347.0,N,-6.92,-10.3,-2.72
634651,2021-04-04,2021,ATH,HOU,2021-04-04 13:07:00,13.0,2,9,11,3,14,6,15,318,82.7,7,53,0.1321,0.2,56.2,13.5,68.0,1021.1,0.0,18.0,11.2,263.7,W,14.03,9.34,17.02
634610,2021-04-04,2021,BOS,BAL,2021-04-04 13:10:00,13.0,3,11,14,1,23,10,23,350,84.0,2,54,0.037,0.0435,56.2,13.5,28.0,1012.1,0.0,18.1,11.2,306.0,NW,2.83,-3.45,8.76
634613,2021-04-04,2021,CHC,PIT,2021-04-04 13:20:00,13.0,4,3,7,2,14,11,10,283,83.8,3,45,0.0667,0.2,61.3,16.3,67.3,997.3,0.0,18.9,11.7,113.3,SE,-6.97,-0.55,-12.54
634560,2021-04-04,2021,CIN,STL,2021-04-04 13:10:00,13.0,12,1,13,2,14,7,14,297,80.7,6,51,0.1176,0.1429,67.7,19.8,43.0,1003.4,0.0,5.8,3.6,239.7,SW,3.5,4.87,1.71
