game_pk,game_date,season,away_team,game_start,start_hour,home_runs_scored,away_runs_scored,total_runs,home_runs_hit,strikeouts,walks,hits,total_pitches,avg_exit_velocity,n_barrels,n_bbe,barrel_rate,hr_h_ratio,temp_f,temp_c,rhum,pres,prcp,wspd,wspd_mph,wdir,wind_dir_bucket,wind_cf,wind_lcf,wind_rcf
413649,2015-04-06,2015,LAA,2015-04-06 13:10:00,13,4,1,5,2,15,3,14,253,89.9,1,46,0.0217,0.1429,53.7,12.1,61.7,1008.6,0.0,4.0,2.5,236.1,SW,3.93,3.43,3.95
413664,2015-04-07,2015,LAA,2015-04-07 19:10:00,19,0,2,2,1,12,2,7,234,91.4,3,49,0.0612,0.1429,48.6,9.2,77.0,1010.5,0.0,6.5,4.1,347.3,N,-3.49,-5.17,-1.4
413671,2015-04-08,2015,LAA,2015-04-08 19:10:00,19,3,5,8,3,16,3,19,264,88.5,5,55,0.0909,0.1579,49.8,9.9,80.7,1018.8,0.0,6.4,4.0,189.1,S,5.21,6.19,3.61
413803,2015-04-17,2015,TEX,2015-04-17 19:10:00,19,1,3,4,1,9,6,15,286,88.0,2,55,0.0364,0.0667,53.8,12.1,76.3,1023.3,0.0,8.2,5.1,34.0,NE,-8.05,-8.1,-7.03
413818,2015-04-18,2015,TEX,2015-04-18 18:10:00,18,3,1,4,1,22,5,13,290,85.7,2,39,0.0513,0.0769,55.2,12.9,66.7,1022.6,0.0,8.1,5.1,11.7,N,-6.8,-7.91,-4.86
413833,2015-04-19,2015,TEX,2015-04-19 13:10:00,13,11,10,21,4,13,11,31,376,87.4,4,71,0.0563,0.129,64.6,18.1,51.3,1017.0,0.0,12.4,7.7,345.3,N,-6.28,-9.57,-2.23
413838,2015-04-20,2015,HOU,2015-04-20 19:10:00,19,5,7,12,3,19,6,19,315,88.4,5,54,0.0926,0.1579,57.4,14.1,74.3,1008.9,0.0,6.8,4.2,21.6,N,-6.21,-6.76,-4.92
413849,2015-04-21,2015,HOU,2015-04-21 19:10:00,19,3,6,9,0,21,8,16,296,87.8,0,47,0.0,0.0,47.2,8.5,90.0,1016.7,2.1,3.5,2.2,193.3,S,3.01,3.46,2.19
413864,2015-04-22,2015,HOU,2015-04-22 19:10:00,19,3,2,5,2,11,4,17,246,88.5,3,55,0.0545,0.1176,48.4,9.1,71.0,1016.4,0.0,3.7,2.3,280.9,W,2.06,0.9,2.97
413892,2015-04-24,2015,MIN,2015-04-24 19:10:00,19,2,0,2,2,18,0,11,198,90.9,4,44,0.0909,0.1818,46.7,8.2,82.3,1009.8,0.0,11.5,7.2,177.0,S,7.72,10.18,4.32
413907,2015-04-25,2015,MIN,2015-04-25 18:10:00,18,5,8,13,2,17,9,18,338,89.5,2,57,0.0351,0.1111,50.1,10.0,67.0,1016.1,0.0,3.4,2.1,20.3,N,-3.09,-3.39,-2.42
413922,2015-04-26,2015,MIN,2015-04-26 13:10:00,13,2,4,6,1,16,11,15,353,87.2,2,64,0.0312,0.0667,56.5,13.6,54.0,1021.9,0.0,8.8,5.4,230.7,SW,8.72,7.9,8.49
414090,2015-05-08,2015,ATH,2015-05-08 19:10:00,19,4,3,7,2,29,6,16,358,86.6,4,50,0.08,0.125,59.8,15.5,62.3,1014.1,0.0,7.1,4.4,23.8,NE,-6.65,-7.13,-5.36
414105,2015-05-09,2015,ATH,2015-05-09 18:10:00,18,7,2,9,1,19,8,20,340,87.4,1,55,0.0182,0.05,66.1,18.9,57.7,1014.7,0.0,5.9,3.6,38.0,NE,-5.82,-5.72,-5.23
414120,2015-05-10,2015,ATH,2015-05-10 13:10:00,13,4,3,7,3,14,5,11,265,88.2,3,49,0.0612,0.2727,66.1,18.9,60.3,1015.1,0.0,5.1,3.2,235.7,SW,5.04,4.41,5.07
414144,2015-05-12,2015,SD,2015-05-12 19:10:00,19,11,4,15,6,15,13,21,352,90.1,7,55,0.1273,0.2857,54.6,12.6,83.7,1009.3,1.9,12.3,7.6,180.7,S,8.8,11.21,5.33
414159,2015-05-13,2015,SD,2015-05-13 19:10:00,19,2,4,6,2,23,5,17,301,89.5,4,47,0.0851,0.1176,51.9,11.0,96.0,1011.7,0.5,4.9,3.1,133.3,SE,-0.14,1.55,-1.82
414164,2015-05-14,2015,BOS,2015-05-14 19:10:00,19,1,2,3,1,7,7,17,267,88.2,0,60,0.0,0.0588,57.1,14.0,75.0,1008.8,0.0,4.9,3.0,7.0,N,-3.86,-4.66,-2.6
414178,2015-05-15,2015,BOS,2015-05-15 19:10:00,19,2,1,3,1,15,1,12,237,88.4,2,48,0.0417,0.0833,58.5,14.7,79.0,1011.2,0.0,10.6,6.6,212.7,SW,10.39,10.54,8.98
414193,2015-05-16,2015,BOS,2015-05-16 18:10:00,18,2,4,6,4,18,7,13,285,85.8,3,49,0.0612,0.3077,57.8,14.3,73.7,1014.8,0.0,5.5,3.4,206.0,SW,5.17,5.47,4.25
414208,2015-05-17,2015,BOS,2015-05-17 13:10:00,13,5,0,5,2,10,5,13,259,86.5,2,52,0.0385,0.1538,63.8,17.7,66.7,1016.3,0.1,6.3,3.9,313.0,NW,0.22,-1.94,2.35
414361,2015-05-28,2015,CLE,2015-05-28 19:10:00,19,3,5,8,3,21,2,17,275,84.9,3,51,0.0588,0.1765,69.0,20.5,67.0,1013.8,0.0,6.6,4.1,22.4,N,-6.06,-6.56,-4.83
414369,2015-05-29,2015,CLE,2015-05-29 19:10:00,19,2,1,3,1,20,6,9,260,85.1,2,37,0.0541,0.1111,70.2,21.2,67.0,1010.5,0.0,7.1,4.4,206.6,SW,6.7,7.06,5.54
414384,2015-05-30,2015,CLE,2015-05-30 19:10:00,19,3,4,7,2,13,9,17,270,85.9,3,53,0.0566,0.1176,66.6,19.2,56.7,1010.7,0.0,1.7,1.1,269.3,W,1.22,0.74,1.55
414399,2015-05-31,2015,CLE,2015-05-31 13:10:00,13,3,6,9,1,18,13,23,426,85.7,0,75,0.0,0.0435,71.6,22.0,49.3,1008.1,0.0,8.5,5.3,358.0,N,-5.82,-7.6,-3.33
414416,2015-06-01,2015,NYY,2015-06-01 19:10:00,19,2,7,9,1,21,7,15,279,89.5,1,45,0.0222,0.0667,60.2,15.7,69.3,1012.2,0.3,7.2,4.5,198.7,S,6.48,7.19,4.99
414430,2015-06-02,2015,NYY,2015-06-02 19:10:00,19,3,5,8,1,21,7,28,369,87.5,2,68,0.0294,0.0357,56.3,13.5,82.0,1016.4,0.4,10.9,6.8,193.3,S,9.28,10.67,6.76
414445,2015-06-03,2015,NYY,2015-06-03 12:40:00,12,1,3,4,2,20,2,10,240,89.6,2,43,0.0465,0.2,60.2,15.7,67.0,1016.3,0.0,5.2,3.2,241.4,SW,4.96,4.16,5.16
414460,2015-06-04,2015,TB,2015-06-04 19:10:00,19,1,2,3,0,17,3,16,248,89.8,0,49,0.0,0.0,62.4,16.9,63.3,1017.7,0.0,6.1,3.8,10.6,N,-5.01,-5.88,-3.54
414474,2015-06-05,2015,TB,2015-06-05 19:10:00,19,0,1,1,1,14,4,14,279,86.8,0,51,0.0,0.0714,67.3,19.6,60.0,1014.7,0.0,6.8,4.2,33.6,NE,-6.63,-6.69,-5.77
414489,2015-06-06,2015,TB,2015-06-06 19:10:00,19,2,1,3,1,12,7,12,254,86.4,2,47,0.0426,0.0833,71.7,22.0,57.0,1013.3,0.0,6.1,3.8,23.9,NE,-5.69,-6.1,-4.6
414504,2015-06-07,2015,TB,2015-06-07 13:10:00,13,1,3,4,1,18,1,12,275,86.6,1,49,0.0204,0.0833,82.4,28.0,34.0,1014.4,0.0,9.0,5.6,347.7,N,-4.86,-7.16,-1.97
414639,2015-06-17,2015,SF,2015-06-17 19:10:00,19,2,0,2,0,16,3,8,233,88.3,0,43,0.0,0.0,67.1,19.5,45.0,1013.4,0.0,6.9,4.3,13.3,N,-5.87,-6.76,-4.28
414654,2015-06-18,2015,SF,2015-06-18 19:10:00,19,0,7,7,0,10,8,15,280,89.1,1,56,0.0179,0.0,65.2,18.5,59.7,1014.1,0.0,7.1,4.4,318.6,NW,-0.45,-2.85,2.0
414663,2015-06-19,2015,HOU,2015-06-19 19:10:00,19,5,2,7,2,20,4,12,252,88.0,4,43,0.093,0.1667,61.2,16.2,56.0,1018.1,0.0,7.1,4.4,336.7,NW,-2.63,-4.74,-0.21
414678,2015-06-20,2015,HOU,2015-06-20 19:10:00,19,6,3,9,5,23,6,15,264,86.4,5,43,0.1163,0.3333,64.3,18.0,50.7,1013.1,0.0,11.7,7.3,8.3,N,-9.41,-11.24,-6.45
414693,2015-06-21,2015,HOU,2015-06-21 13:10:00,13,2,6,8,2,18,10,14,328,90.3,2,49,0.0408,0.1429,74.2,23.4,36.7,1011.0,0.0,5.3,3.3,293.7,NW,1.94,0.12,3.52
414706,2015-06-22,2015,KC,2015-06-22 19:10:00,19,1,4,5,1,19,3,12,266,90.7,1,43,0.0233,0.0833,67.0,19.4,54.3,1016.4,0.0,2.7,1.7,247.9,W,2.52,2.0,2.73
414717,2015-06-23,2015,KC,2015-06-23 19:10:00,19,7,0,7,2,16,5,15,255,89.0,3,50,0.06,0.1333,69.6,20.9,48.7,1015.1,0.0,5.7,3.5,4.6,N,-4.32,-5.31,-2.8
414732,2015-06-24,2015,KC,2015-06-24 19:10:00,19,2,8,10,1,10,1,22,276,88.0,2,63,0.0317,0.0455,70.3,21.3,52.0,1016.7,0.0,7.6,4.7,359.6,N,-5.31,-6.84,-3.15
414895,2015-07-06,2015,DET,2015-07-06 19:10:00,19,5,12,17,5,17,4,28,295,91.7,5,61,0.082,0.1786,79.2,26.2,37.0,1012.5,0.0,9.0,5.6,218.7,SW,8.94,8.75,8.07
414908,2015-07-07,2015,DET,2015-07-07 19:10:00,19,7,6,13,7,24,6,24,351,86.5,7,60,0.1167,0.2917,74.7,23.7,48.7,1010.2,0.0,5.4,3.3,354.0,N,-3.38,-4.6,-1.75
414923,2015-07-08,2015,DET,2015-07-08 12:40:00,12,4,5,9,2,17,10,17,329,86.5,3,51,0.0588,0.1176,82.9,28.3,43.3,1007.4,0.0,6.9,4.3,333.0,NW,-2.12,-4.23,0.24
414933,2015-07-09,2015,LAA,2015-07-09 19:10:00,19,7,2,9,2,10,6,27,292,89.3,4,64,0.0625,0.0741,80.2,26.8,53.0,1003.3,0.0,12.0,7.5,221.0,SW,11.97,11.53,10.96
414943,2015-07-10,2015,LAA,2015-07-10 19:10:00,19,3,7,10,5,15,0,23,297,88.2,5,61,0.082,0.2174,69.5,20.8,60.0,1009.3,0.0,12.3,7.6,217.0,SW,12.18,12.03,10.86
414958,2015-07-11,2015,LAA,2015-07-11 19:10:00,19,5,0,5,0,13,7,13,256,88.4,1,51,0.0196,0.0,66.4,19.1,66.0,1012.7,0.0,9.3,5.8,204.6,SW,8.72,9.3,7.09
414973,2015-07-12,2015,LAA,2015-07-12 13:10:00,13,3,10,13,2,19,2,23,304,89.2,2,58,0.0345,0.087,75.6,24.2,47.0,1013.8,0.0,6.9,4.3,237.3,SW,6.74,5.83,6.84
415097,2015-07-24,2015,TOR,2015-07-24 19:10:00,19,5,2,7,2,16,6,16,281,88.9,3,49,0.0612,0.125,67.6,19.8,64.0,1015.4,0.0,10.3,6.4,218.3,SW,10.2,9.99,9.17
415112,2015-07-25,2015,TOR,2015-07-25 13:10:00,13,6,8,14,3,14,12,17,332,90.6,1,56,0.0179,0.1765,65.0,18.3,63.7,1016.3,0.0,6.1,3.8,221.3,SW,6.05,5.82,5.56
415127,2015-07-26,2015,TOR,2015-07-26 13:10:00,13,6,5,11,5,17,7,22,324,89.1,7,58,0.1207,0.2273,64.8,18.2,65.7,1016.3,0.2,4.6,2.8,330.6,NW,-1.23,-2.66,0.35
415129,2015-07-27,2015,AZ,2015-07-27 19:10:00,19,3,4,7,3,20,11,14,336,90.8,4,53,0.0755,0.2143,65.5,18.6,62.3,1021.2,0.0,3.1,1.9,28.7,NE,-2.94,-3.06,-2.47
415139,2015-07-28,2015,AZ,2015-07-28 19:10:00,19,4,8,12,3,14,7,21,292,88.1,5,56,0.0893,0.1429,69.7,20.9,57.3,1020.3,0.0,6.1,3.8,24.6,NE,-5.72,-6.1,-4.65
415154,2015-07-29,2015,AZ,2015-07-29 12:40:00,12,2,8,10,2,20,3,22,281,88.6,1,54,0.0185,0.0909,81.8,27.7,39.3,1018.6,0.0,10.6,6.6,354.0,N,-6.69,-9.11,-3.46
415290,2015-08-07,2015,TEX,2015-08-07 19:10:00,19,4,3,7,3,17,2,18,283,89.7,4,49,0.0816,0.1667,69.0,20.5,63.0,1009.0,0.0,6.9,4.3,22.0,N,-6.32,-6.86,-5.02
415305,2015-08-08,2015,TEX,2015-08-08 13:10:00,13,3,11,14,1,22,9,25,392,90.8,4,64,0.0625,0.04,73.7,23.2,58.7,1009.7,0.0,13.7,8.5,235.7,SW,13.43,11.75,13.49
415320,2015-08-09,2015,TEX,2015-08-09 13:10:00,13,4,2,6,2,13,3,13,250,87.6,0,51,0.0,0.1538,79.2,26.2,36.3,1011.8,0.0,6.4,4.0,295.0,NW,2.18,0.0,4.09
415323,2015-08-10,2015,BAL,2015-08-10 19:10:00,19,2,3,5,3,16,3,12,290,88.2,3,49,0.0612,0.25,73.9,23.3,55.7,1010.9,0.0,2.6,1.6,46.0,NE,-2.6,-2.43,-2.46
415331,2015-08-11,2015,BAL,2015-08-11 19:10:00,19,6,5,11,4,19,8,20,340,91.3,4,59,0.0678,0.2,75.8,24.3,44.0,1010.0,0.0,5.9,3.7,25.5,NE,-5.56,-5.9,-4.55
415346,2015-08-12,2015,BAL,2015-08-12 12:40:00,12,3,0,3,0,16,5,6,242,90.5,3,40,0.075,0.0,86.8,30.4,32.0,1012.1,0.0,6.8,4.2,327.5,NW,-1.48,-3.66,0.88
415466,2015-08-21,2015,CWS,2015-08-21 19:10:00,19,4,11,15,2,24,6,21,319,85.6,2,49,0.0408,0.0952,65.9,18.8,57.0,1015.5,0.0,4.3,2.7,73.4,E,-3.81,-2.88,-4.29
415481,2015-08-22,2015,CWS,2015-08-22 18:10:00,18,3,6,9,1,17,11,16,338,88.8,3,58,0.0517,0.0625,71.5,21.9,47.3,1012.9,0.0,10.1,6.3,0.3,N,-7.16,-9.15,-4.31
415496,2015-08-23,2015,CWS,2015-08-23 13:10:00,13,8,6,14,3,13,7,19,264,88.3,4,54,0.0741,0.1579,81.6,27.5,30.3,1011.4,0.0,5.7,3.5,288.4,W,2.56,0.66,4.14
415514,2015-08-24,2015,ATH,2015-08-24 19:10:00,19,5,11,16,4,17,2,24,291,88.5,4,58,0.069,0.1667,66.5,19.2,59.3,1014.9,0.0,2.2,1.4,269.1,W,1.58,0.96,2.01
415527,2015-08-25,2015,ATH,2015-08-25 19:10:00,19,6,5,11,3,14,10,23,277,89.4,7,59,0.1186,0.1304,67.0,19.5,41.3,1013.6,0.0,8.0,5.0,18.7,N,-7.2,-7.98,-5.55
415542,2015-08-26,2015,ATH,2015-08-26 12:40:00,12,8,2,10,4,11,7,16,304,86.1,3,56,0.0536,0.25,78.7,25.9,32.3,1013.4,0.0,4.6,2.9,317.0,NW,-0.16,-1.74,1.43
415709,2015-09-07,2015,TEX,2015-09-07 15:40:00,15,0,3,3,0,17,6,13,282,85.7,2,45,0.0444,0.0,67.7,19.8,54.7,1019.9,0.0,2.8,1.7,341.7,N,-1.26,-2.04,-0.33
415724,2015-09-08,2015,TEX,2015-09-08 19:10:00,19,6,9,15,5,13,6,17,316,89.1,5,59,0.0847,0.2941,63.0,17.2,85.7,1016.2,0.0,5.3,3.3,36.7,NE,-5.28,-5.22,-4.7
