game_pk,game_date,season,away_team,game_start,start_hour,home_runs_scored,away_runs_scored,total_runs,home_runs_hit,strikeouts,walks,hits,total_pitches,avg_exit_velocity,n_barrels,n_bbe,barrel_rate,hr_h_ratio,home_bat_hr,home_bat_k,home_bat_bb,home_bat_h,home_bat_pitches,home_bat_exit_velo,home_bat_bbe,home_bat_hr_h_ratio,away_bat_hr,away_bat_k,away_bat_bb,away_bat_h,away_bat_pitches,away_bat_exit_velo,away_bat_bbe,away_bat_hr_h_ratio,temp_f,temp_c,rhum,pres,prcp,wspd,wspd_mph,wdir,wind_dir_bucket,wind_cf,wind_lcf,wind_rcf,day_night
413649,2015-04-06,2015,LAA,2015-04-06 13:10:00,13,4,1,5,2,15,3,14,253,89.9,1,46,0.0217,0.1429,1.0,3.0,1.0,10.0,124.0,89.4,12.0,0.1,1.0,12.0,2.0,4.0,129.0,90.9,6.0,0.25,52.9,11.6,65.7,1009.2,0.0,6.8,4.2,206.7,SW,6.49,6.83,5.36,day
413664,2015-04-07,2015,LAA,2015-04-07 19:10:00,19,0,2,2,1,12,2,7,234,91.4,3,49,0.0612,0.1429,0.0,4.0,1.0,2.0,111.0,93.3,28.0,0.0,1.0,8.0,1.0,5.0,123.0,89.5,28.0,0.2,50.7,10.4,71.0,1009.9,0.0,6.5,4.0,348.7,N,-3.6,-5.24,-1.54,night
413671,2015-04-08,2015,LAA,2015-04-08 19:10:00,19,3,5,8,3,16,3,19,264,88.5,5,55,0.0909,0.1579,2.0,9.0,0.0,9.0,122.0,87.2,29.0,0.2222,1.0,7.0,1.0,10.0,142.0,89.7,33.0,0.1,53.1,11.7,71.0,1018.3,0.0,7.0,4.3,213.1,SW,6.85,6.93,5.94,night
413803,2015-04-17,2015,TEX,2015-04-17 19:10:00,19,1,3,4,1,9,6,15,286,88.0,2,55,0.0364,0.0667,0.0,5.0,2.0,8.0,147.0,83.9,26.0,0.0,1.0,4.0,4.0,7.0,139.0,92.3,25.0,0.1429,55.9,13.3,71.0,1022.9,0.0,10.9,6.8,17.6,N,-9.71,-10.84,-7.4,night
413818,2015-04-18,2015,TEX,2015-04-18 18:10:00,18,3,1,4,1,22,5,13,290,85.7,2,39,0.0513,0.0769,1.0,7.0,3.0,11.0,149.0,85.8,22.0,0.0909,0.0,15.0,2.0,2.0,141.0,85.6,14.0,0.0,57.9,14.4,61.0,1022.7,0.0,9.4,5.9,6.3,N,-7.37,-8.94,-4.91,night
413833,2015-04-19,2015,TEX,2015-04-19 13:10:00,13,11,10,21,4,13,11,31,376,87.4,4,71,0.0563,0.129,3.0,7.0,6.0,17.0,210.0,88.2,39.0,0.1765,1.0,6.0,3.0,14.0,166.0,86.7,41.0,0.0714,64.1,17.8,52.3,1017.9,0.0,12.3,7.7,347.0,N,-6.54,-9.72,-2.56,day
413838,2015-04-20,2015,HOU,2015-04-20 19:10:00,19,5,7,12,3,19,6,19,315,88.4,5,54,0.0926,0.1579,0.0,10.0,5.0,10.0,179.0,86.4,30.0,0.0,3.0,9.0,1.0,9.0,136.0,90.5,28.0,0.3333,60.7,16.0,67.7,1008.7,0.0,6.5,4.1,2.3,N,-4.8,-6.03,-2.99,night
413849,2015-04-21,2015,HOU,2015-04-21 19:10:00,19,3,6,9,0,21,8,16,296,87.8,0,47,0.0,0.0,0.0,8.0,2.0,7.0,127.0,88.0,31.0,0.0,0.0,13.0,6.0,9.0,169.0,87.6,24.0,0.0,48.4,9.1,89.7,1015.8,2.4,4.2,2.6,211.9,SW,4.09,4.17,3.52,night
413864,2015-04-22,2015,HOU,2015-04-22 19:10:00,19,3,2,5,2,11,4,17,246,88.5,3,55,0.0545,0.1176,1.0,4.0,1.0,7.0,114.0,89.8,28.0,0.1429,1.0,7.0,3.0,10.0,132.0,87.3,32.0,0.1,50.1,10.1,65.0,1016.5,0.0,4.6,2.9,300.0,NW,1.19,-0.4,2.64,night
413892,2015-04-24,2015,MIN,2015-04-24 19:10:00,19,2,0,2,2,18,0,11,198,90.9,4,44,0.0909,0.1818,2.0,9.0,0.0,6.0,96.0,95.3,27.0,0.3333,0.0,9.0,0.0,5.0,102.0,86.4,26.0,0.0,48.0,8.9,78.3,1009.4,0.4,12.1,7.5,186.9,S,9.53,11.5,6.4,night
