game_pk,game_date,season,away_team,game_start,start_hour,home_runs_scored,away_runs_scored,total_runs,home_runs_hit,strikeouts,walks,hits,total_pitches,avg_exit_velocity,n_barrels,n_bbe,barrel_rate,hr_h_ratio,home_bat_hr,home_bat_k,home_bat_bb,home_bat_h,home_bat_pitches,home_bat_exit_velo,home_bat_bbe,home_bat_hr_h_ratio,away_bat_hr,away_bat_k,away_bat_bb,away_bat_h,away_bat_pitches,away_bat_exit_velo,away_bat_bbe,away_bat_hr_h_ratio,temp_f,temp_c,rhum,pres,prcp,wspd,wspd_mph,wdir,wind_dir_bucket,wind_cf,wind_lcf,wind_rcf
631339,2020-08-05,2020,BAL,2020-07-27 19:10:00,19,2,1,3,0,11,5,8,183,81.1,0,35,0.0,0.0,0.0,4.0,1.0,4.0,75.0,83.8,26.0,0.0,0.0,7.0,4.0,4.0,108.0,78.8,31.0,0.0,83.3,28.5,83.7,1018.3,0.0,6.2,3.8,154.1,SE,-4.61,-2.93,-5.73
631340,2020-08-06,2020,BAL,2020-07-28 19:10:00,19,8,7,15,5,12,2,21,264,86.1,7,60,0.1167,0.2381,1.0,6.0,1.0,11.0,125.0,84.7,41.0,0.0909,4.0,6.0,1.0,10.0,139.0,87.2,54.0,0.4,82.9,28.3,82.3,1017.8,0.0,6.7,4.1,93.0,E,-6.28,-6.67,-5.14
631322,2020-08-14,2020,ATL,2020-08-14 19:10:00,19,8,2,10,1,14,8,19,285,80.5,2,55,0.0364,0.0526,0.0,5.0,8.0,10.0,165.0,78.6,50.0,0.0,1.0,9.0,0.0,9.0,120.0,82.8,40.0,0.1111,85.7,29.8,65.0,1015.2,0.0,9.0,5.6,124.3,SE,-8.84,-7.68,-8.94
631330,2020-08-15,2020,ATL,2020-08-15 18:10:00,18,1,2,3,3,16,6,13,276,82.9,4,47,0.0851,0.2308,1.0,10.0,3.0,6.0,138.0,81.9,34.0,0.1667,2.0,6.0,3.0,7.0,138.0,83.8,41.0,0.2857,87.0,30.6,58.0,1013.8,0.0,8.8,5.4,182.8,S,-2.95,0.05,-5.6
631324,2020-08-16,2020,ATL,2020-08-16 13:10:00,13,0,4,4,0,27,4,10,283,79.1,1,35,0.0286,0.0,0.0,11.0,1.0,2.0,115.0,76.8,31.0,0.0,0.0,16.0,3.0,8.0,168.0,81.0,38.0,0.0,90.0,32.2,55.7,1015.4,0.1,11.1,6.9,153.7,SE,-8.33,-5.34,-10.32
631325,2020-08-17,2020,NYM,2020-08-17 19:10:00,19,4,11,15,5,19,15,25,366,81.7,7,58,0.1207,0.2,1.0,11.0,7.0,11.0,167.0,84.1,40.0,0.0909,4.0,8.0,8.0,14.0,199.0,80.1,65.0,0.2857,84.9,29.4,69.0,1014.5,0.0,9.7,6.0,290.9,W,9.66,9.17,8.99
631326,2020-08-18,2020,NYM,2020-08-18 19:10:00,19,3,8,11,3,16,6,21,301,84.9,5,58,0.0862,0.1429,0.0,10.0,0.0,11.0,148.0,82.6,38.0,0.0,3.0,6.0,4.0,10.0,153.0,87.0,45.0,0.3,85.0,29.5,74.0,1013.2,0.0,11.0,6.8,175.0,S,-5.08,-1.44,-8.11
631327,2020-08-19,2020,NYM,2020-08-19 19:10:00,19,3,5,8,1,20,6,17,297,80.9,1,50,0.02,0.0588,0.0,12.0,3.0,7.0,154.0,81.3,36.0,0.0,1.0,8.0,2.0,10.0,143.0,80.6,40.0,0.1,82.0,27.8,84.0,1012.3,0.0,8.7,5.4,125.2,SE,-8.52,-7.35,-8.66
631341,2020-08-22,2020,WSH,2020-07-31 19:10:00,19,5,3,8,3,8,6,16,222,84.5,4,48,0.0833,0.1875,1.0,4.0,4.0,8.0,119.0,83.9,36.0,0.125,2.0,4.0,2.0,8.0,103.0,85.1,36.0,0.25,82.3,28.0,81.3,1014.7,0.1,20.6,12.8,40.2,NE,-6.26,-12.61,0.84
631323,2020-08-25,2020,NYM,2020-08-20 18:10:00,18,3,0,3,0,13,7,6,233,78.0,0,30,0.0,0.0,0.0,6.0,2.0,2.0,100.0,78.5,22.0,0.0,0.0,7.0,5.0,4.0,133.0,77.7,35.0,0.0,84.1,29.0,79.3,1012.6,0.0,8.6,5.3,187.6,S,-2.21,0.76,-4.92
631304,2020-08-28,2020,TB,2020-08-28 19:10:00,19,0,2,2,0,20,4,15,247,78.8,1,46,0.0217,0.0,0.0,7.0,1.0,5.0,112.0,75.7,39.0,0.0,0.0,13.0,3.0,10.0,135.0,81.7,42.0,0.0,84.7,29.3,77.7,1016.6,0.0,8.3,5.2,168.7,S,-4.64,-1.99,-6.73
631319,2020-08-29,2020,TB,2020-08-29 18:10:00,18,0,4,4,0,18,3,11,262,79.9,2,46,0.0435,0.0,0.0,11.0,1.0,3.0,125.0,79.1,45.0,0.0,0.0,7.0,2.0,8.0,137.0,80.7,45.0,0.0,85.5,29.7,72.0,1014.9,0.4,11.7,7.3,190.3,S,-2.47,1.59,-6.23
631306,2020-08-30,2020,TB,2020-08-30 13:10:00,13,7,12,19,7,11,10,22,325,84.9,9,64,0.1406,0.3182,3.0,8.0,5.0,9.0,147.0,83.0,39.0,0.3333,4.0,3.0,5.0,13.0,178.0,86.2,58.0,0.3077,88.4,31.3,63.3,1014.6,0.3,9.0,5.6,166.4,S,-5.3,-2.49,-7.47
