game_pk,game_date,season,away_team,game_start,start_hour,home_runs_scored,away_runs_scored,total_runs,home_runs_hit,strikeouts,walks,hits,total_pitches,avg_exit_velocity,n_barrels,n_bbe,barrel_rate,hr_h_ratio,temp_f,temp_c,rhum,pres,prcp,wspd,wspd_mph,wdir,wind_dir_bucket,wind_cf,wind_lcf,wind_rcf
413751,2015-04-13,2015,PHI,2015-04-13 13:10:00,13,2,0,2,0,8,6,13,283,89.1,0,55,0.0,0.0,62.1,16.7,59.7,1024.4,0.0,20.0,12.4,163.7,S,15.58,18.93,10.35
413764,2015-04-14,2015,PHI,2015-04-14 19:10:00,19,6,5,11,5,19,6,19,295,88.6,4,50,0.08,0.2632,53.4,11.9,83.3,1019.5,0.0,6.4,4.0,200.7,S,6.36,6.05,5.91
413779,2015-04-15,2015,PHI,2015-04-15 19:10:00,19,6,1,7,2,7,9,21,266,83.5,1,65,0.0154,0.0952,54.3,12.4,56.7,1025.4,0.0,7.7,4.8,341.4,N,-5.82,-7.21,-3.73
413785,2015-04-16,2015,MIA,2015-04-16 19:10:00,19,7,5,12,3,17,6,16,304,83.8,5,48,0.1042,0.1875,49.6,9.8,79.7,1026.4,0.0,15.1,9.4,165.3,S,12.01,14.4,8.17
413797,2015-04-17,2015,MIA,2015-04-17 19:10:00,19,4,1,5,1,12,3,14,251,88.5,1,52,0.0192,0.0714,60.1,15.6,83.0,1013.5,0.0,7.2,4.5,283.7,W,1.11,-1.4,3.49
413812,2015-04-18,2015,MIA,2015-04-18 19:10:00,19,5,4,9,3,18,2,21,261,87.9,3,52,0.0577,0.1429,62.2,16.8,51.3,1013.9,0.0,12.4,7.7,310.6,NW,-3.83,-7.62,0.42
413827,2015-04-19,2015,MIA,2015-04-19 13:10:00,13,7,6,13,0,14,5,19,257,89.1,0,54,0.0,0.0,55.3,12.9,53.7,1022.9,0.0,17.2,10.7,122.3,SE,2.94,8.57,-3.04
413843,2015-04-21,2015,ATL,2015-04-21 19:10:00,19,7,1,8,1,8,11,14,289,87.0,1,57,0.0175,0.0714,53.4,11.9,55.0,1007.6,0.0,12.8,8.0,245.0,SW,9.46,5.93,11.86
413858,2015-04-22,2015,ATL,2015-04-22 19:10:00,19,3,2,5,1,10,6,15,274,83.3,0,54,0.0,0.0667,50.2,10.1,81.7,1003.6,0.1,18.8,11.7,238.7,SW,15.14,10.44,18.02
413873,2015-04-23,2015,ATL,2015-04-23 13:10:00,13,6,3,9,0,21,9,14,311,87.6,0,42,0.0,0.0,49.2,9.5,39.7,1006.1,0.3,27.1,16.9,277.7,W,6.95,-2.44,15.5
