game_pk,game_date,season,away_team,game_start,start_hour,home_runs_scored,away_runs_scored,total_runs,home_runs_hit,strikeouts,walks,hits,total_pitches,avg_exit_velocity,n_barrels,n_bbe,barrel_rate,hr_h_ratio,home_bat_hr,home_bat_k,home_bat_bb,home_bat_h,home_bat_pitches,home_bat_exit_velo,home_bat_bbe,home_bat_hr_h_ratio,away_bat_hr,away_bat_k,away_bat_bb,away_bat_h,away_bat_pitches,away_bat_exit_velo,away_bat_bbe,away_bat_hr_h_ratio,temp_f,temp_c,rhum,pres,prcp,wspd,wspd_mph,wdir,wind_dir_bucket,wind_cf,wind_lcf,wind_rcf,day_night
413751,2015-04-13,2015,PHI,2015-04-13 13:10:00,13,2,0,2,0,8,6,13,283,89.1,0,55,0.0,0.0,0.0,3.0,3.0,6.0,150.0,89.8,34.0,0.0,0.0,5.0,2.0,7.0,133.0,88.3,32.0,0.0,61.8,16.5,58.3,1025.1,0.0,18.9,11.7,165.0,S,14.99,18.03,10.15,day
413764,2015-04-14,2015,PHI,2015-04-14 19:10:00,19,6,5,11,5,19,6,19,295,88.6,4,50,0.08,0.2632,1.0,7.0,4.0,12.0,156.0,87.2,36.0,0.0833,4.0,12.0,1.0,7.0,139.0,90.9,23.0,0.5714,54.6,12.6,80.0,1019.2,0.0,5.7,3.5,191.9,S,5.6,5.62,4.91,night
413779,2015-04-15,2015,PHI,2015-04-15 19:10:00,19,6,1,7,2,7,9,21,266,83.5,1,65,0.0154,0.0952,2.0,2.0,3.0,12.0,141.0,84.9,37.0,0.1667,0.0,5.0,4.0,9.0,125.0,81.9,33.0,0.0,57.6,14.2,53.0,1024.2,0.0,6.8,4.2,329.6,NW,-4.13,-5.74,-2.01,night
413785,2015-04-16,2015,MIA,2015-04-16 19:10:00,19,7,5,12,3,17,6,16,304,83.8,5,48,0.1042,0.1875,1.0,6.0,3.0,9.0,140.0,84.4,27.0,0.1111,2.0,11.0,3.0,7.0,164.0,83.3,32.0,0.2857,50.5,10.3,76.7,1026.5,0.0,13.6,8.5,155.7,SE,9.33,12.17,5.36,night
413797,2015-04-17,2015,MIA,2015-04-17 19:10:00,19,4,1,5,1,12,3,14,251,88.5,1,52,0.0192,0.0714,0.0,5.0,3.0,7.0,134.0,86.6,27.0,0.0,1.0,7.0,0.0,7.0,117.0,90.0,32.0,0.1429,62.2,16.8,78.7,1013.0,0.0,7.9,4.9,262.2,W,3.97,1.41,6.06,night
413812,2015-04-18,2015,MIA,2015-04-18 19:10:00,19,5,4,9,3,18,2,21,261,87.9,3,52,0.0577,0.1429,2.0,5.0,1.0,10.0,112.0,87.6,30.0,0.2,1.0,13.0,1.0,11.0,149.0,88.4,27.0,0.0909,64.9,18.3,56.7,1012.7,0.0,11.5,7.2,253.0,W,7.34,3.86,9.94,night
413827,2015-04-19,2015,MIA,2015-04-19 13:10:00,13,7,6,13,0,14,5,19,257,89.1,0,54,0.0,0.0,0.0,5.0,4.0,8.0,129.0,91.9,25.0,0.0,0.0,9.0,1.0,11.0,128.0,86.6,29.0,0.0,55.8,13.2,52.3,1023.6,0.0,15.9,9.9,122.0,SE,2.62,7.81,-2.89,day
413843,2015-04-21,2015,ATL,2015-04-21 19:10:00,19,7,1,8,1,8,11,14,289,87.0,1,57,0.0175,0.0714,0.0,1.0,6.0,9.0,149.0,87.9,37.0,0.0,1.0,7.0,5.0,5.0,140.0,85.8,26.0,0.2,55.8,13.2,50.7,1006.8,0.0,14.8,9.2,252.3,W,9.52,5.09,12.81,night
413858,2015-04-22,2015,ATL,2015-04-22 19:10:00,19,3,2,5,1,10,6,15,274,83.3,0,54,0.0,0.0667,1.0,6.0,3.0,7.0,143.0,85.6,30.0,0.1429,0.0,4.0,2.0,8.0,131.0,81.6,39.0,0.0,51.3,10.7,85.7,1003.2,0.5,17.1,10.6,216.2,SW,16.61,14.22,17.0,night
413873,2015-04-23,2015,ATL,2015-04-23 13:10:00,13,6,3,9,0,21,9,14,311,87.6,0,42,0.0,0.0,0.0,12.0,8.0,6.0,179.0,84.9,18.0,0.0,0.0,9.0,1.0,8.0,132.0,89.5,26.0,0.0,48.4,9.1,41.7,1006.3,0.5,25.1,15.6,275.7,W,7.26,-1.38,15.03,day
413981,2015-04-30,2015,WSH,2015-04-30 19:10:00,19,2,8,10,0,19,4,19,295,89.7,0,54,0.0,0.0,0.0,11.0,1.0,7.0,139.0,88.2,29.0,0.0,0.0,8.0,3.0,12.0,156.0,91.1,34.0,0.0,51.6,10.9,70.3,1010.7,0.0,12.9,8.0,119.7,SE,1.61,5.88,-2.86,night
413996,2015-05-01,2015,WSH,2015-05-01 19:10:00,19,4,0,4,1,17,3,14,242,86.9,3,45,0.0667,0.0714,1.0,12.0,2.0,8.0,120.0,88.8,22.0,0.125,0.0,5.0,1.0,6.0,122.0,85.5,28.0,0.0,48.4,9.1,78.3,1014.7,0.0,9.5,5.9,154.0,SE,6.32,8.38,3.49,night
414011,2015-05-02,2015,WSH,2015-05-02 19:10:00,19,0,1,1,0,17,3,15,264,85.7,1,50,0.02,0.0,0.0,10.0,2.0,6.0,137.0,82.0,23.0,0.0,0.0,7.0,1.0,9.0,127.0,88.3,32.0,0.0,50.8,10.4,76.3,1015.8,0.0,12.8,8.0,168.3,S,10.62,12.44,7.51,night
