game_pk,game_date,season,away_team,game_start,start_hour,home_runs_scored,away_runs_scored,total_runs,home_runs_hit,strikeouts,walks,hits,total_pitches,avg_exit_velocity,n_barrels,n_bbe,barrel_rate,hr_h_ratio,home_bat_hr,home_bat_k,home_bat_bb,home_bat_h,home_bat_pitches,home_bat_exit_velo,home_bat_bbe,home_bat_hr_h_ratio,away_bat_hr,away_bat_k,away_bat_bb,away_bat_h,away_bat_pitches,away_bat_exit_velo,away_bat_bbe,away_bat_hr_h_ratio,temp_f,temp_c,rhum,pres,prcp,wspd,wspd_mph,wdir,wind_dir_bucket,wind_cf,wind_lcf,wind_rcf
413657,2015-04-06,2015,NYM,2015-04-06 16:05:00,16,1,3,4,1,19,4,8,245,86.8,2,46,0.0435,0.125,1.0,10.0,1.0,3.0,122.0,87.9,28.0,0.3333,0.0,9.0,3.0,5.0,123.0,85.7,26.0,0.0,72.0,22.2,40.3,1018.6,0.0,16.5,10.2,203.7,SW,16.46,15.36,15.59
413679,2015-04-08,2015,NYM,2015-04-08 19:05:00,19,2,1,3,1,14,4,13,250,86.4,2,49,0.0408,0.0769,1.0,8.0,1.0,7.0,114.0,85.3,24.0,0.1429,0.0,6.0,1.0,6.0,136.0,87.3,31.0,0.0,46.7,8.2,81.0,1019.8,0.0,10.3,6.4,70.7,E,-6.87,-3.83,-9.08
413690,2015-04-09,2015,NYM,2015-04-09 13:05:00,13,3,6,9,0,21,6,17,296,86.5,1,49,0.0204,0.0,0.0,12.0,3.0,7.0,145.0,89.2,27.0,0.0,0.0,9.0,3.0,10.0,151.0,84.3,34.0,0.0,49.5,9.7,82.0,1022.8,0.0,9.2,5.7,110.7,E,-0.3,2.88,-3.43
413787,2015-04-16,2015,PHI,2015-04-16 19:05:00,19,5,2,7,2,15,8,11,232,87.2,2,46,0.0435,0.1818,2.0,9.0,3.0,6.0,119.0,87.4,24.0,0.3333,0.0,6.0,3.0,5.0,113.0,87.0,29.0,0.0,61.3,16.3,60.0,1023.4,0.0,10.9,6.8,154.7,SE,7.32,9.64,4.11
413801,2015-04-17,2015,PHI,2015-04-17 19:05:00,19,7,2,9,2,17,3,17,258,84.8,2,53,0.0377,0.1176,2.0,6.0,2.0,10.0,141.0,85.4,32.0,0.2,0.0,11.0,0.0,7.0,117.0,84.2,31.0,0.0,68.9,20.5,74.7,1012.4,0.0,5.9,3.7,290.6,W,0.2,-1.83,2.2
413816,2015-04-18,2015,PHI,2015-04-18 13:05:00,13,3,5,8,1,13,7,16,260,88.2,2,56,0.0357,0.0625,1.0,9.0,2.0,9.0,125.0,87.9,24.0,0.1111,0.0,4.0,4.0,7.0,135.0,88.5,26.0,0.0,76.2,24.5,42.3,1013.7,0.0,3.4,2.1,32.7,NE,-3.31,-2.91,-3.32
413831,2015-04-19,2015,PHI,2015-04-19 13:35:00,13,4,1,5,0,13,7,16,265,85.8,1,54,0.0185,0.0,0.0,5.0,4.0,9.0,148.0,85.1,34.0,0.0,0.0,8.0,2.0,7.0,117.0,86.7,28.0,0.0,63.0,17.2,50.3,1017.6,0.0,18.5,11.5,96.3,E,-5.15,1.24,-10.92
413856,2015-04-21,2015,STL,2015-04-21 19:05:00,19,2,1,3,1,21,10,21,361,90.0,0,55,0.0,0.0476,1.0,13.0,5.0,8.0,196.0,92.1,27.0,0.125,0.0,8.0,3.0,13.0,165.0,88.6,38.0,0.0,60.0,15.5,49.0,1006.6,0.0,6.6,4.1,264.7,W,3.06,0.89,4.87
413871,2015-04-22,2015,STL,2015-04-22 19:05:00,19,5,7,12,3,16,7,19,306,85.6,4,57,0.0702,0.1579,0.0,8.0,2.0,8.0,140.0,87.0,32.0,0.0,3.0,8.0,4.0,11.0,166.0,84.3,36.0,0.2727,57.3,14.0,51.7,1004.9,0.0,11.6,7.2,314.3,NW,-4.33,-7.76,-0.37
413884,2015-04-23,2015,STL,2015-04-23 16:05:00,16,1,4,5,0,12,4,15,240,85.6,2,54,0.037,0.0,0.0,7.0,3.0,6.0,122.0,86.1,25.0,0.0,0.0,5.0,1.0,9.0,118.0,85.1,33.0,0.0,54.7,12.6,36.3,1008.3,0.0,19.7,12.3,289.7,W,0.97,-5.82,7.66
414030,2015-05-04,2015,MIA,2015-05-04 19:05:00,19,6,4,10,2,14,7,21,261,90.9,1,57,0.0175,0.0952,1.0,5.0,4.0,12.0,128.0,91.7,36.0,0.0833,1.0,9.0,1.0,9.0,133.0,90.0,31.0,0.1111,72.8,22.7,54.3,1019.7,0.0,12.8,7.9,183.7,S,12.08,12.76,9.94
414045,2015-05-05,2015,MIA,2015-05-05 19:05:00,19,1,2,3,0,16,9,9,304,84.0,1,48,0.0208,0.0,0.0,9.0,6.0,3.0,147.0,82.2,28.0,0.0,0.0,7.0,3.0,6.0,157.0,85.5,35.0,0.0,72.8,22.7,74.7,1021.6,1.2,6.5,4.1,233.6,SW,5.59,4.1,6.41
414060,2015-05-06,2015,MIA,2015-05-06 13:05:00,13,7,5,12,4,19,1,25,280,83.2,3,55,0.0545,0.16,3.0,6.0,0.0,12.0,129.0,85.7,38.0,0.25,1.0,13.0,0.0,13.0,151.0,80.3,34.0,0.0769,80.7,27.1,56.7,1020.4,0.0,8.5,5.3,94.0,E,-2.7,0.22,-5.29
414079,2015-05-08,2015,ATL,2015-05-08 19:05:00,19,9,2,11,5,17,4,17,258,87.6,6,48,0.125,0.2941,5.0,8.0,2.0,11.0,131.0,88.4,33.0,0.4545,0.0,9.0,2.0,6.0,127.0,86.5,24.0,0.0,72.0,22.2,62.7,1017.8,0.0,9.5,5.9,133.0,SE,3.32,6.15,0.08
414094,2015-05-09,2015,ATL,2015-05-09 16:05:00,16,8,6,14,3,15,5,23,286,87.4,3,57,0.0526,0.1304,3.0,11.0,4.0,14.0,147.0,91.4,28.0,0.2143,0.0,4.0,1.0,9.0,139.0,84.3,35.0,0.0,79.0,26.1,52.3,1020.2,0.0,8.5,5.3,158.0,S,6.04,7.7,3.65
414109,2015-05-10,2015,ATL,2015-05-10 13:35:00,13,5,4,9,0,10,5,23,266,86.3,2,59,0.0339,0.0,0.0,7.0,2.0,11.0,119.0,87.9,31.0,0.0,0.0,3.0,3.0,12.0,147.0,85.0,38.0,0.0,79.0,26.1,59.0,1020.2,0.0,9.0,5.6,171.7,S,7.73,8.84,5.68
414235,2015-05-19,2015,NYY,2015-05-19 19:05:00,19,8,6,14,5,18,8,18,314,87.5,3,56,0.0536,0.2778,4.0,12.0,5.0,10.0,168.0,89.4,17.0,0.4,1.0,6.0,3.0,8.0,146.0,86.0,22.0,0.125,80.4,26.9,51.7,1009.1,0.0,6.9,4.3,295.7,NW,-0.38,-2.7,1.99
414250,2015-05-20,2015,NYY,2015-05-20 19:05:00,19,3,2,5,2,16,8,11,260,82.1,1,46,0.0217,0.1818,2.0,7.0,5.0,5.0,135.0,82.8,26.0,0.4,0.0,9.0,3.0,6.0,125.0,81.5,29.0,0.0,66.1,18.9,40.0,1013.7,0.0,8.9,5.6,341.0,N,-6.69,-8.31,-4.26
414278,2015-05-22,2015,PHI,2015-05-22 19:05:00,19,2,1,3,1,14,3,12,246,83.9,2,47,0.0426,0.0833,1.0,6.0,1.0,6.0,119.0,84.7,26.0,0.1667,0.0,8.0,1.0,6.0,127.0,82.9,23.0,0.0,68.7,20.4,35.0,1018.5,0.0,10.4,6.4,265.0,W,4.79,1.35,7.64
414293,2015-05-23,2015,PHI,2015-05-23 16:05:00,16,1,8,9,2,17,2,16,262,86.0,1,54,0.0185,0.125,0.0,7.0,1.0,5.0,116.0,85.0,27.0,0.0,2.0,10.0,1.0,11.0,146.0,86.7,36.0,0.1818,72.6,22.6,24.3,1027.1,0.0,5.1,3.2,233.0,SW,4.39,3.24,5.01
414308,2015-05-24,2015,PHI,2015-05-24 13:35:00,13,4,1,5,0,14,3,18,246,86.5,2,53,0.0377,0.0,0.0,3.0,2.0,10.0,119.0,87.7,31.0,0.0,0.0,11.0,1.0,8.0,127.0,85.1,26.0,0.0,80.5,26.9,37.0,1025.1,0.0,6.3,3.9,222.0,SW,5.91,4.84,6.27
414420,2015-06-02,2015,TOR,2015-06-01 19:05:00,19,2,0,2,0,12,3,15,240,86.4,0,53,0.0,0.0,0.0,7.0,2.0,9.0,123.0,87.6,28.0,0.0,0.0,5.0,1.0,6.0,117.0,85.2,29.0,0.0,72.8,22.7,91.3,1013.7,12.3,4.2,2.6,195.1,S,4.13,4.07,3.7
