game_pk,game_date,season,away_team,game_start,start_hour,home_runs_scored,away_runs_scored,total_runs,home_runs_hit,strikeouts,walks,hits,total_pitches,avg_exit_velocity,n_barrels,n_bbe,barrel_rate,hr_h_ratio,temp_f,temp_c,rhum,pres,prcp,wspd,wspd_mph,wdir,wind_dir_bucket,wind_cf,wind_lcf,wind_rcf
413709,2015-04-10,2015,TOR,2015-04-10 15:05:00,15,5,12,17,2,8,5,29,292,89.6,4,71,0.0563,0.069,58.3,14.6,94.7,1007.8,0.0,10.9,6.8,224.0,SW,10.11,8.14,10.86
413724,2015-04-11,2015,TOR,2015-04-11 19:05:00,19,7,1,8,3,18,7,12,272,85.1,2,44,0.0455,0.25,50.7,10.4,52.0,1020.7,0.0,9.3,5.8,312.0,NW,-3.12,-5.94,0.08
413739,2015-04-12,2015,TOR,2015-04-12 13:35:00,13,7,10,17,5,14,8,18,329,87.9,4,58,0.069,0.2778,63.0,17.2,43.7,1024.8,0.0,10.0,6.2,180.7,S,9.31,10.03,7.48
413749,2015-04-13,2015,NYY,2015-04-13 19:05:00,19,5,6,11,4,20,4,18,295,84.8,2,48,0.0417,0.2222,58.9,15.0,71.3,1019.8,0.0,23.4,14.6,167.0,S,19.08,22.58,13.27
413762,2015-04-14,2015,NYY,2015-04-14 19:05:00,19,4,3,7,1,19,2,13,236,88.7,1,46,0.0217,0.0769,51.8,11.0,82.0,1018.9,0.1,6.9,4.3,359.0,N,-6.36,-6.92,-5.03
413777,2015-04-15,2015,NYY,2015-04-15 19:05:00,19,7,5,12,3,23,8,23,310,88.4,4,49,0.0816,0.1304,54.9,12.7,66.0,1024.5,0.0,4.9,3.0,266.0,W,2.17,0.55,3.53
413886,2015-04-24,2015,BOS,2015-04-24 19:05:00,19,5,7,12,5,14,6,21,308,90.1,3,59,0.0508,0.2381,48.2,9.0,43.7,1011.8,0.0,9.4,5.8,293.6,NW,-0.18,-3.37,3.03
413901,2015-04-25,2015,BOS,2015-04-25 19:05:00,19,5,4,9,4,11,4,19,276,88.7,4,64,0.0625,0.2105,47.4,8.5,73.7,1005.8,0.8,12.3,7.7,226.3,SW,11.28,8.89,12.31
413916,2015-04-26,2015,BOS,2015-04-26 13:35:00,13,18,7,25,4,8,10,29,337,87.9,4,74,0.0541,0.1379,60.2,15.7,36.7,1003.7,0.0,6.4,4.0,330.3,NW,-3.9,-5.39,-1.95
413960,2015-04-29,2015,CWS,2015-04-29 14:05:00,14,8,2,10,2,16,2,15,227,86.0,2,49,0.0408,0.1333,70.4,21.3,40.3,1004.0,0.0,9.1,5.6,197.9,S,9.04,8.74,8.25
413994,2015-05-01,2015,TB,2015-05-01 19:05:00,19,0,2,2,0,22,2,8,234,88.4,1,39,0.0256,0.0,55.2,12.9,80.0,1012.8,0.0,3.0,1.8,112.7,SE,0.01,1.02,-1.01
414009,2015-05-02,2015,TB,2015-05-02 19:05:00,19,4,0,4,1,13,5,11,269,88.7,3,48,0.0625,0.0909,60.6,15.9,74.7,1013.9,0.0,9.6,6.0,202.7,SW,9.63,9.04,9.06
414024,2015-05-03,2015,TB,2015-05-03 13:35:00,13,4,2,6,1,16,5,16,260,88.3,0,50,0.0,0.0625,76.0,24.5,32.0,1017.7,0.0,8.0,5.0,232.4,SW,6.97,5.18,7.91
414132,2015-05-11,2015,TOR,2015-05-11 19:05:00,19,5,2,7,3,22,4,16,275,91.2,2,43,0.0465,0.1875,70.8,21.6,89.7,1013.3,0.0,5.0,3.1,2.3,N,-4.66,-4.97,-3.79
414147,2015-05-12,2015,TOR,2015-05-12 19:05:00,19,2,10,12,3,14,3,18,273,87.1,3,57,0.0526,0.1667,75.5,24.2,40.0,1010.5,0.0,18.0,11.2,293.3,NW,-0.26,-6.39,5.9
414162,2015-05-13,2015,TOR,2015-05-13 19:05:00,19,6,1,7,1,9,8,13,257,87.4,1,54,0.0185,0.0769,62.0,16.7,45.0,1023.1,0.0,18.0,11.2,305.0,NW,-3.9,-9.69,2.35
414175,2015-05-15,2015,LAA,2015-05-15 19:05:00,19,1,3,4,2,13,3,12,226,87.3,1,51,0.0196,0.1667,65.5,18.6,66.3,1020.9,0.0,14.0,8.7,154.7,SE,9.38,12.35,5.27
