game_pk,game_date,season,away_team,game_start,start_hour,home_runs_scored,away_runs_scored,total_runs,home_runs_hit,strikeouts,walks,hits,total_pitches,avg_exit_velocity,n_barrels,n_bbe,barrel_rate,hr_h_ratio,home_bat_hr,home_bat_k,home_bat_bb,home_bat_h,home_bat_pitches,home_bat_exit_velo,home_bat_bbe,home_bat_hr_h_ratio,away_bat_hr,away_bat_k,away_bat_bb,away_bat_h,away_bat_pitches,away_bat_exit_velo,away_bat_bbe,away_bat_hr_h_ratio,temp_f,temp_c,rhum,pres,prcp,wspd,wspd_mph,wdir,wind_dir_bucket,wind_cf,wind_lcf,wind_rcf,day_night
413709,2015-04-10,2015,TOR,2015-04-10 15:05:00,15,5,12,17,2,8,5,29,292,89.6,4,71,0.0563,0.069,2.0,2.0,2.0,13.0,130.0,91.5,37.0,0.1538,0.0,6.0,3.0,16.0,162.0,88.1,44.0,0.0,55.9,13.3,93.7,1008.3,0.7,15.1,9.4,188.0,S,14.58,15.0,12.41,day
413724,2015-04-11,2015,TOR,2015-04-11 19:05:00,19,7,1,8,3,18,7,12,272,85.1,2,44,0.0455,0.25,3.0,8.0,4.0,9.0,153.0,88.3,30.0,0.3333,0.0,10.0,1.0,3.0,119.0,81.3,25.0,0.0,53.7,12.1,47.7,1019.7,0.0,9.1,5.6,314.7,NW,-3.42,-6.09,-0.34,night
413739,2015-04-12,2015,TOR,2015-04-12 13:35:00,13,7,10,17,5,14,8,18,329,87.9,4,58,0.069,0.2778,2.0,9.0,2.0,8.0,139.0,85.6,34.0,0.25,3.0,5.0,6.0,10.0,190.0,89.9,39.0,0.3,61.8,16.6,43.7,1025.5,0.0,8.3,5.1,188.7,S,8.03,8.22,6.87,day
413749,2015-04-13,2015,NYY,2015-04-13 19:05:00,19,5,6,11,4,20,4,18,295,84.8,2,48,0.0417,0.2222,1.0,13.0,2.0,11.0,150.0,86.5,25.0,0.0909,3.0,7.0,2.0,7.0,145.0,83.1,25.0,0.4286,60.9,16.1,69.0,1019.6,0.0,22.9,14.3,163.3,S,17.78,21.66,11.75,night
413762,2015-04-14,2015,NYY,2015-04-14 19:05:00,19,4,3,7,1,19,2,13,236,88.7,1,46,0.0217,0.0769,1.0,9.0,1.0,7.0,102.0,88.5,24.0,0.1429,0.0,10.0,1.0,6.0,134.0,88.9,30.0,0.0,51.9,11.0,83.3,1018.4,0.2,7.2,4.5,14.3,N,-7.16,-7.08,-6.37,night
413777,2015-04-15,2015,NYY,2015-04-15 19:05:00,19,7,5,12,3,23,8,23,310,88.4,4,49,0.0816,0.1304,2.0,11.0,3.0,15.0,146.0,89.5,31.0,0.1333,1.0,12.0,4.0,8.0,164.0,87.1,25.0,0.125,57.9,14.4,61.3,1023.8,0.0,3.7,2.3,279.3,W,0.85,-0.44,2.04,night
413886,2015-04-24,2015,BOS,2015-04-24 19:05:00,19,5,7,12,5,14,6,21,308,90.1,3,59,0.0508,0.2381,2.0,10.0,3.0,10.0,162.0,91.1,26.0,0.2,3.0,4.0,2.0,11.0,146.0,89.3,38.0,0.2727,50.7,10.4,40.0,1011.5,0.0,10.8,6.7,305.7,NW,-2.47,-5.91,1.28,night
413901,2015-04-25,2015,BOS,2015-04-25 19:05:00,19,5,4,9,4,11,4,19,276,88.7,4,64,0.0625,0.2105,2.0,4.0,1.0,11.0,131.0,90.2,34.0,0.1818,2.0,7.0,3.0,8.0,145.0,87.3,34.0,0.25,48.9,9.4,66.0,1005.9,0.2,12.9,8.0,209.6,SW,12.83,11.51,12.61,night
413916,2015-04-26,2015,BOS,2015-04-26 13:35:00,13,18,7,25,4,8,10,29,337,87.9,4,74,0.0541,0.1379,1.0,5.0,4.0,20.0,185.0,87.9,52.0,0.05,3.0,3.0,6.0,9.0,152.0,87.9,41.0,0.3333,59.2,15.1,39.3,1004.1,0.0,6.3,3.9,350.3,N,-5.3,-6.13,-3.84,day
413960,2015-04-29,2015,CWS,2015-04-29 14:05:00,14,8,2,10,2,16,2,15,227,86.0,2,49,0.0408,0.1333,2.0,7.0,1.0,11.0,112.0,87.7,38.0,0.1818,0.0,9.0,1.0,4.0,115.0,83.6,27.0,0.0,70.4,21.3,39.0,1004.6,0.0,6.1,3.8,213.7,SW,5.98,5.22,6.03,day
413994,2015-05-01,2015,TB,2015-05-01 19:05:00,19,0,2,2,0,22,2,8,234,88.4,1,39,0.0256,0.0,0.0,13.0,0.0,4.0,114.0,90.1,20.0,0.0,0.0,9.0,2.0,4.0,120.0,87.0,25.0,0.0,56.4,13.6,74.3,1012.4,0.0,3.0,1.8,59.8,NE,-2.36,-1.6,-2.83,night
414009,2015-05-02,2015,TB,2015-05-02 19:05:00,19,4,0,4,1,13,5,11,269,88.7,3,48,0.0625,0.0909,1.0,6.0,4.0,7.0,147.0,90.2,29.0,0.1429,0.0,7.0,1.0,4.0,122.0,87.2,31.0,0.0,63.0,17.2,69.3,1013.4,0.0,8.8,5.4,195.7,S,8.7,8.54,7.82,night
414024,2015-05-03,2015,TB,2015-05-03 13:35:00,13,4,2,6,1,16,5,16,260,88.3,0,50,0.0,0.0625,0.0,8.0,2.0,9.0,131.0,93.2,26.0,0.0,1.0,8.0,3.0,7.0,129.0,84.0,30.0,0.1429,75.7,24.3,33.3,1018.0,0.0,7.4,4.6,243.7,SW,5.55,3.55,6.87,day
414132,2015-05-11,2015,TOR,2015-05-11 19:05:00,19,5,2,7,3,22,4,16,275,91.2,2,43,0.0465,0.1875,3.0,9.0,2.0,8.0,143.0,91.5,25.0,0.375,0.0,13.0,2.0,8.0,132.0,91.0,23.0,0.0,72.6,22.6,84.0,1013.2,0.0,5.8,3.6,34.3,NE,-5.71,-4.96,-5.77,night
414147,2015-05-12,2015,TOR,2015-05-12 19:05:00,19,2,10,12,3,14,3,18,273,87.1,3,57,0.0526,0.1667,0.0,5.0,0.0,5.0,111.0,87.6,33.0,0.0,3.0,9.0,2.0,13.0,162.0,86.6,37.0,0.2308,77.8,25.5,39.0,1009.6,0.0,13.6,8.5,285.3,W,1.7,-3.03,6.22,night
414162,2015-05-13,2015,TOR,2015-05-13 19:05:00,19,6,1,7,1,9,8,13,257,87.4,1,54,0.0185,0.0769,1.0,2.0,5.0,9.0,141.0,89.8,33.0,0.1111,0.0,7.0,3.0,4.0,116.0,84.2,24.0,0.0,63.4,17.4,43.3,1022.2,0.0,18.0,11.2,308.0,NW,-4.82,-10.47,1.42,night
414175,2015-05-15,2015,LAA,2015-05-15 19:05:00,19,1,3,4,2,13,3,12,226,87.3,1,51,0.0196,0.1667,1.0,6.0,1.0,5.0,116.0,84.0,28.0,0.2,1.0,7.0,2.0,7.0,110.0,90.6,27.0,0.1429,67.6,19.8,59.7,1020.9,0.0,14.3,8.9,153.0,SE,9.29,12.45,5.01,night
414190,2015-05-16,2015,LAA,2015-05-16 19:05:00,19,1,6,7,3,16,0,16,233,86.9,1,53,0.0189,0.1875,1.0,9.0,0.0,3.0,106.0,87.4,28.0,0.3333,2.0,7.0,0.0,13.0,127.0,86.5,39.0,0.1538,71.8,22.1,89.7,1019.5,3.8,8.5,5.3,223.9,SW,7.88,6.35,8.46,night
414205,2015-05-17,2015,LAA,2015-05-17 13:35:00,13,3,0,3,0,16,1,13,224,85.2,0,46,0.0,0.0,0.0,7.0,1.0,7.0,116.0,86.3,26.0,0.0,0.0,9.0,0.0,6.0,108.0,84.2,28.0,0.0,76.2,24.5,79.0,1019.9,0.4,6.7,4.2,221.7,SW,6.36,5.22,6.73,day
414238,2015-05-19,2015,SEA,2015-05-19 19:05:00,19,9,4,13,3,15,8,19,270,88.6,3,53,0.0566,0.1579,1.0,6.0,4.0,13.0,141.0,90.1,32.0,0.0769,2.0,9.0,3.0,6.0,129.0,87.0,29.0,0.3333,78.0,25.5,63.3,1008.7,0.0,7.2,4.5,223.5,SW,6.69,5.41,7.17,night
414253,2015-05-20,2015,SEA,2015-05-20 19:05:00,19,2,4,6,1,12,1,22,255,84.7,3,61,0.0492,0.0455,0.0,6.0,0.0,10.0,121.0,84.6,32.0,0.0,1.0,6.0,1.0,12.0,134.0,84.8,37.0,0.0833,63.4,17.4,43.0,1013.9,0.0,12.1,7.5,359.0,N,-11.13,-12.11,-8.81,night
414266,2015-05-21,2015,SEA,2015-05-21 12:35:00,12,5,4,9,1,22,12,16,353,85.9,0,46,0.0,0.0625,1.0,10.0,5.0,6.0,157.0,84.0,32.0,0.1667,0.0,12.0,6.0,10.0,196.0,87.8,32.0,0.0,53.9,12.2,81.3,1014.8,4.3,5.4,3.4,71.5,E,-3.57,-1.95,-4.75,day
414320,2015-05-25,2015,HOU,2015-05-25 13:35:00,13,4,3,7,3,15,1,17,239,90.2,3,49,0.0612,0.1765,2.0,3.0,1.0,6.0,98.0,90.1,26.0,0.3333,1.0,12.0,0.0,11.0,141.0,90.3,27.0,0.0909,82.5,28.1,40.7,1022.1,0.0,22.7,14.1,185.7,S,21.7,22.63,18.14,day
414335,2015-05-26,2015,HOU,2015-05-26 19:05:00,19,1,4,5,0,10,9,13,263,88.5,2,53,0.0377,0.0,0.0,5.0,3.0,5.0,124.0,86.3,31.0,0.0,0.0,5.0,6.0,8.0,139.0,90.5,35.0,0.0,77.0,25.0,71.3,1019.2,0.0,16.7,10.4,161.3,S,12.6,15.6,8.07,night
414350,2015-05-27,2015,HOU,2015-05-27 16:35:00,16,5,4,9,4,14,1,21,240,89.5,5,57,0.0877,0.1905,3.0,9.0,0.0,10.0,131.0,89.0,30.0,0.3,1.0,5.0,1.0,11.0,109.0,89.9,32.0,0.0909,77.1,25.1,82.0,1018.2,7.0,7.6,4.7,211.7,SW,7.5,6.64,7.46,day
413930,2015-05-28,2015,CWS,2015-04-27 19:05:00,19,2,3,5,1,18,1,15,286,84.3,1,49,0.0204,0.0667,1.0,16.0,0.0,6.0,149.0,82.8,20.0,0.1667,0.0,2.0,1.0,9.0,137.0,85.2,34.0,0.0,52.6,11.5,55.3,1007.9,0.0,17.0,10.6,305.7,NW,-3.88,-9.32,2.03,night
413945,2015-05-28,2015,CWS,2015-04-28 19:05:00,19,6,3,9,2,9,7,19,269,86.2,0,58,0.0,0.1053,0.0,5.0,4.0,13.0,122.0,84.6,32.0,0.0,2.0,4.0,3.0,6.0,147.0,87.7,35.0,0.3333,60.1,15.6,58.3,1007.7,0.0,9.5,5.9,288.3,W,0.69,-2.6,3.9,night
