game_pk,game_date,season,away_team,game_start,start_hour,home_runs_scored,away_runs_scored,total_runs,home_runs_hit,strikeouts,walks,hits,total_pitches,avg_exit_velocity,n_barrels,n_bbe,barrel_rate,hr_h_ratio,home_bat_hr,home_bat_k,home_bat_bb,home_bat_h,home_bat_pitches,home_bat_exit_velo,home_bat_bbe,home_bat_hr_h_ratio,away_bat_hr,away_bat_k,away_bat_bb,away_bat_h,away_bat_pitches,away_bat_exit_velo,away_bat_bbe,away_bat_hr_h_ratio,temp_f,temp_c,rhum,pres,prcp,wspd,wspd_mph,wdir,wind_dir_bucket,wind_cf,wind_lcf,wind_rcf
413692,2015-04-09,2015,SF,2015-04-09 15:40:00,15,0,1,1,0,12,10,13,335,83.5,1,69,0.0145,0.0,0.0,7.0,4.0,7.0,165.0,82.5,38.0,0.0,0.0,5.0,4.0,6.0,170.0,84.6,37.0,0.0,66.2,19.0,51.3,1012.7,0.0,13.5,8.4,249.7,W,4.68,0.08,8.72
413706,2015-04-10,2015,SF,2015-04-10 19:10:00,19,1,0,1,0,13,7,10,223,89.3,1,40,0.025,0.0,0.0,6.0,2.0,5.0,115.0,89.5,19.0,0.0,0.0,7.0,3.0,5.0,108.0,89.1,17.0,0.0,60.3,15.7,67.7,1014.2,0.0,6.7,4.1,277.0,W,-0.81,-3.03,1.5
413721,2015-04-11,2015,SF,2015-04-11 17:40:00,17,10,2,12,1,17,3,25,316,87.0,1,59,0.0169,0.04,0.0,8.0,1.0,20.0,179.0,88.1,44.0,0.0,1.0,9.0,2.0,5.0,137.0,85.4,30.0,0.2,65.1,18.4,52.0,1011.4,0.0,12.4,7.7,268.3,W,0.36,-3.9,4.58
413736,2015-04-12,2015,SF,2015-04-12 13:10:00,13,6,4,10,3,18,8,16,287,85.8,2,47,0.0426,0.1875,2.0,6.0,4.0,9.0,151.0,84.6,29.0,0.2222,1.0,12.0,4.0,7.0,136.0,87.1,28.0,0.1429,68.4,20.2,51.7,1012.7,0.0,12.5,7.8,246.0,SW,5.1,0.87,8.71
413742,2015-04-13,2015,AZ,2015-04-13 19:10:00,19,4,8,12,1,18,5,21,318,84.6,2,56,0.0357,0.0476,1.0,7.0,1.0,9.0,145.0,86.1,34.0,0.1111,0.0,11.0,4.0,12.0,173.0,83.1,36.0,0.0,61.3,16.3,81.0,1016.7,0.0,6.9,4.3,281.3,W,-1.35,-3.57,1.03
413756,2015-04-14,2015,AZ,2015-04-14 19:10:00,19,5,1,6,1,12,6,11,233,85.8,1,48,0.0208,0.0909,1.0,8.0,2.0,8.0,125.0,83.9,11.0,0.125,0.0,4.0,3.0,3.0,108.0,88.5,8.0,0.0,62.1,16.7,75.0,1014.3,0.0,7.6,4.7,308.7,NW,-4.75,-6.49,-2.43
413769,2015-04-15,2015,AZ,2015-04-15 18:10:00,18,3,2,5,2,13,3,18,240,87.0,2,50,0.04,0.1111,1.0,5.0,2.0,9.0,118.0,86.4,28.0,0.1111,1.0,8.0,1.0,9.0,122.0,87.7,29.0,0.1111,67.0,19.4,59.3,1011.0,0.0,10.2,6.3,267.0,W,0.53,-2.98,3.99
413891,2015-04-24,2015,LAD,2015-04-24 19:10:00,19,0,3,3,1,15,5,14,277,81.1,3,50,0.06,0.0714,0.0,9.0,3.0,6.0,133.0,78.4,23.0,0.0,1.0,6.0,2.0,8.0,144.0,83.0,32.0,0.125,59.9,15.5,75.0,1014.9,0.1,10.7,6.6,224.0,SW,7.7,4.69,9.77
413906,2015-04-25,2015,LAD,2015-04-25 17:40:00,17,8,11,19,7,14,8,21,360,87.4,4,60,0.0667,0.3333,3.0,10.0,3.0,8.0,164.0,84.8,29.0,0.375,4.0,4.0,5.0,13.0,196.0,89.4,38.0,0.3077,61.2,16.2,79.3,1012.5,3.5,24.8,15.4,261.7,W,3.59,-5.01,11.75
413921,2015-04-26,2015,LAD,2015-04-26 13:10:00,13,3,1,4,3,14,3,10,250,87.0,3,44,0.0682,0.3,2.0,8.0,2.0,5.0,118.0,89.8,23.0,0.4,1.0,6.0,1.0,5.0,132.0,84.6,26.0,0.2,67.3,19.6,58.0,1013.6,0.0,12.6,7.8,270.3,W,-0.07,-4.39,4.25
