game_pk,game_date,season,away_team,game_start,start_hour,home_runs_scored,away_runs_scored,total_runs,home_runs_hit,strikeouts,walks,hits,total_pitches,avg_exit_velocity,n_barrels,n_bbe,barrel_rate,hr_h_ratio,home_bat_hr,home_bat_k,home_bat_bb,home_bat_h,home_bat_pitches,home_bat_exit_velo,home_bat_bbe,home_bat_hr_h_ratio,away_bat_hr,away_bat_k,away_bat_bb,away_bat_h,away_bat_pitches,away_bat_exit_velo,away_bat_bbe,away_bat_hr_h_ratio,temp_f,temp_c,rhum,pres,prcp,wspd,wspd_mph,wdir,wind_dir_bucket,wind_cf,wind_lcf,wind_rcf,day_night
413652,2015-04-06,2015,BOS,2015-04-06 15:05:00,15,0,8,8,5,18,9,12,302,87.7,1,48,0.0208,0.4167,0.0,9.0,2.0,3.0,118.0,85.2,19.0,0.0,5.0,9.0,7.0,9.0,184.0,89.7,23.0,0.5556,70.0,21.1,37.0,1020.6,0.0,19.0,11.8,206.3,SW,18.99,17.41,18.28,day
413674,2015-04-08,2015,BOS,2015-04-08 19:05:00,19,4,2,6,1,17,6,9,292,85.3,1,45,0.0222,0.1111,1.0,7.0,2.0,6.0,127.0,83.2,28.0,0.1667,0.0,10.0,4.0,3.0,165.0,87.7,24.0,0.0,41.6,5.3,76.7,1023.4,0.0,12.0,7.5,56.0,NE,-10.03,-7.16,-11.7,night
413686,2015-04-09,2015,BOS,2015-04-09 19:05:00,19,2,6,8,0,17,9,16,340,86.5,0,54,0.0,0.0,0.0,10.0,3.0,5.0,137.0,84.6,28.0,0.0,0.0,7.0,6.0,11.0,203.0,87.9,38.0,0.0,41.9,5.5,79.0,1024.3,0.0,12.1,7.5,81.3,E,-6.24,-2.34,-9.4,night
413710,2015-04-10,2015,WSH,2015-04-10 19:05:00,19,4,1,5,1,14,5,13,253,87.9,1,46,0.0217,0.0769,0.0,5.0,4.0,7.0,122.0,86.1,30.0,0.0,1.0,9.0,1.0,6.0,131.0,90.1,26.0,0.1667,59.6,15.3,93.7,1009.2,0.1,10.8,6.7,252.3,W,6.97,3.72,9.37,night
413725,2015-04-11,2015,WSH,2015-04-11 19:05:00,19,3,2,5,1,14,6,20,335,87.3,3,63,0.0476,0.05,0.0,5.0,1.0,13.0,155.0,89.1,35.0,0.0,1.0,9.0,3.0,7.0,180.0,85.4,34.0,0.1429,53.5,11.9,40.7,1020.4,0.0,7.9,4.9,295.7,NW,-0.44,-3.11,2.29,night
413740,2015-04-12,2015,WSH,2015-04-12 13:35:00,13,3,4,7,2,20,8,18,323,85.0,3,57,0.0526,0.1111,1.0,12.0,4.0,9.0,165.0,80.8,33.0,0.1111,1.0,8.0,4.0,9.0,158.0,88.9,36.0,0.1111,62.5,16.9,34.7,1026.0,0.0,6.2,3.8,244.7,SW,4.57,2.88,5.71,day
413851,2015-04-21,2015,MIA,2015-04-21 19:05:00,19,7,3,10,3,18,4,17,258,89.1,2,49,0.0408,0.1765,2.0,8.0,3.0,7.0,127.0,89.1,30.0,0.2857,1.0,10.0,1.0,10.0,131.0,89.2,29.0,0.1,58.3,14.6,44.0,1007.5,0.0,7.8,4.8,228.0,SW,7.01,5.44,7.73,night
413866,2015-04-22,2015,MIA,2015-04-22 19:05:00,19,1,6,7,1,15,5,15,304,86.6,2,53,0.0377,0.0667,1.0,7.0,0.0,5.0,126.0,88.7,25.0,0.2,0.0,8.0,4.0,10.0,178.0,85.2,39.0,0.0,55.2,12.9,59.0,1004.8,0.0,16.0,10.0,263.7,W,7.73,2.46,12.07,night
413880,2015-04-23,2015,MIA,2015-04-23 13:05:00,13,1,9,10,1,17,7,20,312,85.0,2,55,0.0364,0.05,0.0,7.0,2.0,8.0,124.0,84.2,33.0,0.0,1.0,10.0,5.0,12.0,188.0,85.9,31.0,0.0833,50.7,10.4,37.3,1008.4,0.1,25.9,16.1,283.0,W,4.27,-4.71,12.74,day
413885,2015-04-24,2015,ATL,2015-04-24 19:05:00,19,1,0,1,0,8,4,10,259,84.7,1,53,0.0189,0.0,0.0,2.0,2.0,8.0,142.0,82.0,41.0,0.0,0.0,6.0,2.0,2.0,117.0,90.1,20.0,0.0,49.3,9.6,33.3,1011.8,0.0,8.8,5.5,300.5,NW,-1.23,-4.14,1.82,night
413900,2015-04-25,2015,ATL,2015-04-25 19:05:00,19,2,5,7,2,9,6,15,240,86.8,2,57,0.0351,0.1333,1.0,4.0,2.0,6.0,106.0,84.8,29.0,0.1667,1.0,5.0,4.0,9.0,134.0,88.5,33.0,0.1111,50.2,10.1,51.0,1006.4,0.0,9.6,5.9,222.3,SW,9.0,7.35,9.57,night
413915,2015-04-26,2015,ATL,2015-04-26 13:35:00,13,5,4,9,2,7,8,16,263,88.9,3,59,0.0508,0.125,1.0,3.0,3.0,6.0,121.0,90.2,32.0,0.1667,1.0,4.0,4.0,10.0,142.0,87.6,35.0,0.1,58.2,14.5,38.0,1005.1,0.0,6.3,3.9,2.3,N,-5.95,-6.33,-4.84,day
414089,2015-05-08,2015,NYM,2015-05-08 19:05:00,19,3,1,4,1,16,4,12,251,89.7,2,46,0.0435,0.0833,1.0,5.0,2.0,7.0,114.0,87.3,29.0,0.1429,0.0,11.0,1.0,5.0,137.0,92.0,30.0,0.0,71.1,21.7,57.7,1019.7,0.0,12.0,7.5,179.0,S,11.0,11.98,8.7,night
414104,2015-05-09,2015,NYM,2015-05-09 19:05:00,19,2,3,5,1,11,6,16,264,86.8,2,59,0.0339,0.0625,0.0,7.0,3.0,7.0,120.0,85.5,30.0,0.0,1.0,4.0,3.0,9.0,144.0,87.9,35.0,0.1111,71.7,22.1,75.0,1022.4,0.0,8.6,5.3,104.7,E,-1.17,1.81,-4.02,night
414119,2015-05-10,2015,NYM,2015-05-10 13:35:00,13,4,7,11,2,12,2,23,263,87.1,1,64,0.0156,0.087,1.0,7.0,1.0,9.0,130.0,86.2,33.0,0.1111,1.0,5.0,1.0,14.0,133.0,87.9,38.0,0.0714,79.4,26.3,60.7,1021.9,0.0,11.1,6.9,222.0,SW,10.46,8.56,11.1,day
