game_pk,game_date,season,away_team,game_start,start_hour,home_runs_scored,away_runs_scored,total_runs,home_runs_hit,strikeouts,walks,hits,total_pitches,avg_exit_velocity,n_barrels,n_bbe,barrel_rate,hr_h_ratio,home_bat_hr,home_bat_k,home_bat_bb,home_bat_h,home_bat_pitches,home_bat_exit_velo,home_bat_bbe,home_bat_hr_h_ratio,away_bat_hr,away_bat_k,away_bat_bb,away_bat_h,away_bat_pitches,away_bat_exit_velo,away_bat_bbe,away_bat_hr_h_ratio,temp_f,temp_c,rhum,pres,prcp,wspd,wspd_mph,wdir,wind_dir_bucket,wind_cf,wind_lcf,wind_rcf
413745,2015-04-13,2015,DET,2015-04-13 13:35:00,13,5,4,9,4,21,2,16,242,88.0,5,44,0.1136,0.25,3.0,10.0,0.0,9.0,117.0,88.7,26.0,0.3333,1.0,11.0,2.0,7.0,125.0,87.2,26.0,0.1429,75.4,24.1,45.3,991.6,0.0,18.7,11.6,215.0,SW,4.05,10.07,-2.45
413760,2015-04-14,2015,DET,2015-04-14 19:05:00,19,0,2,2,0,13,4,12,247,87.8,2,51,0.0392,0.0,0.0,3.0,0.0,3.0,91.0,89.0,28.0,0.0,0.0,10.0,4.0,9.0,156.0,86.6,30.0,0.0,55.5,13.1,62.0,993.3,0.0,8.7,5.4,0.4,N,3.26,0.32,5.81
413773,2015-04-15,2015,DET,2015-04-15 19:05:00,19,0,1,1,1,13,2,7,254,87.0,1,45,0.0222,0.1429,0.0,3.0,0.0,2.0,118.0,86.8,28.0,0.0,1.0,10.0,2.0,5.0,136.0,87.3,27.0,0.2,55.6,13.1,58.3,997.3,0.0,8.7,5.4,76.0,E,-6.97,-8.31,-4.78
413798,2015-04-17,2015,MIL,2015-04-17 19:05:00,19,6,3,9,1,16,6,19,269,86.9,2,51,0.0392,0.0526,1.0,7.0,1.0,11.0,134.0,85.5,29.0,0.0909,0.0,9.0,2.0,8.0,135.0,88.0,37.0,0.0,63.1,17.3,75.3,989.0,0.0,6.2,3.9,337.3,NW,4.42,2.65,5.66
413813,2015-04-18,2015,MIL,2015-04-18 19:05:00,19,6,2,8,1,14,4,12,256,86.6,1,48,0.0208,0.0833,1.0,6.0,4.0,7.0,139.0,85.1,31.0,0.1429,0.0,8.0,0.0,5.0,117.0,88.1,30.0,0.0,64.8,18.2,60.3,989.5,0.0,12.7,7.9,359.3,N,4.98,0.7,8.67
413828,2015-04-19,2015,MIL,2015-04-19 13:35:00,13,5,2,7,1,13,5,12,263,85.7,2,49,0.0408,0.0833,1.0,4.0,4.0,7.0,130.0,85.3,30.0,0.1429,0.0,9.0,1.0,5.0,133.0,86.1,29.0,0.0,67.7,19.8,46.0,986.9,0.0,20.8,12.9,125.0,SE,-20.31,-17.54,-20.62
413835,2015-04-20,2015,CHC,2015-04-20 19:05:00,19,2,5,7,1,13,3,19,267,87.4,3,57,0.0526,0.0526,1.0,10.0,0.0,5.0,126.0,86.2,26.0,0.2,0.0,3.0,3.0,14.0,141.0,88.3,35.0,0.0,61.0,16.1,71.0,973.8,0.4,13.9,8.7,262.7,W,12.09,13.73,8.99
413846,2015-04-21,2015,CHC,2015-04-21 19:05:00,19,8,9,17,4,22,8,21,327,90.5,6,53,0.1132,0.1905,2.0,8.0,3.0,9.0,159.0,89.5,33.0,0.2222,2.0,14.0,3.0,12.0,168.0,91.8,27.0,0.1667,53.0,11.7,38.0,979.5,0.0,14.8,9.2,222.7,SW,5.11,9.57,0.04
413861,2015-04-22,2015,CHC,2015-04-22 19:05:00,19,4,3,7,1,17,3,17,299,86.7,1,53,0.0189,0.0588,1.0,9.0,0.0,7.0,131.0,84.8,30.0,0.1429,0.0,8.0,3.0,10.0,168.0,88.3,36.0,0.0,43.9,6.6,56.7,982.3,0.0,18.0,11.2,284.0,W,17.77,17.61,15.79
413876,2015-04-23,2015,CHC,2015-04-23 12:35:00,12,5,4,9,1,19,5,18,310,85.5,1,47,0.0213,0.0556,1.0,7.0,1.0,10.0,169.0,87.0,38.0,0.1,0.0,12.0,3.0,8.0,141.0,83.4,28.0,0.0,45.8,7.7,48.3,984.5,0.4,25.8,16.0,286.3,W,25.65,25.05,23.16
