game_pk,game_date,season,away_team,game_start,start_hour,home_runs_scored,away_runs_scored,total_runs,home_runs_hit,strikeouts,walks,hits,total_pitches,avg_exit_velocity,n_barrels,n_bbe,barrel_rate,hr_h_ratio,home_bat_hr,home_bat_k,home_bat_bb,home_bat_h,home_bat_pitches,home_bat_exit_velo,home_bat_bbe,home_bat_hr_h_ratio,away_bat_hr,away_bat_k,away_bat_bb,away_bat_h,away_bat_pitches,away_bat_exit_velo,away_bat_bbe,away_bat_hr_h_ratio,temp_f,temp_c,rhum,pres,prcp,wspd,wspd_mph,wdir,wind_dir_bucket,wind_cf,wind_lcf,wind_rcf
413699,2015-04-10,2015,HOU,2015-04-10 15:05:00,15,1,5,6,2,15,4,16,244,83.9,3,52,0.0577,0.125,0.0,8.0,2.0,6.0,119.0,83.4,31.0,0.0,2.0,7.0,2.0,10.0,125.0,84.6,30.0,0.2,68.2,20.1,47.3,999.7,0.0,8.7,5.4,52.1,NE,-8.39,-8.67,-7.09
413714,2015-04-11,2015,HOU,2015-04-11 19:05:00,19,6,2,8,1,13,8,20,289,87.6,2,59,0.0339,0.05,0.0,4.0,3.0,9.0,144.0,85.8,33.0,0.0,1.0,9.0,4.0,11.0,145.0,89.3,32.0,0.0909,71.2,21.8,62.7,994.4,0.0,10.0,6.2,105.0,E,-7.93,-5.37,-9.54
413729,2015-04-12,2015,HOU,2015-04-12 14:05:00,14,4,6,10,3,18,10,20,422,89.0,6,82,0.0732,0.15,0.0,9.0,7.0,9.0,225.0,88.4,53.0,0.0,3.0,9.0,2.0,11.0,197.0,89.7,47.0,0.2727,76.4,24.7,66.7,991.2,0.8,13.1,8.2,172.7,S,3.44,7.56,-1.11
413741,2015-04-13,2015,LAA,2015-04-13 19:05:00,19,3,6,9,2,16,6,19,289,89.9,4,56,0.0714,0.1053,0.0,11.0,1.0,7.0,146.0,89.7,25.0,0.0,2.0,5.0,5.0,12.0,143.0,90.0,32.0,0.1667,64.8,18.2,79.7,994.3,0.0,17.7,11.0,20.7,N,-12.11,-15.79,-6.96
413755,2015-04-14,2015,LAA,2015-04-14 19:05:00,19,8,2,10,2,8,8,18,293,86.2,3,58,0.0517,0.1111,2.0,6.0,5.0,11.0,166.0,88.8,32.0,0.1818,0.0,2.0,3.0,7.0,127.0,84.2,40.0,0.0,60.0,15.5,71.7,995.5,0.0,7.2,4.5,287.0,W,5.55,3.65,6.79
413768,2015-04-15,2015,LAA,2015-04-15 13:05:00,13,2,10,12,2,13,8,19,337,86.4,2,60,0.0333,0.1053,2.0,7.0,3.0,6.0,143.0,88.6,31.0,0.3333,0.0,6.0,4.0,13.0,194.0,84.9,43.0,0.0,70.6,21.4,55.3,994.7,0.0,3.6,2.2,193.3,S,2.1,2.98,0.98
413939,2015-04-27,2015,SEA,2015-04-27 19:05:00,19,1,3,4,0,13,5,13,270,87.2,0,51,0.0,0.0,0.0,7.0,2.0,8.0,130.0,87.7,29.0,0.0,0.0,6.0,3.0,5.0,140.0,86.8,28.0,0.0,63.9,17.7,83.0,988.5,0.8,23.4,14.6,4.3,N,-10.57,-17.09,-2.78
413954,2015-04-28,2015,SEA,2015-04-28 19:05:00,19,1,2,3,1,17,3,14,260,89.1,2,49,0.0408,0.0714,0.0,11.0,1.0,7.0,119.0,89.9,29.0,0.0,1.0,6.0,2.0,7.0,141.0,88.3,34.0,0.1429,56.7,13.7,63.0,997.4,0.0,11.7,7.2,356.3,N,-3.76,-7.31,0.24
413969,2015-04-29,2015,SEA,2015-04-29 19:05:00,19,2,5,7,1,11,7,14,312,88.4,3,57,0.0526,0.0714,0.0,6.0,1.0,5.0,143.0,85.9,30.0,0.0,1.0,5.0,5.0,9.0,169.0,90.4,36.0,0.1111,68.8,20.5,56.0,993.8,0.0,4.8,3.0,293.6,NW,3.33,1.95,4.31
413990,2015-05-01,2015,ATH,2015-05-01 19:05:00,19,5,7,12,3,17,6,17,313,86.3,4,53,0.0755,0.1765,2.0,8.0,2.0,9.0,140.0,86.7,30.0,0.2222,1.0,9.0,4.0,8.0,173.0,85.9,31.0,0.125,72.9,22.7,51.7,995.9,0.0,7.8,4.8,137.7,SE,-2.65,0.02,-5.0
