game_pk,game_date,season,away_team,game_start,start_hour,home_runs_scored,away_runs_scored,total_runs,home_runs_hit,strikeouts,walks,hits,total_pitches,avg_exit_velocity,n_barrels,n_bbe,barrel_rate,hr_h_ratio,temp_f,temp_c,rhum,pres,prcp,wspd,wspd_mph,wdir,wind_dir_bucket,wind_cf,wind_lcf,wind_rcf
413651,2015-04-06,2015,BAL,2015-04-06 15:10:00,15,2,6,8,4,19,5,16,295,87.1,3,47,0.0638,0.25,78.7,26.0,66.7,1017.1,0.0,6.2,3.9,329.2,NW,-1.52,-3.48,0.63
413666,2015-04-07,2015,BAL,2015-04-07 19:10:00,19,5,6,11,3,16,10,11,327,89.3,4,46,0.087,0.2727,75.4,24.1,80.0,1019.0,0.0,12.7,7.9,324.3,NW,-2.07,-6.24,2.35
413673,2015-04-08,2015,BAL,2015-04-08 19:10:00,19,2,0,2,0,20,9,8,293,86.5,0,34,0.0,0.0,76.2,24.5,80.3,1016.8,0.0,10.4,6.5,332.0,NW,-3.05,-6.28,0.55
413799,2015-04-17,2015,NYY,2015-04-17 19:10:00,19,4,5,9,5,18,9,13,349,85.0,6,47,0.1277,0.3846,76.3,24.6,83.7,1013.5,0.0,5.8,3.6,256.6,W,4.94,3.6,5.68
413814,2015-04-18,2015,NYY,2015-04-18 19:10:00,19,0,9,9,1,21,7,13,303,86.4,1,45,0.0222,0.0769,76.9,25.0,85.0,1012.6,0.0,8.0,5.0,285.0,W,3.98,1.38,6.1
413829,2015-04-19,2015,NYY,2015-04-19 13:10:00,13,3,5,8,1,17,8,20,331,86.6,1,54,0.0185,0.05,82.2,27.9,67.7,1010.9,0.0,22.4,13.9,214.3,SW,22.05,22.14,19.3
413845,2015-04-21,2015,BOS,2015-04-21 19:10:00,19,0,1,1,0,16,6,12,268,83.5,1,47,0.0213,0.0,75.2,24.0,72.3,1012.8,0.0,9.7,6.0,295.3,NW,3.26,-0.06,6.19
413860,2015-04-22,2015,BOS,2015-04-22 19:10:00,19,7,5,12,4,18,7,20,300,87.7,3,50,0.06,0.2,76.3,24.6,72.7,1012.6,0.0,9.5,5.9,307.9,NW,1.17,-2.13,4.32
413875,2015-04-23,2015,BOS,2015-04-23 19:10:00,19,2,1,3,0,15,7,9,271,88.8,1,47,0.0213,0.0,76.7,24.8,84.0,1012.1,0.0,6.7,4.2,249.0,W,6.12,4.82,6.68
413898,2015-04-24,2015,TOR,2015-04-24 19:10:00,19,12,3,15,5,14,3,19,283,89.2,5,57,0.0877,0.2632,77.5,25.3,75.0,1012.2,0.0,6.1,3.8,319.6,NW,-0.49,-2.56,1.63
413913,2015-04-25,2015,TOR,2015-04-25 18:10:00,18,4,2,6,1,19,4,15,267,88.4,1,45,0.0222,0.0667,79.8,26.5,78.0,1008.3,0.0,10.2,6.4,237.0,SW,10.01,8.68,10.13
413928,2015-04-26,2015,TOR,2015-04-26 13:10:00,13,5,1,6,1,15,4,18,247,87.6,3,53,0.0566,0.0556,82.6,28.1,76.7,1007.1,1.0,24.2,15.0,267.3,W,17.86,11.22,22.35
414078,2015-05-07,2015,TEX,2015-05-07 19:10:00,19,4,5,9,1,23,6,14,309,86.9,0,45,0.0,0.0714,75.9,24.4,58.7,1014.4,0.0,10.7,6.6,310.3,NW,0.87,-2.82,4.45
414093,2015-05-08,2015,TEX,2015-05-08 19:10:00,19,8,2,10,3,18,5,15,304,86.8,5,49,0.102,0.2,76.7,24.8,62.7,1014.5,0.0,10.5,6.5,294.0,NW,3.77,0.18,6.91
414108,2015-05-09,2015,TEX,2015-05-09 18:10:00,18,7,2,9,4,12,7,18,319,89.2,7,56,0.125,0.2222,78.6,25.9,63.0,1015.1,0.0,12.0,7.4,287.0,W,5.62,1.67,8.89
414123,2015-05-10,2015,TEX,2015-05-10 13:10:00,13,1,2,3,1,19,6,13,295,86.6,2,46,0.0435,0.0769,83.7,28.7,53.0,1016.5,0.0,13.2,8.2,270.7,W,9.25,5.45,11.93
414129,2015-05-11,2015,NYY,2015-05-11 19:10:00,19,5,11,16,7,20,3,21,279,92.2,5,52,0.0962,0.3333,79.7,26.5,75.3,1017.5,1.4,4.7,2.9,358.4,N,-3.23,-4.2,-1.87
414141,2015-05-12,2015,NYY,2015-05-12 19:10:00,19,4,2,6,0,16,5,14,244,86.7,0,46,0.0,0.0,80.5,27.0,74.0,1018.4,0.0,2.9,1.8,100.2,E,-1.67,-0.75,-2.4
414156,2015-05-13,2015,NYY,2015-05-13 19:10:00,19,3,2,5,1,22,3,17,269,87.8,2,44,0.0455,0.0588,81.8,27.7,70.0,1016.9,0.0,9.3,5.8,349.0,N,-5.21,-7.55,-2.25
414168,2015-05-14,2015,NYY,2015-05-14 19:10:00,19,6,1,7,2,14,6,15,271,90.5,3,49,0.0612,0.1333,81.7,27.6,70.0,1017.7,0.0,13.8,8.6,92.0,E,-9.41,-5.39,-12.3
414264,2015-05-21,2015,ATH,2015-05-21 19:10:00,19,3,0,3,1,17,3,13,293,84.4,1,47,0.0213,0.0769,80.5,27.0,77.7,1013.2,0.0,12.9,8.0,296.0,NW,4.21,-0.23,8.14
414277,2015-05-22,2015,ATH,2015-05-22 19:10:00,19,5,2,7,4,17,7,21,302,84.7,6,54,0.1111,0.1905,82.3,28.0,67.0,1018.1,0.0,3.4,2.1,225.9,SW,3.37,3.15,3.18
414292,2015-05-23,2015,ATH,2015-05-23 16:10:00,16,0,5,5,0,15,10,16,313,84.9,1,52,0.0192,0.0,83.7,28.7,65.7,1018.9,1.2,8.6,5.3,83.3,E,-6.72,-4.5,-8.13
414307,2015-05-24,2015,ATH,2015-05-24 13:10:00,13,2,7,9,3,15,7,18,297,87.1,1,55,0.0182,0.1667,87.1,30.6,51.7,1018.6,0.0,10.5,6.5,104.3,E,-5.37,-1.95,-8.15
