game_pk,game_date,season,away_team,game_start,start_hour,home_runs_scored,away_runs_scored,total_runs,home_runs_hit,strikeouts,walks,hits,total_pitches,avg_exit_velocity,n_barrels,n_bbe,barrel_rate,hr_h_ratio,home_bat_hr,home_bat_k,home_bat_bb,home_bat_h,home_bat_pitches,home_bat_exit_velo,home_bat_bbe,home_bat_hr_h_ratio,away_bat_hr,away_bat_k,away_bat_bb,away_bat_h,away_bat_pitches,away_bat_exit_velo,away_bat_bbe,away_bat_hr_h_ratio,temp_f,temp_c,rhum,pres,prcp,wspd,wspd_mph,wdir,wind_dir_bucket,wind_cf,wind_lcf,wind_rcf,day_night
413651,2015-04-06,2015,BAL,2015-04-06 15:10:00,15,2,6,8,4,19,5,16,295,87.1,3,47,0.0638,0.25,1.0,8.0,3.0,8.0,141.0,86.4,30.0,0.125,3.0,11.0,2.0,8.0,154.0,87.8,29.0,0.375,78.8,26.0,67.3,1017.5,0.0,3.8,2.4,3.6,N,-2.87,-3.57,-1.83,day
413666,2015-04-07,2015,BAL,2015-04-07 19:10:00,19,5,6,11,3,16,10,11,327,89.3,4,46,0.087,0.2727,2.0,11.0,4.0,5.0,176.0,89.5,28.0,0.4,1.0,5.0,6.0,6.0,151.0,89.1,28.0,0.1667,76.2,24.6,76.7,1018.5,0.0,13.6,8.4,312.7,NW,0.56,-4.11,5.16,night
413673,2015-04-08,2015,BAL,2015-04-08 19:10:00,19,2,0,2,0,20,9,8,293,86.5,0,34,0.0,0.0,0.0,7.0,8.0,5.0,151.0,86.0,29.0,0.0,0.0,13.0,1.0,3.0,142.0,87.1,22.0,0.0,77.2,25.1,76.7,1016.4,0.0,12.7,7.9,322.3,NW,-1.62,-5.83,2.79,night
413799,2015-04-17,2015,NYY,2015-04-17 19:10:00,19,4,5,9,5,18,9,13,349,85.0,6,47,0.1277,0.3846,2.0,9.0,3.0,8.0,165.0,82.9,31.0,0.25,3.0,9.0,6.0,5.0,184.0,87.3,30.0,0.6,77.1,25.1,80.3,1013.2,0.0,7.1,4.4,251.0,W,6.38,4.93,7.06,night
413814,2015-04-18,2015,NYY,2015-04-18 19:10:00,19,0,9,9,1,21,7,13,303,86.4,1,45,0.0222,0.0769,0.0,10.0,2.0,3.0,129.0,82.9,26.0,0.0,1.0,11.0,5.0,10.0,174.0,89.8,26.0,0.1,77.6,25.3,83.0,1012.1,0.0,10.1,6.3,281.3,W,5.58,2.38,8.11,night
413829,2015-04-19,2015,NYY,2015-04-19 13:10:00,13,3,5,8,1,17,8,20,331,86.6,1,54,0.0185,0.05,1.0,11.0,2.0,9.0,153.0,88.3,28.0,0.1111,0.0,6.0,6.0,11.0,178.0,85.4,38.0,0.0,82.6,28.1,68.3,1011.1,0.0,22.5,14.0,205.0,SW,21.14,22.5,17.24,day
413845,2015-04-21,2015,BOS,2015-04-21 19:10:00,19,0,1,1,0,16,6,12,268,83.5,1,47,0.0213,0.0,0.0,5.0,4.0,4.0,117.0,82.7,29.0,0.0,0.0,11.0,2.0,8.0,151.0,84.2,32.0,0.0,76.0,24.5,70.3,1012.1,0.0,10.4,6.5,293.0,NW,3.9,0.36,6.96,night
413860,2015-04-22,2015,BOS,2015-04-22 19:10:00,19,7,5,12,4,18,7,20,300,87.7,3,50,0.06,0.2,2.0,10.0,3.0,12.0,134.0,83.5,28.0,0.1667,2.0,8.0,4.0,8.0,166.0,91.1,35.0,0.25,77.2,25.1,69.7,1012.3,0.0,10.3,6.4,294.0,NW,3.69,0.18,6.76,night
413875,2015-04-23,2015,BOS,2015-04-23 19:10:00,19,2,1,3,0,15,7,9,271,88.8,1,47,0.0213,0.0,0.0,10.0,4.0,6.0,146.0,91.0,25.0,0.0,0.0,5.0,3.0,3.0,125.0,87.0,29.0,0.0,77.5,25.3,81.3,1011.8,0.0,8.0,5.0,262.0,W,6.39,4.36,7.65,night
413898,2015-04-24,2015,TOR,2015-04-24 19:10:00,19,12,3,15,5,14,3,19,283,89.2,5,57,0.0877,0.2632,3.0,6.0,2.0,13.0,154.0,87.8,39.0,0.2308,2.0,8.0,1.0,6.0,129.0,91.1,27.0,0.3333,78.7,25.9,70.7,1012.0,0.0,6.5,4.1,308.0,NW,0.8,-1.47,2.97,night
413913,2015-04-25,2015,TOR,2015-04-25 18:10:00,18,4,2,6,1,19,4,15,267,88.4,1,45,0.0222,0.0667,0.0,9.0,3.0,9.0,135.0,87.4,30.0,0.0,1.0,10.0,1.0,6.0,132.0,89.5,27.0,0.1667,80.7,27.0,74.3,1008.3,0.0,11.9,7.4,247.4,SW,11.0,8.79,11.89,night
413928,2015-04-26,2015,TOR,2015-04-26 13:10:00,13,5,1,6,1,15,4,18,247,87.6,3,53,0.0566,0.0556,1.0,6.0,3.0,13.0,121.0,86.0,35.0,0.0769,0.0,9.0,1.0,5.0,126.0,89.4,30.0,0.0,82.5,28.1,77.3,1007.5,1.3,24.7,15.3,266.3,W,18.55,11.85,23.01,day
414078,2015-05-07,2015,TEX,2015-05-07 19:10:00,19,4,5,9,1,23,6,14,309,86.9,0,45,0.0,0.0714,1.0,9.0,1.0,7.0,135.0,85.0,28.0,0.1429,0.0,14.0,5.0,7.0,174.0,89.3,23.0,0.0,76.9,24.9,56.0,1014.0,0.0,12.5,7.8,308.3,NW,1.45,-2.88,5.61,night
414093,2015-05-08,2015,TEX,2015-05-08 19:10:00,19,8,2,10,3,18,5,15,304,86.8,5,49,0.102,0.2,2.0,6.0,2.0,9.0,147.0,85.4,31.0,0.2222,1.0,12.0,3.0,6.0,157.0,88.6,24.0,0.1667,77.6,25.3,59.3,1014.1,0.0,12.5,7.8,295.7,NW,4.14,-0.15,7.92,night
414108,2015-05-09,2015,TEX,2015-05-09 18:10:00,18,7,2,9,4,12,7,18,319,89.2,7,56,0.125,0.2222,3.0,4.0,4.0,10.0,165.0,90.3,31.0,0.3,1.0,8.0,3.0,8.0,154.0,88.2,31.0,0.125,79.5,26.4,59.7,1014.9,0.0,14.2,8.8,288.7,W,6.31,1.57,10.3,night
414123,2015-05-10,2015,TEX,2015-05-10 13:10:00,13,1,2,3,1,19,6,13,295,86.6,2,46,0.0435,0.0769,0.0,10.0,2.0,5.0,149.0,87.3,26.0,0.0,1.0,9.0,4.0,8.0,146.0,86.0,27.0,0.125,83.8,28.8,53.0,1017.1,0.0,12.1,7.5,265.0,W,9.27,6.05,11.37,day
414129,2015-05-11,2015,NYY,2015-05-11 19:10:00,19,5,11,16,7,20,3,21,279,92.2,5,52,0.0962,0.3333,2.0,11.0,2.0,7.0,142.0,91.8,22.0,0.2857,5.0,9.0,1.0,14.0,137.0,92.5,36.0,0.3571,80.3,26.8,73.7,1016.6,1.4,9.4,5.8,333.1,NW,-2.91,-5.78,0.31,night
414141,2015-05-12,2015,NYY,2015-05-12 19:10:00,19,4,2,6,0,16,5,14,244,86.7,0,46,0.0,0.0,0.0,7.0,2.0,6.0,112.0,87.7,24.0,0.0,0.0,9.0,2.0,8.0,132.0,85.9,28.0,0.0,81.5,27.5,72.0,1017.9,0.0,3.2,2.0,88.9,E,-2.28,-1.39,-2.9,night
