game_pk,game_date,season,away_team,game_start,start_hour,home_runs_scored,away_runs_scored,total_runs,home_runs_hit,strikeouts,walks,hits,total_pitches,avg_exit_velocity,n_barrels,n_bbe,barrel_rate,hr_h_ratio,home_bat_hr,home_bat_k,home_bat_bb,home_bat_h,home_bat_pitches,home_bat_exit_velo,home_bat_bbe,home_bat_hr_h_ratio,away_bat_hr,away_bat_k,away_bat_bb,away_bat_h,away_bat_pitches,away_bat_exit_velo,away_bat_bbe,away_bat_hr_h_ratio,temp_f,temp_c,rhum,pres,prcp,wspd,wspd_mph,wdir,wind_dir_bucket,wind_cf,wind_lcf,wind_rcf
413658,2015-04-06,2015,PIT,2015-04-06 16:10:00,16,5,2,7,3,21,4,12,243,87.6,4,42,0.0952,0.25,2.0,8.0,3.0,5.0,111.0,83.9,23.0,0.4,1.0,13.0,1.0,7.0,132.0,91.4,22.0,0.1429,69.1,20.6,52.3,998.5,0.0,12.8,8.0,205.6,SW,0.7,5.03,-3.71
413680,2015-04-08,2015,PIT,2015-04-08 19:10:00,19,5,4,9,1,23,10,19,388,82.9,3,61,0.0492,0.0526,1.0,14.0,3.0,11.0,199.0,84.1,41.0,0.0909,0.0,9.0,5.0,8.0,189.0,81.7,36.0,0.0,63.7,17.6,95.0,995.9,3.0,3.8,2.4,165.4,S,-2.31,-1.13,-3.22
413691,2015-04-09,2015,PIT,2015-04-09 12:35:00,12,3,2,5,2,20,4,12,244,86.6,1,43,0.0233,0.1667,1.0,9.0,1.0,6.0,131.0,85.7,25.0,0.1667,1.0,11.0,2.0,6.0,113.0,87.6,19.0,0.1667,71.4,21.9,85.3,994.1,1.7,15.3,9.5,207.3,SW,1.29,6.41,-3.99
413707,2015-04-10,2015,STL,2015-04-10 19:10:00,19,5,4,9,3,15,7,14,259,88.6,4,48,0.0833,0.2143,2.0,3.0,3.0,4.0,98.0,88.5,27.0,0.5,1.0,12.0,2.0,10.0,161.0,88.6,27.0,0.1,58.9,15.0,46.0,997.4,0.0,11.3,7.0,235.0,SW,6.05,8.94,2.44
413722,2015-04-11,2015,STL,2015-04-11 13:10:00,13,1,4,5,2,11,2,14,232,89.3,4,56,0.0714,0.1429,1.0,6.0,1.0,6.0,114.0,86.1,31.0,0.1667,1.0,5.0,1.0,8.0,118.0,92.4,32.0,0.125,58.2,14.5,38.3,1006.3,0.0,4.0,2.5,30.2,NE,-0.54,-1.86,0.85
413737,2015-04-12,2015,STL,2015-04-12 13:10:00,13,5,7,12,4,25,14,21,389,86.7,4,60,0.0667,0.1905,2.0,17.0,8.0,11.0,206.0,86.3,26.0,0.1818,2.0,8.0,6.0,10.0,183.0,87.0,36.0,0.2,68.6,20.3,34.7,1002.7,0.0,6.4,4.0,143.6,SE,-5.51,-4.04,-6.31
413887,2015-04-24,2015,CHC,2015-04-24 19:10:00,19,3,7,10,2,30,7,17,394,87.1,1,52,0.0192,0.1176,0.0,16.0,3.0,8.0,200.0,86.6,31.0,0.0,2.0,14.0,2.0,9.0,194.0,87.6,30.0,0.2222,57.3,14.1,49.3,995.7,0.0,6.3,3.9,127.6,SE,-6.12,-5.18,-6.31
413917,2015-04-26,2015,CHC,2015-04-26 13:10:00,13,2,5,7,2,19,6,12,295,83.8,3,47,0.0638,0.1667,1.0,9.0,3.0,6.0,153.0,82.0,33.0,0.1667,1.0,10.0,2.0,6.0,142.0,85.9,28.0,0.1667,58.0,14.4,42.7,992.1,0.0,13.6,8.5,8.3,N,3.33,-1.38,7.64
413935,2015-04-27,2015,MIL,2015-04-27 19:10:00,19,9,6,15,1,11,12,20,323,86.4,0,56,0.0,0.05,1.0,5.0,8.0,9.0,176.0,84.2,36.0,0.1111,0.0,6.0,3.0,11.0,147.0,88.6,36.0,0.0,53.5,11.9,54.3,997.4,0.0,13.2,8.2,4.7,N,4.04,-0.5,8.1
413950,2015-04-28,2015,MIL,2015-04-28 19:10:00,19,4,2,6,5,14,3,10,234,86.7,5,46,0.1087,0.5,3.0,6.0,3.0,7.0,136.0,85.8,29.0,0.4286,2.0,8.0,0.0,3.0,98.0,87.8,23.0,0.6667,60.0,15.5,53.3,995.6,0.0,4.2,2.6,42.6,NE,-1.43,-2.68,-0.01
413965,2015-04-29,2015,MIL,2015-04-29 12:35:00,12,3,8,11,7,17,5,19,313,88.2,7,55,0.1273,0.3684,3.0,6.0,2.0,7.0,129.0,88.0,26.0,0.4286,4.0,11.0,3.0,12.0,184.0,88.3,29.0,0.3333,62.9,17.2,45.7,992.3,0.0,7.0,4.4,2.7,N,2.39,-0.02,4.51
414124,2015-05-11,2015,ATL,2015-05-11 19:10:00,19,1,2,3,1,16,4,15,277,80.7,0,53,0.0,0.0667,0.0,9.0,2.0,4.0,122.0,78.7,16.0,0.0,1.0,7.0,2.0,11.0,155.0,82.8,16.0,0.0909,72.3,22.4,80.0,994.9,3.4,11.9,7.4,238.4,SW,6.97,9.85,3.25
414134,2015-05-12,2015,ATL,2015-05-12 19:10:00,19,4,3,7,1,15,10,17,290,86.3,0,53,0.0,0.0588,1.0,9.0,4.0,8.0,126.0,87.5,25.0,0.125,0.0,6.0,5.0,9.0,164.0,85.5,35.0,0.0,63.1,17.3,48.0,1003.2,0.0,14.5,9.0,301.0,NW,14.37,12.77,14.24
414149,2015-05-13,2015,ATL,2015-05-13 19:10:00,19,5,1,6,2,12,7,9,240,86.6,1,46,0.0217,0.2222,2.0,6.0,4.0,7.0,126.0,91.3,26.0,0.2857,0.0,6.0,3.0,2.0,114.0,81.9,26.0,0.0,62.6,17.0,51.0,1007.8,0.0,6.4,4.0,31.0,NE,-0.95,-3.05,1.28
414171,2015-05-14,2015,SF,2015-05-14 19:10:00,19,4,3,7,1,19,10,14,283,83.3,1,41,0.0244,0.0714,1.0,8.0,6.0,7.0,143.0,87.0,23.0,0.1429,0.0,11.0,4.0,7.0,140.0,79.7,23.0,0.0,67.6,19.8,57.3,1003.4,0.0,6.8,4.2,114.2,SE,-6.76,-6.29,-6.42
414186,2015-05-15,2015,SF,2015-05-15 19:10:00,19,2,10,12,4,10,4,23,283,87.5,1,66,0.0152,0.1739,2.0,5.0,0.0,10.0,129.0,84.1,33.0,0.2,2.0,5.0,4.0,13.0,154.0,90.4,40.0,0.1538,77.4,25.2,59.3,998.8,0.0,7.5,4.7,187.9,S,-1.89,0.71,-4.26
414201,2015-05-16,2015,SF,2015-05-16 19:10:00,19,2,11,13,4,13,6,23,286,86.1,3,63,0.0476,0.1739,1.0,5.0,5.0,7.0,138.0,83.9,34.0,0.1429,3.0,8.0,1.0,16.0,148.0,88.1,39.0,0.1875,68.4,20.2,96.7,1000.9,0.3,10.1,6.3,164.4,S,-6.22,-3.13,-8.55
414216,2015-05-17,2015,SF,2015-05-17 13:10:00,13,8,9,17,4,15,7,28,324,86.8,6,67,0.0896,0.1429,2.0,6.0,3.0,12.0,147.0,85.3,40.0,0.1667,2.0,9.0,4.0,16.0,177.0,88.1,43.0,0.125,79.0,26.1,68.0,1001.9,0.0,13.9,8.6,208.3,SW,1.41,6.06,-3.4
414318,2015-05-25,2015,COL,2015-05-25 13:10:00,13,4,5,9,3,12,6,22,280,89.4,3,63,0.0476,0.1364,2.0,2.0,3.0,11.0,129.0,88.2,43.0,0.1818,1.0,10.0,2.0,11.0,151.0,91.1,30.0,0.0909,76.0,24.4,64.7,1002.8,0.4,17.1,10.6,206.3,SW,1.15,6.92,-4.77
