game_pk,game_date,season,away_team,game_start,start_hour,home_runs_scored,away_runs_scored,total_runs,home_runs_hit,strikeouts,walks,hits,total_pitches,avg_exit_velocity,n_barrels,n_bbe,barrel_rate,hr_h_ratio,temp_f,temp_c,rhum,pres,prcp,wspd,wspd_mph,wdir,wind_dir_bucket,wind_cf,wind_lcf,wind_rcf
446923,2016-04-08,2016,SD,2016-04-08 14:10:00,14,6,13,19,4,15,11,27,367,85.2,5,64,0.0781,0.1481,61.9,16.6,27.3,845.8,0.0,5.7,3.5,85.7,E,-0.43,1.53,-2.34
446938,2016-04-09,2016,SD,2016-04-09 18:10:00,18,3,16,19,4,19,9,27,322,86.5,5,61,0.082,0.1481,54.9,12.7,56.3,832.5,0.0,8.6,5.4,219.7,SW,6.64,4.36,8.13
446953,2016-04-10,2016,SD,2016-04-10 14:10:00,14,6,3,9,5,10,5,17,254,84.1,4,56,0.0714,0.2941,62.6,17.0,34.3,836.1,1.0,6.9,4.3,70.2,E,-2.33,0.02,-4.4
446979,2016-04-12,2016,SF,2016-04-12 18:40:00,18,2,7,9,3,10,3,20,259,85.0,1,61,0.0164,0.15,54.7,12.6,61.0,842.6,0.7,5.7,3.5,240.0,SW,2.83,0.99,4.34
446994,2016-04-13,2016,SF,2016-04-13 18:40:00,18,10,6,16,3,13,7,25,285,83.9,4,61,0.0656,0.12,57.8,14.3,47.0,839.2,0.0,8.2,5.1,200.9,S,7.69,6.22,8.23
447006,2016-04-14,2016,SF,2016-04-14 13:10:00,13,11,6,17,2,16,6,22,326,79.9,4,58,0.069,0.0909,72.4,22.5,20.0,834.3,0.0,16.5,10.2,190.0,S,16.22,14.26,16.22
447107,2016-04-22,2016,LAD,2016-04-22 18:40:00,18,7,5,12,4,19,7,17,288,81.8,5,47,0.1064,0.2353,59.3,15.2,48.7,837.2,0.0,5.7,3.6,212.7,SW,4.83,3.48,5.59
447122,2016-04-23,2016,LAD,2016-04-23 18:10:00,18,1,4,5,1,19,4,16,315,80.3,2,51,0.0392,0.0625,58.8,14.9,35.3,831.0,0.0,11.8,7.3,254.0,W,3.25,-0.83,6.93
447137,2016-04-24,2016,LAD,2016-04-24 14:10:00,14,10,12,22,1,15,19,22,342,83.8,3,61,0.0492,0.0455,63.1,17.3,26.0,832.5,0.0,16.5,10.3,293.0,NW,-6.46,-11.28,-0.87
447158,2016-04-25,2016,PIT,2016-04-25 18:40:00,18,1,6,7,1,14,5,18,296,83.1,1,57,0.0175,0.0556,60.1,15.6,35.0,828.3,0.0,14.4,9.0,143.7,SE,11.63,13.85,8.0
447173,2016-04-26,2016,PIT,2016-04-26 18:40:00,18,4,9,13,6,16,11,20,332,84.1,7,55,0.1273,0.3,42.8,6.0,56.7,832.9,0.0,9.9,6.1,29.3,NE,-8.6,-6.43,-9.74
447188,2016-04-27,2016,PIT,2016-04-27 18:40:00,18,8,9,17,5,22,8,33,455,82.0,7,80,0.0875,0.1515,45.3,7.4,49.3,834.4,0.0,10.3,6.4,47.0,NE,-7.05,-4.04,-9.21
447340,2016-05-09,2016,AZ,2016-05-09 18:40:00,18,5,10,15,2,13,8,25,309,84.0,2,64,0.0312,0.08,58.6,14.8,54.7,831.7,0.0,3.4,2.1,112.4,E,1.29,2.29,0.14
447353,2016-05-10,2016,AZ,2016-05-10 18:40:00,18,1,5,6,1,12,4,18,261,83.8,2,59,0.0339,0.0556,49.2,9.5,91.7,839.3,5.3,10.3,6.4,95.7,E,1.01,4.45,-2.54
447368,2016-05-11,2016,AZ,2016-05-11 13:10:00,13,8,7,15,2,22,3,27,314,85.4,3,56,0.0536,0.0741,54.7,12.6,58.0,845.3,2.1,13.4,8.3,91.5,E,0.35,4.89,-4.25
447399,2016-05-13,2016,NYM,2016-05-13 18:40:00,18,5,2,7,0,19,2,18,269,84.6,0,49,0.0,0.0,56.1,13.4,51.3,850.3,0.0,12.3,7.6,62.0,NE,-5.78,-1.71,-9.14
447414,2016-05-14,2016,NYM,2016-05-14 18:10:00,18,7,4,11,1,11,4,25,286,84.3,2,62,0.0323,0.04,54.1,12.3,56.7,846.6,0.0,10.6,6.6,17.7,N,-10.1,-8.39,-10.59
