game_pk,game_date,season,away_team,game_start,start_hour,home_runs_scored,away_runs_scored,total_runs,home_runs_hit,strikeouts,walks,hits,total_pitches,avg_exit_velocity,n_barrels,n_bbe,barrel_rate,hr_h_ratio,home_bat_hr,home_bat_k,home_bat_bb,home_bat_h,home_bat_pitches,home_bat_exit_velo,home_bat_bbe,home_bat_hr_h_ratio,away_bat_hr,away_bat_k,away_bat_bb,away_bat_h,away_bat_pitches,away_bat_exit_velo,away_bat_bbe,away_bat_hr_h_ratio,temp_f,temp_c,rhum,pres,prcp,wspd,wspd_mph,wdir,wind_dir_bucket,wind_cf,wind_lcf,wind_rcf
413653,2015-04-06,2015,CWS,2015-04-06 15:10:00,15,10,1,11,3,6,7,18,257,,0,57,0.0,0.1667,2.0,3.0,4.0,13.0,142.0,,0.0,0.1538,1.0,3.0,2.0,5.0,115.0,,0.0,0.2,61.5,16.4,81.7,977.7,0.0,12.0,7.4,151.3,SE,3.37,7.09,-0.76
413675,2015-04-08,2015,CWS,2015-04-08 19:10:00,19,7,5,12,3,15,2,24,273,89.5,4,57,0.0702,0.125,2.0,5.0,2.0,14.0,152.0,88.4,40.0,0.1429,1.0,10.0,0.0,10.0,121.0,90.9,32.0,0.1,70.9,21.6,79.0,974.5,0.0,20.4,12.7,183.7,S,15.29,18.97,9.77
413687,2015-04-09,2015,CWS,2015-04-09 13:10:00,13,4,1,5,1,9,3,12,219,87.1,7,54,0.1296,0.0833,1.0,2.0,2.0,8.0,114.0,85.2,29.0,0.125,0.0,7.0,1.0,4.0,105.0,89.5,23.0,0.0,62.3,16.8,73.0,973.0,0.2,30.6,19.0,269.0,W,22.02,13.41,27.98
413800,2015-04-17,2015,ATH,2015-04-17 19:10:00,19,6,4,10,3,9,3,23,247,89.6,1,62,0.0161,0.1304,0.0,5.0,1.0,15.0,136.0,89.5,38.0,0.0,3.0,4.0,2.0,8.0,111.0,89.8,29.0,0.375,68.5,20.3,74.7,983.5,0.2,5.3,3.3,262.0,W,4.21,2.87,5.04
413815,2015-04-18,2015,ATH,2015-04-18 18:10:00,18,0,5,5,1,12,4,15,256,87.0,4,54,0.0741,0.0667,0.0,6.0,2.0,7.0,122.0,86.5,33.0,0.0,1.0,6.0,2.0,8.0,134.0,87.4,31.0,0.125,62.6,17.0,87.3,979.1,0.0,7.1,4.4,121.3,SE,-1.67,0.78,-3.92
413830,2015-04-19,2015,ATH,2015-04-19 13:10:00,13,4,2,6,0,13,8,15,275,86.3,1,49,0.0204,0.0,0.0,5.0,2.0,8.0,124.0,85.7,33.0,0.0,0.0,8.0,6.0,7.0,151.0,86.9,31.0,0.0,65.0,18.3,68.7,972.5,0.3,17.2,10.7,287.3,W,8.0,2.3,12.74
413839,2015-04-20,2015,MIN,2015-04-20 19:10:00,19,7,1,8,0,8,6,13,261,87.4,1,54,0.0185,0.0,0.0,1.0,4.0,8.0,136.0,86.6,34.0,0.0,0.0,7.0,2.0,5.0,125.0,88.3,28.0,0.0,53.6,12.0,34.3,979.3,0.0,12.8,8.0,263.1,W,10.07,6.76,12.17
413852,2015-04-21,2015,MIN,2015-04-21 19:10:00,19,6,5,11,2,7,6,20,286,86.9,2,63,0.0317,0.1,2.0,1.0,5.0,10.0,141.0,85.9,40.0,0.2,0.0,6.0,1.0,10.0,145.0,88.0,33.0,0.0,61.1,16.2,44.7,976.1,0.0,10.5,6.5,270.0,W,7.43,4.44,9.52
413867,2015-04-22,2015,MIN,2015-04-22 19:10:00,19,0,3,3,0,13,8,16,277,84.6,1,53,0.0189,0.0,0.0,5.0,2.0,6.0,122.0,83.1,29.0,0.0,0.0,8.0,6.0,10.0,155.0,86.1,29.0,0.0,52.3,11.3,45.3,984.8,0.0,4.8,3.0,30.8,NE,-4.65,-4.78,-3.97
413977,2015-04-30,2015,DET,2015-04-30 19:10:00,19,8,1,9,1,20,5,21,274,93.4,0,50,0.0,0.0476,1.0,10.0,2.0,14.0,145.0,94.7,1.0,0.0714,0.0,10.0,3.0,7.0,129.0,92.2,1.0,0.0,64.6,18.1,51.3,984.4,0.0,6.1,3.8,70.7,E,-5.46,-4.23,-6.04
413987,2015-05-01,2015,DET,2015-05-01 19:10:00,19,4,1,5,0,14,7,14,261,83.9,0,50,0.0,0.0,0.0,2.0,2.0,10.0,110.0,85.9,33.0,0.0,0.0,12.0,5.0,4.0,151.0,80.9,22.0,0.0,66.6,19.2,51.0,986.2,0.0,8.8,5.5,118.3,SE,-2.52,0.51,-5.26
414002,2015-05-02,2015,DET,2015-05-02 18:10:00,18,1,2,3,1,7,3,12,244,86.3,2,57,0.0351,0.0833,1.0,3.0,0.0,5.0,106.0,81.8,32.0,0.2,0.0,4.0,3.0,7.0,138.0,90.4,35.0,0.0,71.0,21.7,54.0,981.5,0.0,13.3,8.3,170.3,S,7.71,10.97,3.52
414017,2015-05-03,2015,DET,2015-05-03 13:10:00,13,4,6,10,1,10,2,17,249,88.0,2,58,0.0345,0.0588,0.0,5.0,1.0,6.0,132.0,87.6,35.0,0.0,1.0,5.0,1.0,11.0,117.0,88.5,32.0,0.0909,78.9,26.1,49.3,979.7,0.3,26.0,16.2,195.3,S,22.62,25.66,16.85
414042,2015-05-05,2015,CLE,2015-05-05 19:10:00,19,5,3,8,3,17,3,10,263,87.7,3,44,0.0682,0.3,1.0,9.0,1.0,6.0,134.0,87.8,30.0,0.1667,2.0,8.0,2.0,4.0,129.0,87.5,24.0,0.5,73.3,22.9,59.0,985.4,0.0,10.0,6.2,136.4,SE,0.24,3.63,-3.19
414057,2015-05-06,2015,CLE,2015-05-06 19:10:00,19,3,10,13,2,14,6,18,296,86.8,3,56,0.0536,0.1111,1.0,9.0,2.0,5.0,122.0,87.0,27.0,0.2,1.0,5.0,4.0,13.0,174.0,86.6,42.0,0.0769,73.7,23.2,49.7,979.8,0.0,21.6,13.4,145.7,SE,4.0,11.03,-3.51
414071,2015-05-07,2015,CLE,2015-05-07 13:10:00,13,7,4,11,2,16,10,16,304,87.7,4,52,0.0769,0.125,1.0,8.0,4.0,12.0,155.0,86.5,36.0,0.0833,1.0,8.0,6.0,4.0,149.0,89.2,28.0,0.25,77.5,25.3,59.3,981.4,0.7,22.1,13.7,199.0,S,19.83,21.95,15.33
414184,2015-05-15,2015,NYY,2015-05-15 19:10:00,19,12,1,13,0,5,5,22,296,86.6,0,70,0.0,0.0,0.0,2.0,3.0,17.0,171.0,87.1,50.0,0.0,0.0,3.0,2.0,5.0,125.0,85.8,35.0,0.0,69.5,20.8,87.3,980.6,1.6,11.0,6.8,156.0,SE,3.93,7.19,0.19
414199,2015-05-16,2015,NYY,2015-05-16 18:10:00,18,1,5,6,2,11,4,15,275,86.1,1,61,0.0164,0.1333,0.0,6.0,0.0,6.0,112.0,85.2,31.0,0.0,2.0,5.0,4.0,9.0,163.0,86.8,39.0,0.2222,76.9,24.9,65.7,976.9,0.0,12.3,7.6,139.7,SE,1.0,5.12,-3.24
414214,2015-05-17,2015,NYY,2015-05-17 13:10:00,13,6,0,6,1,15,6,13,281,86.6,1,49,0.0204,0.0769,1.0,8.0,4.0,7.0,138.0,83.9,26.0,0.1429,0.0,7.0,2.0,6.0,143.0,88.9,29.0,0.0,79.0,26.1,44.0,979.7,0.0,29.6,18.4,219.0,SW,29.47,28.75,26.63
414230,2015-05-19,2015,CIN,2015-05-19 19:10:00,19,3,0,3,0,13,2,13,226,88.4,0,49,0.0,0.0,0.0,4.0,1.0,9.0,111.0,88.3,19.0,0.0,0.0,9.0,1.0,4.0,115.0,88.5,16.0,0.0,58.4,14.7,59.0,989.5,0.0,13.1,8.1,54.3,NE,-12.89,-11.39,-12.84
414245,2015-05-20,2015,CIN,2015-05-20 19:10:00,19,7,1,8,0,9,3,19,275,88.6,0,60,0.0,0.0,0.0,2.0,1.0,10.0,136.0,88.9,38.0,0.0,0.0,7.0,2.0,9.0,139.0,88.4,33.0,0.0,51.6,10.9,69.3,990.4,0.0,10.9,6.8,29.7,NE,-10.48,-10.83,-8.87
414282,2015-05-22,2015,STL,2015-05-22 19:10:00,19,5,0,5,2,10,6,19,290,85.7,4,58,0.069,0.1053,2.0,6.0,1.0,11.0,120.0,86.6,35.0,0.1818,0.0,4.0,5.0,8.0,170.0,84.9,38.0,0.0,60.8,16.0,74.0,991.3,1.2,5.6,3.5,102.0,E,-3.07,-1.27,-4.5
414297,2015-05-23,2015,STL,2015-05-23 18:15:00,18,3,2,5,1,3,5,10,152,86.8,3,39,0.0769,0.1,1.0,2.0,1.0,6.0,68.0,85.3,21.0,0.1667,0.0,1.0,3.0,4.0,84.0,88.1,25.0,0.0,68.6,20.3,73.3,986.8,0.0,12.8,7.9,122.4,SE,-2.79,1.64,-6.88
414312,2015-05-24,2015,STL,2015-05-24 13:10:00,13,1,6,7,1,16,5,16,292,87.1,2,52,0.0385,0.0625,0.0,6.0,2.0,6.0,116.0,89.4,34.0,0.0,1.0,10.0,3.0,10.0,176.0,84.9,36.0,0.1,68.2,20.1,87.7,980.7,2.5,5.5,3.4,200.0,S,4.98,5.48,3.89
414426,2015-06-02,2015,CLE,2015-06-02 19:10:00,19,1,2,3,1,16,5,11,309,86.3,3,49,0.0612,0.0909,0.0,12.0,2.0,5.0,134.0,84.9,31.0,0.0,1.0,4.0,3.0,6.0,175.0,87.5,38.0,0.1667,71.3,21.8,64.7,983.4,0.0,13.4,8.3,116.0,SE,-4.35,0.23,-8.41
414441,2015-06-03,2015,CLE,2015-06-03 19:10:00,19,4,2,6,0,13,1,19,237,85.0,0,53,0.0,0.0,0.0,9.0,1.0,9.0,110.0,82.0,27.0,0.0,0.0,4.0,0.0,10.0,127.0,87.2,37.0,0.0,77.5,25.3,75.3,982.3,0.0,9.9,6.2,78.0,E,-8.3,-5.96,-9.65
414455,2015-06-04,2015,CLE,2015-06-04 19:10:00,19,2,6,8,2,12,8,14,265,86.9,2,48,0.0417,0.1429,1.0,6.0,5.0,4.0,120.0,86.1,24.0,0.25,1.0,6.0,3.0,10.0,145.0,87.4,30.0,0.1,75.9,24.4,81.3,984.5,0.0,6.6,4.1,38.3,NE,-6.52,-6.39,-5.87
414475,2015-06-05,2015,TEX,2015-06-05 19:10:00,19,0,4,4,1,12,5,10,256,87.3,1,51,0.0196,0.1,0.0,2.0,2.0,3.0,116.0,87.7,26.0,0.0,1.0,10.0,3.0,7.0,140.0,86.8,28.0,0.1429,78.0,25.5,70.3,985.4,0.0,5.3,3.3,36.4,NE,-5.27,-5.23,-4.68
