game_pk,game_date,season,away_team,game_start,start_hour,home_runs_scored,away_runs_scored,total_runs,home_runs_hit,strikeouts,walks,hits,total_pitches,avg_exit_velocity,n_barrels,n_bbe,barrel_rate,hr_h_ratio,home_bat_hr,home_bat_k,home_bat_bb,home_bat_h,home_bat_pitches,home_bat_exit_velo,home_bat_bbe,home_bat_hr_h_ratio,away_bat_hr,away_bat_k,away_bat_bb,away_bat_h,away_bat_pitches,away_bat_exit_velo,away_bat_bbe,away_bat_hr_h_ratio,temp_f,temp_c,rhum,pres,prcp,wspd,wspd_mph,wdir,wind_dir_bucket,wind_cf,wind_lcf,wind_rcf
413656,2015-04-06,2015,MIN,2015-04-06 13:08:00,13,4,0,4,2,12,2,15,229,92.3,3,51,0.0588,0.1333,2.0,6.0,2.0,10.0,124.0,92.8,29.0,0.2,0.0,6.0,0.0,5.0,105.0,91.7,27.0,0.0,54.5,12.5,61.0,995.9,0.0,9.7,6.0,200.7,S,-7.05,-4.36,-8.89
413678,2015-04-08,2015,MIN,2015-04-08 13:08:00,13,11,0,11,0,11,9,19,315,84.5,1,59,0.0169,0.0,0.0,2.0,5.0,15.0,178.0,85.8,49.0,0.0,0.0,9.0,2.0,4.0,137.0,82.0,25.0,0.0,44.1,6.7,88.0,992.7,0.0,7.8,4.9,32.0,NE,4.55,2.1,6.46
413689,2015-04-09,2015,MIN,2015-04-09 13:08:00,13,7,1,8,1,8,7,15,243,87.4,4,56,0.0714,0.0667,1.0,3.0,6.0,10.0,149.0,88.3,37.0,0.1,0.0,5.0,1.0,5.0,94.0,86.0,26.0,0.0,54.2,12.3,97.7,987.3,3.1,18.6,11.6,170.3,S,-18.17,-15.66,-18.49
413793,2015-04-17,2015,CWS,2015-04-17 13:08:00,13,2,1,3,2,16,2,14,231,88.2,2,49,0.0408,0.1429,1.0,7.0,0.0,10.0,113.0,89.7,29.0,0.1,1.0,9.0,2.0,4.0,118.0,86.0,20.0,0.25,64.3,18.0,56.0,995.6,0.0,6.7,4.2,197.6,S,-5.15,-3.36,-6.32
413808,2015-04-18,2015,CWS,2015-04-18 13:08:00,13,3,12,15,3,13,7,24,318,85.3,3,64,0.0469,0.125,1.0,7.0,2.0,7.0,144.0,82.3,32.0,0.1429,2.0,6.0,5.0,17.0,174.0,87.5,42.0,0.1176,62.7,17.0,46.3,996.6,0.0,24.0,14.9,45.0,NE,9.2,1.05,16.24
413823,2015-04-19,2015,CWS,2015-04-19 13:08:00,13,9,1,10,2,10,6,18,275,86.0,4,54,0.0741,0.1111,2.0,5.0,2.0,12.0,144.0,87.7,37.0,0.1667,0.0,5.0,4.0,6.0,131.0,84.1,34.0,0.0,54.9,12.7,57.3,989.3,0.0,28.3,17.6,83.3,E,-7.73,-16.59,2.06
413840,2015-04-20,2015,NYY,2015-04-20 19:08:00,19,2,1,3,1,12,3,14,222,88.4,0,45,0.0,0.0714,0.0,5.0,2.0,7.0,98.0,91.2,23.0,0.0,1.0,7.0,0.0,7.0,124.0,86.2,29.0,0.1429,49.5,9.7,64.0,977.3,0.0,29.2,18.2,253.3,W,2.97,12.74,-7.15
413853,2015-04-21,2015,NYY,2015-04-21 19:08:00,19,2,5,7,2,14,12,18,313,88.1,1,53,0.0189,0.1111,0.0,9.0,3.0,10.0,136.0,88.0,30.0,0.0,2.0,5.0,9.0,8.0,177.0,88.2,35.0,0.25,48.7,9.3,43.3,980.9,0.0,23.0,14.3,253.3,W,2.33,10.01,-5.62
413868,2015-04-22,2015,NYY,2015-04-22 19:08:00,19,4,13,17,1,15,11,21,367,89.0,1,59,0.0169,0.0476,0.0,9.0,5.0,6.0,155.0,88.7,26.0,0.0,1.0,6.0,5.0,15.0,212.0,89.2,39.0,0.0667,40.0,4.4,43.7,986.9,0.0,27.1,16.8,280.0,W,14.56,21.5,5.87
413881,2015-04-23,2015,NYY,2015-04-23 13:08:00,13,1,2,3,0,21,8,6,276,85.8,1,39,0.0256,0.0,0.0,10.0,2.0,3.0,123.0,86.7,27.0,0.0,0.0,11.0,5.0,3.0,153.0,84.8,23.0,0.0,39.0,3.9,45.7,992.3,0.0,21.7,13.5,301.0,NW,17.44,20.81,11.98
