game_pk,game_date,season,away_team,game_start,start_hour,home_runs_scored,away_runs_scored,total_runs,home_runs_hit,strikeouts,walks,hits,total_pitches,avg_exit_velocity,n_barrels,n_bbe,barrel_rate,hr_h_ratio,home_bat_hr,home_bat_k,home_bat_bb,home_bat_h,home_bat_pitches,home_bat_exit_velo,home_bat_bbe,home_bat_hr_h_ratio,away_bat_hr,away_bat_k,away_bat_bb,away_bat_h,away_bat_pitches,away_bat_exit_velo,away_bat_bbe,away_bat_hr_h_ratio,temp_f,temp_c,rhum,pres,prcp,wspd,wspd_mph,wdir,wind_dir_bucket,wind_cf,wind_lcf,wind_rcf
413746,2015-04-13,2015,KC,2015-04-13 15:10:00,15,3,12,15,2,12,5,20,277,90.7,4,60,0.0667,0.1,1.0,7.0,1.0,7.0,125.0,93.1,28.0,0.1429,1.0,5.0,3.0,13.0,152.0,89.1,41.0,0.0769,59.9,15.5,22.0,986.7,0.0,26.4,16.4,287.3,W,25.23,21.02,26.4
413774,2015-04-15,2015,KC,2015-04-15 19:10:00,19,3,1,4,1,12,1,14,243,85.9,1,51,0.0196,0.0714,1.0,7.0,1.0,5.0,109.0,88.0,25.0,0.2,0.0,5.0,0.0,9.0,134.0,84.4,36.0,0.0,58.4,14.7,36.3,988.8,0.0,10.0,6.2,119.7,SE,-8.69,-6.47,-9.86
413784,2015-04-16,2015,KC,2015-04-16 12:10:00,12,8,5,13,3,5,6,24,290,84.5,2,71,0.0282,0.125,2.0,2.0,2.0,14.0,138.0,84.7,40.0,0.1429,1.0,3.0,4.0,10.0,152.0,84.2,41.0,0.1,63.3,17.4,49.7,987.1,0.0,6.5,4.0,202.3,S,2.46,4.36,0.26
413795,2015-04-17,2015,CLE,2015-04-17 19:10:00,19,3,2,5,2,20,9,14,324,86.2,3,57,0.0526,0.1429,1.0,10.0,1.0,6.0,149.0,86.8,33.0,0.1667,1.0,10.0,4.0,8.0,175.0,85.7,35.0,0.125,64.5,18.1,43.3,986.0,0.0,7.0,4.3,314.3,NW,5.01,3.03,6.38
413810,2015-04-18,2015,CLE,2015-04-18 13:10:00,13,2,4,6,2,18,4,14,253,86.9,4,48,0.0833,0.1429,1.0,14.0,3.0,6.0,145.0,85.1,20.0,0.1667,1.0,4.0,1.0,8.0,108.0,88.1,32.0,0.125,67.6,19.8,35.3,986.2,0.0,16.3,10.1,97.0,E,-16.21,-14.55,-15.91
413825,2015-04-19,2015,CLE,2015-04-19 13:10:00,13,7,2,9,2,11,5,18,310,89.2,2,58,0.0345,0.1111,1.0,5.0,3.0,11.0,151.0,89.9,39.0,0.0909,1.0,6.0,2.0,7.0,159.0,88.4,34.0,0.1429,58.3,14.6,80.0,973.1,1.1,16.7,10.4,264.3,W,16.59,16.15,15.02
413932,2015-04-27,2015,DET,2015-04-27 19:10:00,19,4,5,9,2,11,8,20,296,87.4,1,57,0.0175,0.1,0.0,8.0,2.0,9.0,145.0,85.6,28.0,0.0,2.0,3.0,5.0,11.0,151.0,88.8,34.0,0.1818,60.1,15.6,35.7,989.8,0.0,4.9,3.1,359.3,N,0.06,-1.63,1.74
413947,2015-04-28,2015,DET,2015-04-28 19:10:00,19,3,2,5,0,13,3,13,260,85.1,2,50,0.04,0.0,0.0,6.0,1.0,10.0,132.0,84.4,31.0,0.0,0.0,7.0,2.0,3.0,128.0,85.7,32.0,0.0,57.2,14.0,58.3,987.2,0.0,9.1,5.6,343.0,N,2.65,-0.47,5.46
413962,2015-04-29,2015,DET,2015-04-29 12:10:00,12,7,10,17,6,19,1,30,321,87.2,5,61,0.082,0.2,2.0,13.0,1.0,13.0,163.0,86.7,28.0,0.1538,4.0,6.0,0.0,17.0,158.0,87.7,39.0,0.2353,60.6,15.9,37.0,987.2,0.0,12.4,7.7,25.7,NE,-5.36,-8.85,-1.22
413975,2015-04-30,2015,CWS,2015-04-30 19:10:00,19,12,2,14,1,14,3,25,268,87.0,1,62,0.0161,0.04,1.0,7.0,2.0,13.0,129.0,84.6,34.0,0.0769,0.0,7.0,1.0,12.0,139.0,89.2,35.0,0.0,58.8,14.9,37.0,986.5,0.0,6.5,4.0,118.4,SE,-5.72,-4.32,-6.43
413984,2015-05-01,2015,CWS,2015-05-01 19:10:00,19,1,0,1,0,11,4,13,235,86.4,1,50,0.02,0.0,0.0,6.0,3.0,7.0,124.0,87.7,24.0,0.0,0.0,5.0,1.0,6.0,111.0,85.3,28.0,0.0,60.0,15.6,69.3,984.4,0.0,9.7,6.0,144.3,SE,-5.68,-2.63,-8.04
413999,2015-05-02,2015,CWS,2015-05-02 13:10:00,13,5,3,8,2,9,5,21,270,89.3,2,57,0.0351,0.0952,2.0,4.0,3.0,11.0,140.0,88.5,34.0,0.1818,0.0,5.0,2.0,10.0,130.0,90.3,31.0,0.0,75.9,24.4,35.7,980.7,0.0,13.7,8.5,187.7,S,1.83,6.36,-2.93
414014,2015-05-03,2015,CWS,2015-05-03 13:10:00,13,13,3,16,2,12,4,27,301,87.2,2,65,0.0308,0.0741,2.0,8.0,1.0,19.0,166.0,86.8,41.0,0.1053,0.0,4.0,3.0,8.0,135.0,87.6,32.0,0.0,77.4,25.2,46.3,978.7,0.0,2.2,1.4,289.6,W,2.1,1.72,2.23
414032,2015-05-04,2015,ATH,2015-05-04 19:10:00,19,8,7,15,3,13,4,26,304,86.2,4,63,0.0635,0.1154,1.0,8.0,2.0,13.0,161.0,84.7,36.0,0.0769,2.0,5.0,2.0,13.0,143.0,87.5,39.0,0.1538,63.4,17.4,30.7,991.0,0.0,6.8,4.2,35.7,NE,-3.96,-5.61,-1.83
414047,2015-05-05,2015,ATH,2015-05-05 19:10:00,19,1,2,3,0,16,3,14,262,86.0,0,51,0.0,0.0,0.0,9.0,1.0,5.0,117.0,88.4,25.0,0.0,0.0,7.0,2.0,9.0,145.0,84.3,35.0,0.0,58.0,14.4,74.3,989.6,0.0,16.2,10.1,133.7,SE,-11.72,-7.19,-14.84
414062,2015-05-06,2015,ATH,2015-05-06 19:10:00,19,13,0,13,3,11,6,18,297,87.1,4,57,0.0702,0.1667,3.0,6.0,4.0,12.0,158.0,88.2,34.0,0.25,0.0,5.0,2.0,6.0,139.0,86.0,34.0,0.0,69.4,20.8,60.7,981.2,0.0,20.3,12.6,146.0,SE,-11.37,-4.92,-16.45
414076,2015-05-07,2015,ATH,2015-05-07 12:10:00,12,6,5,11,1,12,8,13,291,85.5,3,52,0.0577,0.0769,0.0,6.0,6.0,5.0,142.0,82.4,32.0,0.0,1.0,6.0,2.0,8.0,149.0,88.3,34.0,0.125,70.2,21.2,66.3,977.4,0.2,22.6,14.0,190.0,S,3.92,11.28,-3.92
414187,2015-05-15,2015,TB,2015-05-15 19:10:00,19,3,2,5,2,10,1,17,242,87.7,1,58,0.0172,0.1176,1.0,6.0,0.0,9.0,120.0,87.2,32.0,0.1111,1.0,4.0,1.0,8.0,122.0,88.1,38.0,0.125,61.1,16.2,69.0,983.9,0.0,5.9,3.7,93.0,E,-5.89,-5.43,-5.64
414202,2015-05-16,2015,TB,2015-05-16 13:10:00,13,6,4,10,3,10,5,20,270,87.2,2,58,0.0345,0.15,1.0,5.0,5.0,11.0,141.0,87.1,26.0,0.0909,2.0,5.0,0.0,9.0,129.0,87.2,39.0,0.2222,72.9,22.7,66.7,981.2,0.0,19.6,12.2,139.7,SE,-12.69,-6.81,-17.03
414217,2015-05-17,2015,TB,2015-05-17 13:10:00,13,3,11,14,0,17,5,25,326,88.2,1,60,0.0167,0.0,0.0,9.0,2.0,6.0,138.0,86.1,21.0,0.0,0.0,8.0,2.0,19.0,188.0,89.2,46.0,0.0,71.1,21.7,64.0,972.9,1.2,21.8,13.5,166.7,S,-5.03,2.53,-11.98
414316,2015-05-25,2015,BOS,2015-05-25 13:10:00,13,7,2,9,1,14,2,24,276,87.4,2,58,0.0345,0.0417,1.0,8.0,2.0,16.0,151.0,87.1,36.0,0.0625,0.0,6.0,0.0,8.0,125.0,87.7,31.0,0.0,67.1,19.5,67.0,976.2,0.0,19.0,11.8,235.7,SW,15.72,18.44,11.1
414331,2015-05-26,2015,BOS,2015-05-26 19:10:00,19,2,1,3,0,8,3,14,248,85.2,2,54,0.037,0.0,0.0,4.0,1.0,7.0,109.0,87.3,30.0,0.0,0.0,4.0,2.0,7.0,139.0,83.3,32.0,0.0,58.2,14.6,96.0,978.1,1.5,7.6,4.7,329.7,NW,3.84,1.36,5.85
414346,2015-05-27,2015,BOS,2015-05-27 12:10:00,12,6,4,10,4,5,3,15,232,84.8,3,58,0.0517,0.2667,2.0,2.0,2.0,8.0,101.0,84.4,33.0,0.25,2.0,3.0,1.0,7.0,131.0,85.3,38.0,0.2857,77.2,25.1,51.7,984.3,0.0,12.6,7.8,241.3,SW,11.08,12.49,8.34
414378,2015-05-29,2015,TOR,2015-05-29 19:10:00,19,4,6,10,2,11,2,17,241,90.0,4,57,0.0702,0.1176,0.0,3.0,0.0,6.0,111.0,86.6,30.0,0.0,2.0,8.0,2.0,11.0,130.0,93.3,32.0,0.1818,56.2,13.5,95.7,984.6,7.9,19.5,12.1,1.0,N,-0.34,-6.98,6.34
414393,2015-05-30,2015,TOR,2015-05-30 13:10:00,13,3,2,5,2,13,7,18,268,85.9,2,51,0.0392,0.1111,1.0,6.0,3.0,9.0,127.0,85.0,26.0,0.1111,1.0,7.0,3.0,9.0,141.0,86.6,28.0,0.1111,60.0,15.6,46.3,993.8,0.0,15.3,9.5,25.3,NE,-6.53,-10.86,-1.42
414408,2015-05-31,2015,TOR,2015-05-31 13:10:00,13,6,5,11,2,12,4,22,295,90.1,5,58,0.0862,0.0909,1.0,6.0,1.0,9.0,132.0,92.3,30.0,0.1111,1.0,6.0,3.0,13.0,163.0,88.2,35.0,0.0769,60.4,15.8,40.3,995.0,0.0,10.5,6.5,89.7,E,-10.47,-9.86,-9.81
414467,2015-06-05,2015,MIL,2015-06-05 19:10:00,19,5,10,15,4,18,2,22,285,88.8,4,58,0.069,0.1818,1.0,7.0,0.0,10.0,143.0,88.7,33.0,0.1,3.0,11.0,0.0,12.0,142.0,88.9,30.0,0.25,70.5,21.4,57.0,990.7,0.0,8.6,5.3,75.3,E,-8.32,-8.56,-7.07
414482,2015-06-06,2015,MIL,2015-06-06 13:10:00,13,2,4,6,2,12,5,17,287,86.4,2,55,0.0364,0.1176,1.0,5.0,1.0,7.0,138.0,80.9,35.0,0.1429,1.0,7.0,4.0,10.0,149.0,92.6,31.0,0.1,74.5,23.6,56.3,985.3,0.0,20.7,12.8,152.7,SE,-9.49,-2.64,-15.2
414497,2015-06-07,2015,MIL,2015-06-07 13:10:00,13,2,0,2,0,13,6,17,263,88.8,0,51,0.0,0.0,0.0,5.0,4.0,9.0,145.0,90.1,33.0,0.0,0.0,8.0,2.0,8.0,118.0,87.4,32.0,0.0,77.0,25.0,51.7,976.1,0.0,14.4,9.0,290.3,W,13.53,11.0,14.43
414508,2015-06-08,2015,KC,2015-06-08 19:10:00,19,1,3,4,2,11,3,16,245,87.0,3,55,0.0545,0.125,1.0,6.0,1.0,8.0,117.0,86.8,27.0,0.125,1.0,5.0,2.0,8.0,128.0,87.2,35.0,0.125,74.3,23.5,57.7,978.1,0.0,7.6,4.7,290.1,W,7.14,5.81,7.6
414519,2015-06-09,2015,KC,2015-06-09 19:10:00,19,0,2,2,1,11,8,10,274,83.7,1,50,0.02,0.1,0.0,5.0,4.0,1.0,118.0,82.6,25.0,0.0,1.0,6.0,4.0,9.0,156.0,84.6,31.0,0.1111,82.8,28.2,57.3,972.1,0.4,9.5,5.9,219.7,SW,6.05,8.18,3.19
414534,2015-06-10,2015,KC,2015-06-10 19:10:00,19,2,7,9,2,15,5,15,307,86.4,2,54,0.037,0.1333,1.0,8.0,3.0,7.0,146.0,87.5,32.0,0.1429,1.0,7.0,2.0,8.0,161.0,85.5,38.0,0.125,71.2,21.8,50.0,980.7,0.0,9.7,6.0,3.0,N,-0.51,-3.78,2.83
414640,2015-06-17,2015,STL,2015-06-17 19:10:00,19,3,1,4,0,16,3,15,270,86.0,1,47,0.0213,0.0,0.0,8.0,3.0,7.0,127.0,89.5,27.0,0.0,0.0,8.0,0.0,8.0,143.0,83.0,33.0,0.0,68.1,20.1,88.7,982.5,0.5,8.7,5.4,348.7,N,1.71,-1.32,4.54
414655,2015-06-18,2015,STL,2015-06-18 12:10:00,12,2,1,3,3,10,5,12,252,87.5,3,52,0.0577,0.25,2.0,6.0,3.0,7.0,139.0,89.0,27.0,0.2857,1.0,4.0,1.0,5.0,113.0,86.1,29.0,0.2,73.5,23.0,53.0,988.1,0.0,11.2,7.0,355.7,N,0.85,-3.02,4.61
414661,2015-06-19,2015,CHC,2015-06-19 19:10:00,19,7,2,9,2,7,2,16,228,88.4,3,57,0.0526,0.125,0.0,3.0,2.0,12.0,123.0,86.2,32.0,0.0,2.0,4.0,0.0,4.0,105.0,90.8,29.0,0.5,74.1,23.4,56.3,981.8,0.0,12.5,7.7,152.7,SE,-5.73,-1.59,-9.17
