game_pk,game_date,season,away_team,game_start,start_hour,home_runs_scored,away_runs_scored,total_runs,home_runs_hit,strikeouts,walks,hits,total_pitches,avg_exit_velocity,n_barrels,n_bbe,barrel_rate,hr_h_ratio,home_bat_hr,home_bat_k,home_bat_bb,home_bat_h,home_bat_pitches,home_bat_exit_velo,home_bat_bbe,home_bat_hr_h_ratio,away_bat_hr,away_bat_k,away_bat_bb,away_bat_h,away_bat_pitches,away_bat_exit_velo,away_bat_bbe,away_bat_hr_h_ratio,temp_f,temp_c,rhum,pres,prcp,wspd,wspd_mph,wdir,wind_dir_bucket,wind_cf,wind_lcf,wind_rcf
413702,2015-04-10,2015,MIN,2015-04-10 15:10:00,15,0,6,6,1,16,11,13,302,83.8,1,48,0.0208,0.0769,0.0,7.0,2.0,3.0,112.0,84.1,19.0,0.0,1.0,9.0,6.0,10.0,190.0,83.6,34.0,0.1,54.8,12.7,47.3,989.9,0.1,36.5,22.7,272.6,W,34.29,36.47,27.97
413717,2015-04-11,2015,MIN,2015-04-11 13:10:00,13,5,4,9,2,15,2,18,270,88.0,2,53,0.0377,0.1111,2.0,5.0,1.0,10.0,126.0,89.7,31.0,0.2,0.0,10.0,1.0,8.0,144.0,86.5,36.0,0.0,52.5,11.4,54.7,1001.8,0.0,9.6,5.9,218.3,SW,2.61,5.6,-0.7
413732,2015-04-12,2015,MIN,2015-04-12 13:10:00,13,6,2,8,2,17,2,19,286,83.6,2,54,0.037,0.1053,2.0,7.0,0.0,12.0,131.0,85.9,35.0,0.1667,0.0,10.0,2.0,7.0,155.0,80.6,28.0,0.0,58.6,14.8,50.7,996.7,0.0,19.0,11.8,179.0,S,-7.56,-1.16,-13.06
413837,2015-04-20,2015,CLE,2015-04-20 19:10:00,19,4,3,7,2,17,7,16,284,87.2,2,50,0.04,0.125,0.0,10.0,4.0,10.0,153.0,85.8,30.0,0.0,2.0,7.0,3.0,6.0,131.0,88.8,26.0,0.3333,47.2,8.4,54.0,981.4,0.0,25.6,15.9,266.7,W,23.04,25.47,17.84
413848,2015-04-21,2015,CLE,2015-04-21 19:10:00,19,2,6,8,3,22,5,15,313,85.9,3,46,0.0652,0.2,1.0,15.0,0.0,8.0,140.0,89.8,26.0,0.125,2.0,7.0,5.0,7.0,173.0,82.7,31.0,0.2857,47.4,8.5,44.0,984.2,0.0,21.6,13.4,287.3,W,21.48,20.85,19.52
413863,2015-04-22,2015,CLE,2015-04-22 13:10:00,13,6,0,6,1,15,5,22,288,88.9,3,55,0.0545,0.0455,1.0,9.0,1.0,14.0,126.0,88.9,32.0,0.0714,0.0,6.0,4.0,8.0,162.0,88.9,31.0,0.0,43.3,6.3,46.0,989.3,0.2,26.6,16.5,287.0,W,26.48,25.75,24.01
413878,2015-04-23,2015,KC,2015-04-23 19:10:00,19,2,3,5,0,21,6,20,376,85.9,1,72,0.0139,0.0,0.0,14.0,3.0,7.0,189.0,89.8,39.0,0.0,0.0,7.0,1.0,13.0,187.0,82.9,50.0,0.0,43.0,6.1,65.3,995.0,0.0,5.8,3.6,101.3,E,-5.72,-5.76,-4.99
413890,2015-04-24,2015,KC,2015-04-24 19:10:00,19,3,2,5,0,16,6,16,294,84.3,0,51,0.0,0.0,0.0,7.0,4.0,8.0,164.0,83.3,34.0,0.0,0.0,9.0,1.0,8.0,130.0,85.4,29.0,0.0,45.6,7.5,61.3,992.2,0.0,18.4,11.5,50.7,NE,-8.7,-13.73,-2.62
413920,2015-04-26,2015,KC,2015-04-26 13:10:00,13,5,3,8,1,20,3,14,264,86.1,0,45,0.0,0.0714,0.0,7.0,2.0,6.0,119.0,86.7,29.0,0.0,1.0,13.0,1.0,8.0,145.0,85.5,28.0,0.125,44.4,6.9,66.7,995.0,0.0,19.0,11.8,15.3,N,2.37,-4.23,8.69
414043,2015-05-05,2015,DET,2015-05-05 19:10:00,19,5,2,7,1,11,6,13,242,87.7,0,51,0.0,0.0769,0.0,3.0,5.0,6.0,115.0,86.7,28.0,0.0,1.0,8.0,1.0,7.0,127.0,88.6,32.0,0.1429,48.4,9.1,97.7,1001.0,4.7,12.6,7.8,37.0,NE,-3.15,-7.12,1.2
