game_pk,game_date,season,away_team,game_start,start_hour,home_runs_scored,away_runs_scored,total_runs,home_runs_hit,strikeouts,walks,hits,total_pitches,avg_exit_velocity,n_barrels,n_bbe,barrel_rate,hr_h_ratio,home_bat_hr,home_bat_k,home_bat_bb,home_bat_h,home_bat_pitches,home_bat_exit_velo,home_bat_bbe,home_bat_hr_h_ratio,away_bat_hr,away_bat_k,away_bat_bb,away_bat_h,away_bat_pitches,away_bat_exit_velo,away_bat_bbe,away_bat_hr_h_ratio,temp_f,temp_c,rhum,pres,prcp,wspd,wspd_mph,wdir,wind_dir_bucket,wind_cf,wind_lcf,wind_rcf
413663,2015-04-06,2015,TOR,2015-04-06 13:05:00,13,1,6,7,3,17,8,9,297,87.7,3,46,0.0652,0.3333,1.0,5.0,3.0,3.0,130.0,86.0,16.0,0.3333,2.0,12.0,5.0,6.0,167.0,90.4,10.0,0.3333,59.7,15.4,56.0,1023.0,0.0,9.5,5.9,164.3,S,1.14,4.3,-2.17
413685,2015-04-08,2015,TOR,2015-04-08 19:05:00,19,4,3,7,0,14,7,14,289,84.4,1,49,0.0204,0.0,0.0,7.0,3.0,7.0,133.0,87.9,23.0,0.0,0.0,7.0,3.0,7.0,156.0,81.8,31.0,0.0,39.9,4.4,72.3,1024.1,0.1,14.6,9.1,75.0,E,-14.44,-12.92,-14.22
413695,2015-04-09,2015,TOR,2015-04-09 19:05:00,19,3,6,9,3,20,4,16,294,84.0,3,47,0.0638,0.1875,2.0,10.0,4.0,7.0,152.0,88.5,24.0,0.2857,1.0,10.0,0.0,9.0,142.0,80.6,32.0,0.1111,39.9,4.4,82.3,1025.0,0.0,7.9,4.9,85.0,E,-7.53,-6.27,-7.89
413696,2015-04-10,2015,BOS,2015-04-10 19:05:00,19,5,6,11,3,28,14,32,628,89.0,2,113,0.0177,0.0938,2.0,13.0,5.0,14.0,296.0,86.7,40.0,0.1429,1.0,15.0,8.0,18.0,332.0,91.1,45.0,0.0556,56.0,13.3,93.7,1007.9,0.0,12.4,7.7,240.3,SW,12.34,12.12,11.06
413711,2015-04-11,2015,BOS,2015-04-11 13:05:00,13,4,8,12,1,14,7,14,302,86.0,1,55,0.0182,0.0714,1.0,11.0,2.0,5.0,128.0,88.4,24.0,0.2,0.0,3.0,5.0,9.0,174.0,84.3,36.0,0.0,55.2,12.9,42.0,1015.9,0.0,19.1,11.8,303.7,NW,10.62,4.56,15.39
413726,2015-04-12,2015,BOS,2015-04-12 20:05:00,20,14,4,18,4,11,9,24,323,88.0,2,63,0.0317,0.1667,3.0,5.0,6.0,16.0,166.0,87.4,38.0,0.1875,1.0,6.0,3.0,8.0,157.0,88.8,32.0,0.125,49.4,9.7,69.3,1025.5,0.0,9.8,6.1,179.0,S,3.59,6.49,0.25
413893,2015-04-24,2015,NYM,2015-04-24 19:05:00,19,6,1,7,3,14,2,16,255,85.9,3,53,0.0566,0.1875,3.0,6.0,2.0,11.0,140.0,86.4,38.0,0.2727,0.0,8.0,0.0,5.0,115.0,85.1,26.0,0.0,42.9,6.0,47.3,1011.9,0.0,17.4,10.8,336.3,NW,0.35,-5.63,6.29
413908,2015-04-25,2015,NYM,2015-04-25 16:05:00,16,2,8,10,4,13,2,17,262,86.8,4,58,0.069,0.2353,1.0,7.0,2.0,5.0,110.0,86.5,25.0,0.2,3.0,6.0,0.0,12.0,152.0,86.9,40.0,0.25,57.7,14.3,34.3,1005.4,0.0,8.7,5.4,269.4,W,8.1,6.5,8.73
413923,2015-04-26,2015,NYM,2015-04-26 20:05:00,20,6,4,10,2,17,2,16,269,86.9,2,48,0.0417,0.125,1.0,7.0,1.0,9.0,127.0,87.8,33.0,0.1111,1.0,10.0,1.0,7.0,142.0,86.0,31.0,0.1429,49.8,9.9,61.0,1004.5,0.0,10.2,6.3,313.0,NW,4.21,0.8,7.12
413941,2015-04-27,2015,TB,2015-04-27 19:05:00,19,4,1,5,1,18,6,15,289,88.4,1,47,0.0213,0.0667,1.0,8.0,4.0,9.0,162.0,85.9,30.0,0.1111,0.0,10.0,1.0,6.0,127.0,91.5,24.0,0.0,53.2,11.8,51.0,1004.9,0.0,14.8,9.2,305.7,NW,7.82,3.04,11.66
413956,2015-04-28,2015,TB,2015-04-28 19:05:00,19,4,2,6,0,18,4,18,291,85.0,1,51,0.0196,0.0,0.0,6.0,0.0,9.0,124.0,85.3,29.0,0.0,0.0,12.0,3.0,9.0,167.0,84.6,28.0,0.0,58.7,14.8,51.7,1006.0,0.0,10.6,6.6,311.7,NW,4.63,1.08,7.63
413971,2015-04-29,2015,TB,2015-04-29 13:05:00,13,2,3,5,2,29,7,14,390,82.2,3,61,0.0492,0.1429,2.0,16.0,3.0,7.0,194.0,83.9,36.0,0.2857,0.0,13.0,3.0,7.0,196.0,80.5,38.0,0.0,70.5,21.4,35.7,1003.7,0.0,12.2,7.6,308.3,NW,5.96,1.95,9.26
414068,2015-05-07,2015,BAL,2015-05-07 19:05:00,19,4,3,7,3,12,7,17,291,87.6,3,53,0.0566,0.1765,1.0,6.0,3.0,11.0,139.0,92.1,29.0,0.0909,2.0,6.0,4.0,6.0,152.0,83.4,31.0,0.3333,63.0,17.2,57.7,1019.7,0.0,12.1,7.5,160.3,S,0.6,4.71,-3.58
