game_pk,game_date,season,away_team,game_start,start_hour,home_runs_scored,away_runs_scored,total_runs,home_runs_hit,strikeouts,walks,hits,total_pitches,avg_exit_velocity,n_barrels,n_bbe,barrel_rate,hr_h_ratio,temp_f,temp_c,rhum,pres,prcp,wspd,wspd_mph,wdir,wind_dir_bucket,wind_cf,wind_lcf,wind_rcf
446958,2016-04-11,2016,BAL,2016-04-11 14:05:00,14,7,9,16,3,23,8,20,330,84.0,6,49,0.1224,0.15,55.9,13.3,52.0,1018.0,0.0,27.1,16.8,196.3,S,23.75,26.76,17.88
446970,2016-04-12,2016,BAL,2016-04-12 19:10:00,19,5,9,14,4,13,6,21,332,83.7,3,59,0.0508,0.1905,44.1,6.7,72.7,1021.2,0.0,16.9,10.5,311.3,NW,1.08,-4.76,6.8
446983,2016-04-13,2016,BAL,2016-04-13 19:10:00,19,4,2,6,1,17,9,17,310,83.6,4,47,0.0851,0.0588,40.0,4.5,75.0,1026.9,0.0,7.4,4.6,129.0,SE,-0.77,1.78,-3.23
447020,2016-04-15,2016,TOR,2016-04-15 19:10:00,19,5,3,8,2,19,8,12,312,83.7,6,42,0.1429,0.1667,44.2,6.8,59.0,1028.9,0.0,12.8,7.9,47.0,NE,-12.76,-11.84,-12.14
447035,2016-04-16,2016,TOR,2016-04-16 16:05:00,16,4,2,6,1,15,2,16,253,81.2,2,48,0.0417,0.0625,47.4,8.5,58.3,1030.5,0.0,14.0,8.7,68.7,E,-12.85,-10.15,-14.0
447050,2016-04-17,2016,TOR,2016-04-17 13:35:00,13,3,5,8,2,22,5,18,312,83.5,2,49,0.0408,0.1111,58.5,14.7,42.3,1026.5,0.0,8.5,5.3,77.7,E,-7.13,-5.14,-8.26
447057,2016-04-18,2016,TOR,2016-04-18 11:05:00,11,3,4,7,0,11,8,15,296,85.3,3,51,0.0588,0.0,60.3,15.7,51.7,1022.1,0.0,15.8,9.8,61.7,NE,-15.14,-12.67,-15.77
447071,2016-04-19,2016,TB,2016-04-19 19:10:00,19,0,3,3,1,27,7,7,305,81.6,3,40,0.075,0.1429,49.0,9.4,47.7,1016.4,0.0,5.4,3.4,355.3,N,-3.49,-4.69,-1.87
447086,2016-04-20,2016,TB,2016-04-20 19:10:00,19,7,3,10,2,20,5,19,283,85.8,5,48,0.1042,0.1053,45.6,7.5,69.7,1022.2,0.0,15.5,9.6,191.0,S,12.85,15.04,9.12
447100,2016-04-21,2016,TB,2016-04-21 13:35:00,13,8,12,20,4,16,11,30,374,84.9,7,67,0.1045,0.1333,70.4,21.3,30.3,1013.7,0.0,14.0,8.7,227.3,SW,13.96,12.92,13.31
