game_date,season,n_games,avg_temp_f,avg_rhum,avg_pres,avg_wspd_mph
2021-04-01,2021,13,51.68,44.49,997.03,9.5
2021-04-02,2021,7,53.97,73.61,990.29,8.7
2021-04-03,2021,14,57.0,50.0,999.48,9.81
2021-04-04,2021,12,64.04,46.77,992.98,8.62
2021-04-05,2021,13,57.69,62.35,1005.95,8.53
2021-04-06,2021,14,60.29,65.16,994.95,7.87
2021-04-07,2021,15,65.45,52.51,995.28,9.49
2021-04-08,2021,9,64.44,57.41,976.08,11.37
2021-04-09,2021,9,68.9,60.74,993.37,10.7
2021-04-10,2021,14,66.22,56.48,990.23,10.56
2021-04-11,2021,13,66.63,55.05,984.4,10.45
2021-04-12,2021,11,58.83,67.05,992.83,8.15
2021-04-13,2021,17,56.59,66.03,1000.14,6.92
2021-04-14,2021,14,54.9,67.69,997.88,8.49
2021-04-15,2021,11,54.94,66.63,998.05,8.49
2021-04-16,2021,12,52.71,78.23,1005.23,7.36
2021-04-17,2021,16,52.96,63.81,983.04,6.48
2021-04-18,2021,15,61.95,46.09,992.93,9.49
2021-04-19,2021,7,55.44,67.56,1008.73,5.86
2021-04-20,2021,15,52.49,67.89,995.84,9.37
2021-04-21,2021,14,48.78,62.37,991.44,10.39
2021-04-22,2021,8,49.18,61.91,1001.6,12.05
2021-04-23,2021,15,54.88,61.25,989.03,9.21
2021-04-24,2021,14,58.58,64.75,987.2,9.12
2021-04-25,2021,16,58.38,60.02,987.22,10.84
2021-04-26,2021,11,62.36,61.33,998.29,10.0
2021-04-27,2021,15,64.71,63.63,995.62,9.29
2021-04-28,2021,14,69.39,68.21,996.28,8.7
2021-04-29,2021,10,69.73,67.26,994.39,9.56
2021-04-30,2021,15,56.04,59.19,1002.26,10.07
2021-05-01,2021,15,68.38,45.91,997.47,11.45
2021-05-02,2021,15,74.61,45.49,994.77,12.26
2021-05-03,2021,8,61.09,77.84,999.9,7.01
2021-05-04,2021,16,58.9,75.51,982.09,7.17
2021-05-05,2021,16,58.28,70.65,995.26,8.12
2021-05-06,2021,10,64.23,49.4,1007.45,9.42
2021-05-07,2021,15,58.02,70.68,1002.14,6.97
2021-05-08,2021,15,62.3,60.18,1001.76,9.49
2021-05-09,2021,13,66.57,59.48,1002.7,12.78
2021-05-10,2021,5,66.82,56.92,998.5,8.3
2021-05-11,2021,15,56.73,63.56,992.78,7.24
2021-05-12,2021,15,58.9,59.15,984.43,7.56
2021-05-13,2021,12,66.59,45.44,992.22,6.9
2021-05-14,2021,16,62.04,58.42,992.91,8.48
2021-05-15,2021,15,66.25,56.05,992.68,7.47
2021-05-16,2021,15,71.02,45.63,993.45,8.31
2021-05-17,2021,9,62.82,74.89,1000.16,7.29
2021-05-18,2021,15,64.47,74.69,1003.91,7.43
2021-05-19,2021,15,67.15,66.27,1004.07,7.45
2021-05-20,2021,11,72.53,49.45,1008.45,8.43
2021-05-21,2021,15,69.43,63.1,1000.59,8.29
2021-05-22,2021,15,73.72,59.63,998.33,8.14
2021-05-23,2021,15,78.11,49.93,995.41,11.11
2021-05-24,2021,8,69.88,60.79,1005.34,8.34
2021-05-25,2021,15,72.59,64.13,1004.69,9.49
2021-05-26,2021,13,73.54,59.36,1003.05,8.92
2021-05-27,2021,15,70.34,57.6,1005.13,10.71
2021-05-28,2021,10,58.43,71.79,1000.03,11.35
2021-05-29,2021,17,61.69,65.05,1002.14,11.26
2021-05-30,2021,14,67.49,51.69,1002.29,8.69
2021-05-31,2021,14,68.71,52.84,1002.31,8.91
2021-06-01,2021,15,67.03,67.49,991.18,6.61
2021-06-02,2021,10,69.64,64.76,984.87,6.64
2021-06-03,2021,12,71.68,62.92,985.34,7.68
2021-06-04,2021,15,71.15,68.48,989.0,7.9
2021-06-05,2021,15,78.95,53.46,987.9,9.09
2021-06-06,2021,15,81.51,49.35,988.79,10.65
2021-06-07,2021,3,57.17,79.1,1014.77,10.87
2021-06-08,2021,15,74.13,80.76,1005.49,5.89
2021-06-09,2021,15,74.74,75.11,1005.48,7.71
2021-06-10,2021,9,75.94,64.56,1001.42,6.97
2021-06-11,2021,14,73.62,72.04,997.1,6.42
2021-06-12,2021,16,77.66,61.56,998.21,6.62
2021-06-13,2021,15,82.69,49.42,998.76,9.5
2021-06-14,2021,13,70.59,68.13,989.97,6.75
2021-06-15,2021,15,70.83,56.09,991.69,7.76
2021-06-16,2021,15,74.91,45.63,992.09,6.83
2021-06-17,2021,10,72.31,57.05,988.33,8.59
2021-06-18,2021,15,77.06,60.86,986.84,7.85
2021-06-19,2021,15,77.49,56.15,987.61,9.04
2021-06-20,2021,16,82.5,57.39,984.55,11.24
2021-06-21,2021,8,70.38,69.2,996.11,10.76
2021-06-22,2021,15,70.21,68.39,1001.79,7.69
2021-06-23,2021,13,74.52,59.8,1009.68,6.29
2021-06-24,2021,10,76.71,63.53,1003.3,7.55
2021-06-25,2021,15,71.5,80.21,1003.06,9.15
2021-06-26,2021,15,77.77,72.18,1000.83,13.55
2021-06-27,2021,15,81.09,62.04,1001.68,11.84
2021-06-28,2021,10,72.27,74.41,990.9,5.61
2021-06-29,2021,14,76.41,79.31,995.36,5.31
2021-06-30,2021,15,77.75,75.46,992.69,6.41
2021-07-01,2021,11,74.45,72.7,980.79,6.91
2021-07-02,2021,14,71.36,70.33,984.89,5.74
2021-07-03,2021,15,74.4,61.49,986.04,6.39
2021-07-04,2021,16,78.91,60.56,989.22,5.79
2021-07-05,2021,11,75.89,75.13,1002.81,8.69
2021-07-06,2021,13,76.26,74.71,999.38,7.68
2021-07-07,2021,17,77.85,71.58,1001.89,9.07
2021-07-08,2021,9,74.43,70.76,998.2,6.18
2021-07-09,2021,15,72.43,78.0,1005.83,6.86
2021-07-10,2021,16,74.3,72.28,1006.17,8.25
2021-07-11,2021,13,79.34,60.92,1008.32,10.29
2021-07-16,2021,15,76.65,73.17,989.48,6.39
2021-07-17,2021,15,73.95,74.23,989.09,6.05
2021-07-18,2021,16,81.49,52.98,992.51,7.79
2021-07-19,2021,12,76.95,71.18,1002.39,5.47
2021-07-20,2021,14,77.56,69.46,988.01,6.15
2021-07-21,2021,15,77.41,66.73,989.14,5.97
2021-07-22,2021,9,74.23,64.07,1006.59,5.41
2021-07-23,2021,15,74.9,72.02,1006.02,6.4
2021-07-24,2021,15,77.02,67.12,1002.74,8.91
2021-07-25,2021,15,82.47,56.57,1001.79,9.48
2021-07-26,2021,9,73.67,69.4,1004.23,6.8
2021-07-27,2021,14,77.26,69.9,1003.41,6.24
2021-07-28,2021,15,77.01,71.61,1004.33,7.23
2021-07-29,2021,12,75.83,73.95,1003.71,10.08
2021-07-30,2021,15,74.2,69.11,1002.35,7.77
2021-07-31,2021,15,77.93,63.97,1001.09,7.88
2021-08-01,2021,15,80.31,57.66,1001.01,9.51
2021-08-02,2021,8,79.22,63.34,1004.4,5.94
2021-08-03,2021,15,74.16,67.79,992.03,6.01
2021-08-04,2021,15,76.87,62.6,992.72,6.2
2021-08-05,2021,12,82.11,55.98,990.66,5.12
2021-08-06,2021,15,74.32,71.26,992.94,6.49
2021-08-07,2021,16,75.47,71.62,992.42,6.79
2021-08-08,2021,15,81.83,58.61,991.81,9.06
2021-08-09,2021,4,65.8,88.1,989.4,7.42
2021-08-10,2021,17,73.92,83.55,1001.26,7.61
2021-08-11,2021,14,78.24,72.98,1001.03,9.79
2021-08-12,2021,14,83.62,64.77,1001.75,10.53
2021-08-13,2021,13,77.7,71.9,1005.44,6.69
2021-08-14,2021,16,76.48,69.16,1004.48,6.59
2021-08-15,2021,15,80.09,52.69,1004.83,6.34
2021-08-16,2021,10,75.83,71.07,983.64,7.19
2021-08-17,2021,16,75.78,80.38,989.61,7.0
2021-08-18,2021,15,79.65,71.14,989.71,7.59
2021-08-19,2021,10,81.66,66.27,995.85,5.98
2021-08-20,2021,15,74.98,77.07,991.29,5.12
2021-08-21,2021,15,78.57,68.43,990.71,7.13
2021-08-22,2021,13,80.22,61.0,989.49,6.98
2021-08-23,2021,7,76.03,79.37,998.61,8.91
2021-08-24,2021,14,78.99,76.95,1004.96,5.12
2021-08-25,2021,14,80.24,78.04,1006.46,5.71
2021-08-26,2021,12,77.7,78.62,1009.4,5.13
2021-08-27,2021,15,76.18,80.03,1001.57,5.15
2021-08-28,2021,15,76.79,76.17,1003.27,6.91
2021-08-29,2021,14,81.4,62.9,1001.39,8.54
2021-08-30,2021,11,74.74,71.78,997.34,5.9
2021-08-31,2021,14,71.74,73.62,995.26,8.41
2021-09-01,2021,14,72.71,66.67,995.1,8.84
2021-09-02,2021,8,72.22,65.35,982.66,8.91
2021-09-03,2021,15,71.21,73.23,993.2,6.36
2021-09-04,2021,16,75.27,62.67,992.27,6.95
2021-09-05,2021,15,81.33,50.89,990.05,8.63
2021-09-06,2021,12,79.18,50.44,987.57,7.73
2021-09-07,2021,15,74.89,68.37,987.33,6.5
2021-09-08,2021,15,75.38,67.73,987.11,6.76
2021-09-09,2021,8,70.9,71.55,1002.24,6.2
2021-09-10,2021,15,67.79,68.7,1001.71,6.56
