game_pk,game_date,season,away_team,game_start,start_hour,home_runs_scored,away_runs_scored,total_runs,home_runs_hit,strikeouts,walks,hits,total_pitches,avg_exit_velocity,n_barrels,n_bbe,barrel_rate,hr_h_ratio,temp_f,temp_c,rhum,pres,prcp,wspd,wspd_mph,wdir,wind_dir_bucket,wind_cf,wind_lcf,wind_rcf
413657,2015-04-06,2015,NYM,2015-04-06 16:05:00,16,1,3,4,1,19,4,8,245,86.8,2,46,0.0435,0.125,70.3,21.3,45.3,1018.1,0.0,13.9,8.6,201.7,S,13.87,13.1,12.96
413679,2015-04-08,2015,NYM,2015-04-08 19:05:00,19,2,1,3,1,14,4,13,250,86.4,2,49,0.0408,0.0769,46.4,8.0,80.7,1020.0,0.0,10.7,6.6,62.9,NE,-8.14,-5.28,-10.03
413690,2015-04-09,2015,NYM,2015-04-09 13:05:00,13,3,6,9,0,21,6,17,296,86.5,1,49,0.0204,0.0,48.3,9.1,83.0,1022.2,0.0,10.2,6.3,104.7,E,-1.39,2.15,-4.76
413787,2015-04-16,2015,PHI,2015-04-16 19:05:00,19,5,2,7,2,15,8,11,232,87.2,2,46,0.0435,0.1818,59.6,15.3,64.3,1023.4,0.0,11.3,7.0,155.7,SE,7.75,10.11,4.46
413801,2015-04-17,2015,PHI,2015-04-17 19:05:00,19,7,2,9,2,17,3,17,258,84.8,2,53,0.0377,0.1176,65.8,18.8,82.3,1012.9,0.0,6.7,4.2,295.2,NW,-0.32,-2.59,1.99
413816,2015-04-18,2015,PHI,2015-04-18 13:05:00,13,3,5,8,1,13,7,16,260,88.2,2,56,0.0357,0.0625,76.9,24.9,41.7,1013.1,0.0,2.3,1.4,359.5,N,-2.12,-2.3,-1.68
413831,2015-04-19,2015,PHI,2015-04-19 13:35:00,13,4,1,5,0,13,7,16,265,85.8,1,54,0.0185,0.0,62.7,17.1,50.7,1017.2,0.0,18.5,11.5,99.0,E,-4.32,2.09,-10.21
413856,2015-04-21,2015,STL,2015-04-21 19:05:00,19,2,1,3,1,21,10,21,361,90.0,0,55,0.0,0.0476,57.8,14.3,50.3,1007.2,0.0,6.0,3.7,253.6,W,3.79,1.96,5.17
413871,2015-04-22,2015,STL,2015-04-22 19:05:00,19,5,7,12,3,16,7,19,306,85.6,4,57,0.0702,0.1579,55.2,12.9,49.7,1005.3,0.0,12.7,7.9,316.7,NW,-5.19,-8.83,-0.92
413884,2015-04-23,2015,STL,2015-04-23 16:05:00,16,1,4,5,0,12,4,15,240,85.6,2,54,0.037,0.0,54.0,12.2,38.3,1008.7,0.0,16.5,10.2,297.0,NW,-1.29,-6.83,4.4
414030,2015-05-04,2015,MIA,2015-05-04 19:05:00,19,6,4,10,2,14,7,21,261,90.9,1,57,0.0175,0.0952,70.2,21.2,58.3,1020.1,0.0,14.2,8.8,184.3,S,13.52,14.23,11.19
414045,2015-05-05,2015,MIA,2015-05-05 19:05:00,19,1,2,3,0,16,9,9,304,84.0,1,48,0.0208,0.0,70.9,21.6,80.7,1021.8,0.0,7.1,4.4,214.0,SW,6.99,6.08,7.05
414060,2015-05-06,2015,MIA,2015-05-06 13:05:00,13,7,5,12,4,19,1,25,280,83.2,3,55,0.0545,0.16,80.6,27.0,56.3,1019.7,0.0,8.9,5.5,101.7,E,-1.67,1.41,-4.54
414079,2015-05-08,2015,ATL,2015-05-08 19:05:00,19,9,2,11,5,17,4,17,258,87.6,6,48,0.125,0.2941,69.1,20.6,68.0,1018.2,0.0,10.0,6.2,140.3,SE,4.65,7.39,1.36
414094,2015-05-09,2015,ATL,2015-05-09 16:05:00,16,8,6,14,3,15,5,23,286,87.4,3,57,0.0526,0.1304,77.9,25.5,55.7,1020.1,0.0,8.7,5.4,154.0,SE,5.76,7.65,3.19
414109,2015-05-10,2015,ATL,2015-05-10 13:35:00,13,5,4,9,0,10,5,23,266,86.3,2,59,0.0339,0.0,80.2,26.8,56.0,1019.6,0.0,9.7,6.0,166.0,S,7.82,9.33,5.37
414235,2015-05-19,2015,NYY,2015-05-19 19:05:00,19,8,6,14,5,18,8,18,314,87.5,3,56,0.0536,0.2778,77.8,25.5,52.7,1009.8,0.0,7.9,4.9,304.6,NW,-1.65,-4.19,1.08
414250,2015-05-20,2015,NYY,2015-05-20 19:05:00,19,3,2,5,2,16,8,11,260,82.1,1,46,0.0217,0.1818,63.7,17.6,42.3,1014.1,0.0,9.0,5.6,355.7,N,-8.06,-8.97,-6.18
414278,2015-05-22,2015,PHI,2015-05-22 19:05:00,19,2,1,3,1,14,3,12,246,83.9,2,47,0.0426,0.0833,65.8,18.8,40.0,1019.3,0.0,9.4,5.9,265.7,W,4.26,1.12,6.88
414293,2015-05-23,2015,PHI,2015-05-23 16:05:00,16,1,8,9,2,17,2,16,262,86.0,1,54,0.0185,0.125,72.1,22.3,27.3,1026.8,0.0,4.9,3.0,216.2,SW,4.76,4.08,4.87
414308,2015-05-24,2015,PHI,2015-05-24 13:35:00,13,4,1,5,0,14,3,18,246,86.5,2,53,0.0377,0.0,81.6,27.5,35.3,1024.3,0.0,7.4,4.6,220.3,SW,7.08,5.87,7.43
414420,2015-06-02,2015,TOR,2015-06-01 19:05:00,19,2,0,2,0,12,3,15,240,86.4,0,53,0.0,0.0,71.2,21.8,95.0,1014.4,8.9,5.0,3.1,206.2,SW,5.02,4.61,4.83
414435,2015-06-02,2015,TOR,2015-06-02 19:05:00,19,3,7,10,2,18,6,16,302,88.8,3,53,0.0566,0.125,58.7,14.8,88.3,1018.2,0.0,11.1,6.9,24.3,NE,-11.06,-10.27,-10.52
414450,2015-06-03,2015,TOR,2015-06-03 19:05:00,19,0,8,8,1,8,2,19,229,88.8,3,62,0.0484,0.0526,61.1,16.2,80.0,1020.1,0.0,7.0,4.3,43.7,NE,-6.5,-5.24,-6.97
414453,2015-06-04,2015,CHC,2015-06-04 19:05:00,19,1,2,3,0,19,7,14,292,80.7,0,43,0.0,0.0,61.7,16.5,84.7,1019.6,1.0,10.5,6.5,43.7,NE,-9.76,-7.88,-10.46
414463,2015-06-05,2015,CHC,2015-06-05 19:05:00,19,7,5,12,4,17,3,21,283,92.2,6,53,0.1132,0.1905,67.5,19.7,86.7,1012.5,0.0,5.4,3.4,199.7,S,5.39,5.16,4.98
414478,2015-06-06,2015,CHC,2015-06-06 12:05:00,12,2,4,6,2,17,5,12,282,84.9,4,47,0.0851,0.1667,77.7,25.4,65.3,1012.2,0.4,12.0,7.4,9.7,N,-11.67,-11.87,-10.06
