game_pk,game_date,season,away_team,game_start,start_hour,home_runs_scored,away_runs_scored,total_runs,home_runs_hit,strikeouts,walks,hits,total_pitches,avg_exit_velocity,n_barrels,n_bbe,barrel_rate,hr_h_ratio,temp_f,temp_c,rhum,pres,prcp,wspd,wspd_mph,wdir,wind_dir_bucket,wind_cf,wind_lcf,wind_rcf
413652,2015-04-06,2015,BOS,2015-04-06 15:05:00,15,0,8,8,5,18,9,12,302,87.7,1,48,0.0208,0.4167,69.3,20.7,38.3,1019.9,0.0,17.8,11.1,208.0,SW,17.72,16.07,17.23
413674,2015-04-08,2015,BOS,2015-04-08 19:05:00,19,4,2,6,1,17,6,9,292,85.3,1,45,0.0222,0.1111,41.3,5.2,78.3,1023.1,0.0,13.0,8.1,56.3,NE,-10.8,-7.67,-12.62
413686,2015-04-09,2015,BOS,2015-04-09 19:05:00,19,2,6,8,0,17,9,16,340,86.5,0,54,0.0,0.0,41.4,5.2,81.0,1024.3,0.0,12.2,7.6,85.6,E,-5.51,-1.46,-8.9
413710,2015-04-10,2015,WSH,2015-04-10 19:05:00,19,4,1,5,1,14,5,13,253,87.9,1,46,0.0217,0.0769,58.9,15.0,95.7,1009.5,0.0,11.0,6.8,263.7,W,5.31,1.69,8.28
413725,2015-04-11,2015,WSH,2015-04-11 19:05:00,19,3,2,5,1,14,6,20,335,87.3,3,63,0.0476,0.05,50.8,10.4,44.7,1021.3,0.0,7.2,4.5,295.7,NW,-0.4,-2.83,2.09
413740,2015-04-12,2015,WSH,2015-04-12 13:35:00,13,3,4,7,2,20,8,18,323,85.0,3,57,0.0526,0.1111,63.8,17.7,34.0,1025.4,0.0,7.4,4.6,231.3,SW,6.46,4.85,7.28
413851,2015-04-21,2015,MIA,2015-04-21 19:05:00,19,7,3,10,3,18,4,17,258,89.1,2,49,0.0408,0.1765,55.1,12.8,52.3,1008.0,0.0,7.8,4.8,212.3,SW,7.65,6.74,7.64
413866,2015-04-22,2015,MIA,2015-04-22 19:05:00,19,1,6,7,1,15,5,15,304,86.6,2,53,0.0377,0.0667,53.5,12.0,55.7,1005.5,0.0,16.0,9.9,272.0,W,5.6,0.14,10.39
413880,2015-04-23,2015,MIA,2015-04-23 13:05:00,13,1,9,10,1,17,7,20,312,85.0,2,55,0.0364,0.05,51.1,10.6,36.3,1008.3,0.0,25.9,16.1,283.0,W,4.27,-4.71,12.74
413885,2015-04-24,2015,ATL,2015-04-24 19:05:00,19,1,0,1,0,8,4,10,259,84.7,1,53,0.0189,0.0,46.5,8.1,38.0,1012.5,0.0,9.2,5.7,336.7,NW,-6.43,-8.31,-3.78
