game_pk,game_date,season,away_team,game_start,start_hour,home_runs_scored,away_runs_scored,total_runs,home_runs_hit,strikeouts,walks,hits,total_pitches,avg_exit_velocity,n_barrels,n_bbe,barrel_rate,hr_h_ratio,home_bat_hr,home_bat_k,home_bat_bb,home_bat_h,home_bat_pitches,home_bat_exit_velo,home_bat_bbe,home_bat_hr_h_ratio,away_bat_hr,away_bat_k,away_bat_bb,away_bat_h,away_bat_pitches,away_bat_exit_velo,away_bat_bbe,away_bat_hr_h_ratio,temp_f,temp_c,rhum,pres,prcp,wspd,wspd_mph,wdir,wind_dir_bucket,wind_cf,wind_lcf,wind_rcf
413698,2015-04-10,2015,DET,2015-04-10 16:10:00,16,4,8,12,1,16,6,28,317,88.6,4,62,0.0645,0.0357,0.0,7.0,3.0,10.0,139.0,89.1,32.0,0.0,1.0,9.0,3.0,18.0,178.0,88.2,37.0,0.0556,54.5,12.5,50.3,987.7,0.0,27.5,17.1,258.3,W,5.55,-3.98,14.42
413713,2015-04-11,2015,DET,2015-04-11 16:10:00,16,6,9,15,1,19,11,22,357,87.3,1,55,0.0182,0.0455,0.0,8.0,5.0,8.0,168.0,87.2,33.0,0.0,1.0,11.0,5.0,14.0,189.0,87.5,33.0,0.0714,51.1,10.6,55.0,999.2,0.0,8.3,5.2,280.5,W,-1.52,-4.23,1.37
413728,2015-04-12,2015,DET,2015-04-12 13:10:00,13,5,8,13,3,13,10,20,319,90.5,4,60,0.0667,0.15,0.0,6.0,3.0,9.0,153.0,90.1,33.0,0.0,3.0,7.0,5.0,11.0,166.0,91.0,28.0,0.2727,60.0,15.5,43.7,999.7,0.0,4.6,2.8,161.0,S,4.32,4.57,3.55
413757,2015-04-14,2015,CWS,2015-04-14 19:10:00,19,1,4,5,1,19,5,11,272,89.3,2,45,0.0444,0.0909,0.0,14.0,3.0,3.0,153.0,87.4,21.0,0.0,1.0,5.0,2.0,8.0,119.0,90.7,30.0,0.125,49.6,9.8,57.7,998.9,0.0,8.4,5.2,25.7,NE,-7.54,-5.85,-8.33
413770,2015-04-15,2015,CWS,2015-04-15 12:10:00,12,4,2,6,0,23,7,14,303,87.4,0,42,0.0,0.0,0.0,9.0,2.0,8.0,140.0,88.1,24.0,0.0,0.0,14.0,5.0,6.0,163.0,86.7,22.0,0.0,53.4,11.9,40.3,1003.8,0.0,15.7,9.8,45.0,NE,-11.12,-6.65,-14.26
413934,2015-04-27,2015,KC,2015-04-27 18:10:00,18,2,6,8,1,16,7,17,311,87.8,0,53,0.0,0.0588,1.0,7.0,5.0,4.0,157.0,86.6,24.0,0.25,0.0,9.0,1.0,13.0,154.0,88.8,27.0,0.0,43.5,6.4,72.0,993.3,0.0,12.5,7.8,328.0,NW,-10.63,-12.26,-7.72
413949,2015-04-28,2015,KC,2015-04-28 18:10:00,18,5,11,16,3,8,8,27,306,87.8,5,67,0.0746,0.1111,1.0,5.0,4.0,9.0,151.0,86.9,34.0,0.1111,2.0,3.0,3.0,18.0,155.0,88.5,46.0,0.1111,49.8,9.9,67.0,991.6,0.0,5.0,3.1,340.7,N,-4.75,-5.03,-3.89
413964,2015-04-29,2015,KC,2015-04-29 18:10:00,18,7,5,12,3,14,5,17,274,89.3,3,54,0.0556,0.1765,2.0,3.0,5.0,8.0,136.0,92.3,29.0,0.25,1.0,11.0,0.0,9.0,138.0,86.5,31.0,0.1111,55.2,12.9,57.7,985.2,0.0,1.9,1.2,334.3,NW,-1.71,-1.89,-1.33
413980,2015-04-30,2015,TOR,2015-04-30 19:10:00,19,1,5,6,0,10,7,18,296,84.0,1,58,0.0172,0.0,0.0,6.0,2.0,11.0,172.0,85.9,33.0,0.0,0.0,4.0,5.0,7.0,124.0,81.9,30.0,0.0,45.8,7.7,88.0,989.2,0.6,10.7,6.7,354.7,N,-10.69,-10.38,-9.7
413995,2015-05-01,2015,TOR,2015-05-01 19:10:00,19,9,4,13,4,13,8,21,279,91.1,4,57,0.0702,0.1905,3.0,4.0,3.0,13.0,135.0,90.2,31.0,0.2308,1.0,9.0,4.0,8.0,144.0,92.2,27.0,0.125,55.3,12.9,72.0,993.1,0.0,7.6,4.7,299.7,NW,-3.74,-5.77,-1.27
